operator,case_id,input_shape,dtype,attrs,value_range,note
Trmv,1,"[[1, 1], [1]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""N"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[-10.0, 10.0], [-1.0, 1.0]]",S-float32-1x1-非对齐-最小阶-uplo=LOWER-trans=N-diag=NON_UNIT-incx=1
Trmv,2,"[[2, 2], [2]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""N"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[-10.0, -1.0], [-10.0, 10.0]]",S-float32-2x2-非对齐-2x2基本-全负对角-uplo=UPPER-trans=N-diag=NON_UNIT-incx=1
Trmv,3,"[[4, 4], [4]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""T"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [-5.0, 5.0]]",S-float32-4x4-非对齐-转置-uplo=LOWER-trans=T-diag=NON_UNIT-incx=1
Trmv,4,"[[7, 10], [7]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""T"", ""diag"": ""UNIT"", ""incx"": 1, ""lda"": 10}","[[-10.0, 10.0], [-10.0, 10.0]]",S-float32-7x7-非对齐-单位对角-lda填充-非对齐-uplo=UPPER-trans=T-diag=UNIT-incx=1-lda=10
Trmv,5,"[[8, 8], [8]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""N"", ""diag"": ""UNIT"", ""incx"": 1}","[[-1.0, 1.0], [-2.0, 2.0]]",S-float32-8x8-非对齐-单位对角-8元素块边界-uplo=LOWER-trans=N-diag=UNIT-incx=1
Trmv,6,"[[63, 63], [63]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""N"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [-10.0, 10.0]]",S-float32-63x63-边界-panel64差1-uplo=UPPER-trans=N-diag=NON_UNIT-incx=1
Trmv,7,"[[64, 64], [64]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""N"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [-10.0, 10.0]]",S-float32-64x64-对齐-panel64整除-uplo=LOWER-trans=N-diag=NON_UNIT-incx=1
Trmv,8,"[[65, 65], [65]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""T"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [-10.0, 10.0]]",M-float32-65x65-边界-panel64加1-转置-uplo=UPPER-trans=T-diag=NON_UNIT-incx=1
Trmv,9,"[[2, 2], [2]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""C"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [-5.0, 5.0]]",S-float32-2x2-非对齐-C路径-实数等价T-uplo=LOWER-trans=C-diag=NON_UNIT-incx=1
Trmv,10,"[[5, 5], [9]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""C"", ""diag"": ""NON_UNIT"", ""incx"": 2}","[[1.0, 10.0], [-10.0, 10.0]]",S-float32-5x5-非对齐-C路径-步长2-uplo=UPPER-trans=C-diag=NON_UNIT-incx=2
Trmv,11,"[[4, 4], [7]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""N"", ""diag"": ""NON_UNIT"", ""incx"": 2}","[[1.0, 10.0], [-10.0, 10.0]]",S-float32-4x4-非对齐-步长2-uplo=LOWER-trans=N-diag=NON_UNIT-incx=2
Trmv,12,"[[16, 16], [16]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""C"", ""diag"": ""UNIT"", ""incx"": 1}","[[-1.0, 1.0], [-10.0, 10.0]]",S-float32-16x16-非对齐-C路径-单位对角-uplo=UPPER-trans=C-diag=UNIT-incx=1
Trmv,13,"[[128, 128], [128]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""N"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [0.5, 1.5]]",M-float32-128x128-对齐-双panel-uplo=LOWER-trans=N-diag=NON_UNIT-incx=1
Trmv,14,"[[255, 255], [255]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""T"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [0.5, 1.5]]",M-float32-255x255-非对齐-四panel差1-转置-uplo=UPPER-trans=T-diag=NON_UNIT-incx=1
Trmv,15,"[[256, 256], [256]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""N"", ""diag"": ""UNIT"", ""incx"": 1}","[[-1.0, 1.0], [-100.0, 100.0]]",M-float32-256x256-对齐-四panel整除-单位对角-uplo=LOWER-trans=N-diag=UNIT-incx=1
Trmv,16,"[[512, 512], [512]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""N"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [0.5, 1.5]]",M-float32-512x512-对齐-性能锚点-uplo=UPPER-trans=N-diag=NON_UNIT-incx=1
