operator,case_id,input_shape,dtype,attrs,value_range,note
Trsv,1,"[[1, 1], [1]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""N"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [-1.0, 1.0]]",S-float32-1x1-非对齐-最小阶-对称小值域-uplo=LOWER-trans=N-diag=NON_UNIT-incx=1
Trsv,2,"[[2, 2], [2]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""N"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[-10.0, -1.0], [-10.0, 10.0]]",S-float32-2x2-非对齐-2x2基本-对称小值域-uplo=UPPER-trans=N-diag=NON_UNIT-incx=1
Trsv,3,"[[4, 4], [4]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""T"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [-5.0, 5.0]]",S-float32-4x4-非对齐-转置-对称小值域-uplo=LOWER-trans=T-diag=NON_UNIT-incx=1
Trsv,4,"[[7, 10], [7]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""T"", ""diag"": ""UNIT"", ""incx"": 1, ""lda"": 10}","[[-10.0, 10.0], [-10.0, 10.0]]",S-float32-7x7-非对齐-单位对角-lda填充-非对齐-uplo=UPPER-trans=T-diag=UNIT-incx=1-lda=10
Trsv,5,"[[8, 8], [8]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""N"", ""diag"": ""UNIT"", ""incx"": 1}","[[-1.0, 1.0], [-2.0, 2.0]]",S-float32-8x8-非对齐-单位对角-8元素块边界-uplo=LOWER-trans=N-diag=UNIT-incx=1
Trsv,6,"[[63, 63], [63]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""N"", ""diag"": ""UNIT"", ""incx"": 1}","[[-0.01, 0.01], [-10.0, 10.0]]",S-float32-63x63-边界-panel64差1-单位对角微扰-uplo=UPPER-trans=N-diag=UNIT-incx=1
Trsv,7,"[[64, 64], [64]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""N"", ""diag"": ""UNIT"", ""incx"": 1}","[[-0.01, 0.01], [-10.0, 10.0]]",S-float32-64x64-对齐-panel64整除-单位对角微扰-uplo=LOWER-trans=N-diag=UNIT-incx=1
Trsv,8,"[[65, 65], [65]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""T"", ""diag"": ""UNIT"", ""incx"": 1}","[[-0.01, 0.01], [-10.0, 10.0]]",M-float32-65x65-边界-panel64加1-转置-单位对角微扰-uplo=UPPER-trans=T-diag=UNIT-incx=1
Trsv,9,"[[2, 2], [2]]","[""float32"", ""float32""]","{""uplo"": ""LOWER"", ""trans"": ""C"", ""diag"": ""NON_UNIT"", ""incx"": 1}","[[1.0, 10.0], [-5.0, 5.0]]",S-float32-2x2-非对齐-共轭转置-C路径-实数等价T-uplo=LOWER-trans=C-diag=NON_UNIT-incx=1
Trsv,10,"[[5, 5], [9]]","[""float32"", ""float32""]","{""uplo"": ""UPPER"", ""trans"": ""C"", ""diag"": ""NON_UNIT"", ""incx"": 2}","[[1.0, 10.0], [-10.0, 10.0]]",S-float32-5x5-非对齐-C路径-步长2-实数-uplo=UPPER-trans=C-diag=NON_UNIT-incx=2
