operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
AdaptiveAttention,1,"[[4, 8, 512, 128], [4, 4, 512, 128], [4, 4, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S512 reference-aligned coverage
AdaptiveAttention,2,"[[1, 8, 128, 128], [1, 4, 128, 128], [1, 4, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 128, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S128 reference-aligned coverage
AdaptiveAttention,3,"[[4, 8, 256, 128], [4, 1, 256, 128], [4, 1, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""n_kv_heads"": 1, ""seq_len"": 256, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S256 reference-aligned coverage
AdaptiveAttention,4,"[[4, 8, 256, 512], [4, 8, 256, 512], [4, 8, 256, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""n_kv_heads"": 8, ""seq_len"": 256, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S256 reference-aligned coverage
AdaptiveAttention,5,"[[4, 8, 1024, 128], [4, 4, 1024, 128], [4, 4, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 1024, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S1024 reference-aligned coverage
AdaptiveAttention,6,"[[4, 16, 512, 512], [4, 4, 512, 512], [4, 4, 512, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 16, ""n_kv_heads"": 4, ""seq_len"": 512, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S512 reference-aligned coverage
AdaptiveAttention,7,"[[4, 8, 512, 512], [4, 4, 512, 512], [4, 4, 512, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 512, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S512 reference-aligned coverage
AdaptiveAttention,8,"[[16, 8, 256, 128], [16, 4, 256, 128], [16, 4, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 16, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 256, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B16-S256 reference-aligned coverage
AdaptiveAttention,9,"[[2, 8, 2048, 512], [2, 4, 2048, 512], [2, 4, 2048, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 2048, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B2-S2048 reference-aligned coverage
AdaptiveAttention,10,"[[8, 32, 512, 128], [8, 8, 512, 128], [8, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 32, ""n_kv_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B8-S512 reference-aligned coverage
AdaptiveAttention,11,"[[1, 8, 128, 128], [1, 1, 128, 128], [1, 1, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 1, ""seq_len"": 128, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S128 reference-aligned coverage
AdaptiveAttention,12,"[[1, 8, 256, 128], [1, 1, 256, 128], [1, 1, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 1, ""seq_len"": 256, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S256 reference-aligned coverage
AdaptiveAttention,13,"[[1, 8, 512, 128], [1, 1, 512, 128], [1, 1, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 1, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S512 reference-aligned coverage
AdaptiveAttention,14,"[[1, 8, 1024, 128], [1, 1, 1024, 128], [1, 1, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 1, ""seq_len"": 1024, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S1024 reference-aligned coverage
AdaptiveAttention,15,"[[1, 8, 2048, 128], [1, 1, 2048, 128], [1, 1, 2048, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 1, ""seq_len"": 2048, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S2048 reference-aligned coverage
AdaptiveAttention,16,"[[1, 8, 256, 128], [1, 4, 256, 128], [1, 4, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 256, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S256 reference-aligned coverage
AdaptiveAttention,17,"[[1, 8, 512, 128], [1, 4, 512, 128], [1, 4, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S512 reference-aligned coverage
AdaptiveAttention,18,"[[1, 8, 1024, 128], [1, 4, 1024, 128], [1, 4, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 1024, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S1024 reference-aligned coverage
AdaptiveAttention,19,"[[1, 8, 2048, 128], [1, 4, 2048, 128], [1, 4, 2048, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 2048, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S2048 reference-aligned coverage
AdaptiveAttention,20,"[[1, 16, 128, 128], [1, 4, 128, 128], [1, 4, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 16, ""n_kv_heads"": 4, ""seq_len"": 128, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S128 reference-aligned coverage
