operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
AftFull,1,"[[32, 49, 512], [32, 49, 512], [32, 49, 512]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 32, ""seq_len"": 49, ""d_model"": 512}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B32-S49 reference-aligned coverage
AftFull,2,"[[1, 16, 512], [1, 16, 512], [1, 16, 512]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 16, ""d_model"": 512}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S16 reference-aligned coverage
AftFull,3,"[[4, 32, 128], [4, 32, 128], [4, 32, 128]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 4, ""seq_len"": 32, ""d_model"": 128}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B4-S32 reference-aligned coverage
AftFull,4,"[[4, 64, 512], [4, 64, 512], [4, 64, 512]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 4, ""seq_len"": 64, ""d_model"": 512}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B4-S64 reference-aligned coverage
AftFull,5,"[[8, 49, 128], [8, 49, 128], [8, 49, 128]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 8, ""seq_len"": 49, ""d_model"": 128}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B8-S49 reference-aligned coverage
AftFull,6,"[[16, 128, 512], [16, 128, 512], [16, 128, 512]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 16, ""seq_len"": 128, ""d_model"": 512}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B16-S128 reference-aligned coverage
AftFull,7,"[[2, 49, 512], [2, 49, 512], [2, 49, 512]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 2, ""seq_len"": 49, ""d_model"": 512}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B2-S49 reference-aligned coverage
AftFull,8,"[[4, 256, 128], [4, 256, 128], [4, 256, 128]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 4, ""seq_len"": 256, ""d_model"": 128}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B4-S256 reference-aligned coverage
AftFull,9,"[[1, 49, 512], [1, 49, 512], [1, 49, 512]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 49, ""d_model"": 512}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S49 reference-aligned coverage
AftFull,10,"[[32, 64, 512], [32, 64, 512], [32, 64, 512]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 32, ""seq_len"": 64, ""d_model"": 512}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B32-S64 reference-aligned coverage
AftFull,11,"[[1, 16, 128], [1, 16, 128], [1, 16, 128]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 16, ""d_model"": 128}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S16 reference-aligned coverage
AftFull,12,"[[1, 16, 256], [1, 16, 256], [1, 16, 256]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 16, ""d_model"": 256}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S16 reference-aligned coverage
AftFull,13,"[[1, 32, 128], [1, 32, 128], [1, 32, 128]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 32, ""d_model"": 128}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S32 reference-aligned coverage
AftFull,14,"[[1, 32, 256], [1, 32, 256], [1, 32, 256]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 32, ""d_model"": 256}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S32 reference-aligned coverage
AftFull,15,"[[1, 32, 512], [1, 32, 512], [1, 32, 512]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 32, ""d_model"": 512}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S32 reference-aligned coverage
AftFull,16,"[[1, 49, 128], [1, 49, 128], [1, 49, 128]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 49, ""d_model"": 128}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S49 reference-aligned coverage
AftFull,17,"[[1, 49, 256], [1, 49, 256], [1, 49, 256]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 49, ""d_model"": 256}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S49 reference-aligned coverage
AftFull,18,"[[1, 64, 128], [1, 64, 128], [1, 64, 128]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 64, ""d_model"": 128}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S64 reference-aligned coverage
AftFull,19,"[[1, 64, 256], [1, 64, 256], [1, 64, 256]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 64, ""d_model"": 256}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S64 reference-aligned coverage
AftFull,20,"[[1, 64, 512], [1, 64, 512], [1, 64, 512]]","[""float32"", ""float32"", ""float32""]","{""batch_size"": 1, ""seq_len"": 64, ""d_model"": 512}","[[-1, 1], [-1, 1], [-1, 1]]",,,float32 B1-S64 reference-aligned coverage
