operator,case_id,input_shape,dtype,attrs,value_range,note
BlockSparseAttention,1,"[[4, 8, 512, 128], [4, 8, 512, 128], [4, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""block_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S512 reference-aligned coverage; block_size=32
BlockSparseAttention,2,"[[1, 8, 128, 128], [1, 8, 128, 128], [1, 8, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 128, ""d_k"": 128, ""block_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S128 reference-aligned coverage; block_size=32
BlockSparseAttention,3,"[[4, 4, 256, 128], [4, 4, 256, 128], [4, 4, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 128, ""block_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S256 reference-aligned coverage; block_size=32
BlockSparseAttention,4,"[[4, 8, 256, 512], [4, 8, 256, 512], [4, 8, 256, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 256, ""d_k"": 512, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S256 reference-aligned coverage; block_size=64
BlockSparseAttention,5,"[[4, 16, 512, 128], [4, 16, 512, 128], [4, 16, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 16, ""seq_len"": 512, ""d_k"": 128, ""block_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S512 reference-aligned coverage; block_size=32
BlockSparseAttention,6,"[[8, 8, 512, 512], [8, 8, 512, 512], [8, 8, 512, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 512, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B8-S512 reference-aligned coverage; block_size=64
BlockSparseAttention,7,"[[2, 8, 512, 128], [2, 8, 512, 128], [2, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""block_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S512 reference-aligned coverage; block_size=32
BlockSparseAttention,8,"[[16, 4, 256, 512], [16, 4, 256, 512], [16, 4, 256, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 16, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 512, ""block_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B16-S256 reference-aligned coverage; block_size=32
BlockSparseAttention,9,"[[4, 8, 1024, 128], [4, 8, 1024, 128], [4, 8, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 1024, ""d_k"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S1024 reference-aligned coverage; block_size=64
BlockSparseAttention,10,"[[4, 8, 512, 128], [4, 8, 512, 128], [4, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""block_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S512 reference-aligned coverage; block_size=128
BlockSparseAttention,11,"[[1, 4, 64, 64], [1, 4, 64, 64], [1, 4, 64, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 64, ""d_k"": 64, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S64 reference-aligned coverage; block_size=64
BlockSparseAttention,12,"[[1, 4, 64, 128], [1, 4, 64, 128], [1, 4, 64, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 64, ""d_k"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S64 reference-aligned coverage; block_size=64
BlockSparseAttention,13,"[[1, 4, 128, 64], [1, 4, 128, 64], [1, 4, 128, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 128, ""d_k"": 64, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S128 reference-aligned coverage; block_size=64
BlockSparseAttention,14,"[[1, 4, 128, 128], [1, 4, 128, 128], [1, 4, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 128, ""d_k"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S128 reference-aligned coverage; block_size=64
BlockSparseAttention,15,"[[1, 4, 256, 64], [1, 4, 256, 64], [1, 4, 256, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 64, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S256 reference-aligned coverage; block_size=64
BlockSparseAttention,16,"[[1, 4, 256, 128], [1, 4, 256, 128], [1, 4, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S256 reference-aligned coverage; block_size=64
BlockSparseAttention,17,"[[1, 4, 512, 64], [1, 4, 512, 64], [1, 4, 512, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 512, ""d_k"": 64, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S512 reference-aligned coverage; block_size=64
