operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
CrossformerAttention,1,"[[32, 8, 49, 64], [32, 8, 49, 64], [32, 8, 49, 64], [8, 49, 49]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 32, ""num_heads"": 8, ""N"": 49, ""head_dim"": 64, ""has_position_bias"": true, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B32-N49 reference-aligned coverage; has_position_bias=True
CrossformerAttention,2,"[[1, 8, 16, 64], [1, 8, 16, 64], [1, 8, 16, 64], [8, 16, 16]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""num_heads"": 8, ""N"": 16, ""head_dim"": 64, ""has_position_bias"": true, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-N16 reference-aligned coverage; has_position_bias=True
CrossformerAttention,3,"[[4, 4, 49, 64], [4, 4, 49, 64], [4, 4, 49, 64], [4, 49, 49]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""num_heads"": 4, ""N"": 49, ""head_dim"": 64, ""has_position_bias"": true, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-N49 reference-aligned coverage; has_position_bias=True
CrossformerAttention,4,"[[4, 8, 64, 64], [4, 8, 64, 64], [4, 8, 64, 64], [8, 64, 64]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""num_heads"": 8, ""N"": 64, ""head_dim"": 64, ""has_position_bias"": true, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-N64 reference-aligned coverage; has_position_bias=True
CrossformerAttention,5,"[[4, 16, 49, 64], [4, 16, 49, 64], [4, 16, 49, 64], [16, 49, 49]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""num_heads"": 16, ""N"": 49, ""head_dim"": 64, ""has_position_bias"": true, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-N49 reference-aligned coverage; has_position_bias=True
CrossformerAttention,6,"[[8, 8, 49, 64], [8, 8, 49, 64], [8, 8, 49, 64], [8, 49, 49]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""num_heads"": 8, ""N"": 49, ""head_dim"": 64, ""has_position_bias"": true, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B8-N49 reference-aligned coverage; has_position_bias=True
CrossformerAttention,7,"[[2, 8, 49, 64], [2, 8, 49, 64], [2, 8, 49, 64], [8, 49, 49]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""num_heads"": 8, ""N"": 49, ""head_dim"": 64, ""has_position_bias"": true, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B2-N49 reference-aligned coverage; has_position_bias=True
CrossformerAttention,8,"[[4, 8, 49, 64], [4, 8, 49, 64], [4, 8, 49, 64], null]","[""float16"", ""float16"", ""float16"", null]","{""batch_size"": 4, ""num_heads"": 8, ""N"": 49, ""head_dim"": 64, ""has_position_bias"": false, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B4-N49 reference-aligned coverage; has_position_bias=False
CrossformerAttention,9,"[[16, 4, 49, 64], [16, 4, 49, 64], [16, 4, 49, 64], [4, 49, 49]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 16, ""num_heads"": 4, ""N"": 49, ""head_dim"": 64, ""has_position_bias"": true, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B16-N49 reference-aligned coverage; has_position_bias=True
CrossformerAttention,10,"[[4, 8, 100, 64], [4, 8, 100, 64], [4, 8, 100, 64], [8, 100, 100]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""num_heads"": 8, ""N"": 100, ""head_dim"": 64, ""has_position_bias"": true, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-N100 reference-aligned coverage; has_position_bias=True
