operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
DenseSparseAttention,1,"[[4, 1, 16, 576], [256, 16, 1, 576], [4, 1, 16, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 1, ""nheads"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""num_blocks"": 256, ""page_block_size"": 16, ""topk"": 128}","[[-1, 1], [-1, 1], null]",,,float16 B4-Sq1 reference-aligned coverage; topk=128
DenseSparseAttention,2,"[[1, 1, 16, 576], [64, 16, 1, 576], [1, 1, 16, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 1, ""seqlen_q"": 1, ""nheads"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""num_blocks"": 64, ""page_block_size"": 16, ""topk"": 128}","[[-1, 1], [-1, 1], null]",,,float16 B1-Sq1 reference-aligned coverage; topk=128
DenseSparseAttention,3,"[[1, 1, 16, 576], [128, 16, 1, 576], [1, 1, 16, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 1, ""seqlen_q"": 1, ""nheads"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""num_blocks"": 128, ""page_block_size"": 16, ""topk"": 128}","[[-1, 1], [-1, 1], null]",,,float16 B1-Sq1 reference-aligned coverage; topk=128
DenseSparseAttention,4,"[[2, 1, 16, 576], [256, 16, 1, 576], [2, 1, 16, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 2, ""seqlen_q"": 1, ""nheads"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""num_blocks"": 256, ""page_block_size"": 16, ""topk"": 128}","[[-1, 1], [-1, 1], null]",,,float16 B2-Sq1 reference-aligned coverage; topk=128
DenseSparseAttention,5,"[[4, 1, 16, 576], [64, 16, 1, 576], [4, 1, 16, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 1, ""nheads"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""num_blocks"": 64, ""page_block_size"": 16, ""topk"": 128}","[[-1, 1], [-1, 1], null]",,,float16 B4-Sq1 reference-aligned coverage; topk=128
DenseSparseAttention,6,"[[4, 1, 16, 576], [128, 16, 1, 576], [4, 1, 16, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 1, ""nheads"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""num_blocks"": 128, ""page_block_size"": 16, ""topk"": 128}","[[-1, 1], [-1, 1], null]",,,float16 B4-Sq1 reference-aligned coverage; topk=128
DenseSparseAttention,7,"[[8, 1, 16, 576], [256, 16, 1, 576], [8, 1, 16, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 8, ""seqlen_q"": 1, ""nheads"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""num_blocks"": 256, ""page_block_size"": 16, ""topk"": 128}","[[-1, 1], [-1, 1], null]",,,float16 B8-Sq1 reference-aligned coverage; topk=128
DenseSparseAttention,8,"[[8, 1, 16, 576], [64, 16, 1, 576], [8, 1, 16, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 8, ""seqlen_q"": 1, ""nheads"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""num_blocks"": 64, ""page_block_size"": 16, ""topk"": 128}","[[-1, 1], [-1, 1], null]",,,float16 B8-Sq1 reference-aligned coverage; topk=128
DenseSparseAttention,9,"[[16, 1, 16, 576], [128, 16, 1, 576], [16, 1, 16, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 16, ""seqlen_q"": 1, ""nheads"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""num_blocks"": 128, ""page_block_size"": 16, ""topk"": 128}","[[-1, 1], [-1, 1], null]",,,float16 B16-Sq1 reference-aligned coverage; topk=128
DenseSparseAttention,10,"[[16, 1, 16, 576], [256, 16, 1, 576], [16, 1, 16, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 16, ""seqlen_q"": 1, ""nheads"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""num_blocks"": 256, ""page_block_size"": 16, ""topk"": 128}","[[-1, 1], [-1, 1], null]",,,float16 B16-Sq1 reference-aligned coverage; topk=128
