operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
FlashAttention,1,"[[4, 32, 1, 512], [4, 32, 128, 512], [4, 32, 128, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 32, ""seq_len_q"": 1, ""seq_len_kv"": 128, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-Sq1-Skv128 reference-aligned coverage
FlashAttention,2,"[[8, 16, 256, 128], [8, 16, 256, 128], [8, 16, 256, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 8, ""n_heads"": 16, ""seq_len_q"": 256, ""seq_len_kv"": 256, ""d_k"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B8-Sq256-Skv256 reference-aligned coverage
FlashAttention,3,"[[1, 8, 1, 512], [1, 8, 128, 512], [1, 8, 128, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len_q"": 1, ""seq_len_kv"": 128, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-Sq1-Skv128 reference-aligned coverage
FlashAttention,4,"[[4, 8, 128, 128], [4, 8, 128, 128], [4, 8, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len_q"": 128, ""seq_len_kv"": 128, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-Sq128-Skv128 reference-aligned coverage
FlashAttention,5,"[[4, 16, 1, 256], [4, 16, 473, 256], [4, 16, 473, 256]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 16, ""seq_len_q"": 1, ""seq_len_kv"": 473, ""d_k"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-Sq1-Skv473 reference-aligned coverage
FlashAttention,6,"[[4, 8, 473, 128], [4, 8, 473, 128], [4, 8, 473, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len_q"": 473, ""seq_len_kv"": 473, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-Sq473-Skv473 reference-aligned coverage
FlashAttention,7,"[[4, 32, 512, 512], [4, 32, 512, 512], [4, 32, 512, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 32, ""seq_len_q"": 512, ""seq_len_kv"": 512, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-Sq512-Skv512 reference-aligned coverage
FlashAttention,8,"[[2, 32, 1, 128], [2, 32, 183, 128], [2, 32, 183, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 32, ""seq_len_q"": 1, ""seq_len_kv"": 183, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B2-Sq1-Skv183 reference-aligned coverage
FlashAttention,9,"[[8, 8, 12, 128], [8, 8, 512, 128], [8, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 8, ""seq_len_q"": 12, ""seq_len_kv"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B8-Sq12-Skv512 reference-aligned coverage
FlashAttention,10,"[[4, 8, 1, 512], [4, 8, 97, 512], [4, 8, 97, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len_q"": 1, ""seq_len_kv"": 97, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-Sq1-Skv97 reference-aligned coverage
FlashAttention,11,"[[1, 8, 1, 512], [1, 8, 128, 512], [1, 8, 128, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len_q"": 1, ""seq_len_kv"": 128, ""d_k"": 512, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B1-Sq1-Skv128 reference-aligned coverage
FlashAttention,12,"[[4, 8, 128, 128], [4, 8, 128, 128], [4, 8, 128, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len_q"": 128, ""seq_len_kv"": 128, ""d_k"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B4-Sq128-Skv128 reference-aligned coverage
FlashAttention,13,"[[4, 16, 25, 256], [4, 16, 512, 256], [4, 16, 512, 256]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 4, ""n_heads"": 16, ""seq_len_q"": 25, ""seq_len_kv"": 512, ""d_k"": 256, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B4-Sq25-Skv512 reference-aligned coverage
FlashAttention,14,"[[4, 8, 473, 128], [4, 8, 473, 128], [4, 8, 473, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len_q"": 473, ""seq_len_kv"": 473, ""d_k"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B4-Sq473-Skv473 reference-aligned coverage
FlashAttention,15,"[[4, 32, 512, 512], [4, 32, 512, 512], [4, 32, 512, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 4, ""n_heads"": 32, ""seq_len_q"": 512, ""seq_len_kv"": 512, ""d_k"": 512, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B4-Sq512-Skv512 reference-aligned coverage
FlashAttention,16,"[[2, 32, 1, 128], [2, 32, 183, 128], [2, 32, 183, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 2, ""n_heads"": 32, ""seq_len_q"": 1, ""seq_len_kv"": 183, ""d_k"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B2-Sq1-Skv183 reference-aligned coverage
