operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
FlashAttentionMask,1,"[[4, 32, 128, 128], [4, 32, 128, 128], [4, 32, 128, 128], [4, 32, 128, 128]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 4, ""n_heads"": 32, ""seq_len_q"": 128, ""seq_len_kv"": 128, ""d_k"": 128, ""dtype"": ""float16"", ""mask_type"": ""causal""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B4-Sq128-Skv128 reference-aligned coverage; mask_type=causal
FlashAttentionMask,2,"[[1, 8, 1, 128], [1, 8, 128, 128], [1, 8, 128, 128], [1, 8, 1, 128]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len_q"": 1, ""seq_len_kv"": 128, ""d_k"": 128, ""dtype"": ""float16"", ""mask_type"": ""full""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B1-Sq1-Skv128 reference-aligned coverage; mask_type=full
FlashAttentionMask,3,"[[2, 16, 32, 64], [2, 16, 128, 64], [2, 16, 128, 64], [2, 16, 32, 128]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 2, ""n_heads"": 16, ""seq_len_q"": 32, ""seq_len_kv"": 128, ""d_k"": 64, ""dtype"": ""float16"", ""mask_type"": ""causal""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B2-Sq32-Skv128 reference-aligned coverage; mask_type=causal
FlashAttentionMask,4,"[[4, 8, 128, 64], [4, 8, 128, 64], [4, 8, 128, 64], [4, 8, 128, 128]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len_q"": 128, ""seq_len_kv"": 128, ""d_k"": 64, ""dtype"": ""float16"", ""mask_type"": ""band""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B4-Sq128-Skv128 reference-aligned coverage; mask_type=band
FlashAttentionMask,5,"[[1, 4, 64, 128], [1, 4, 256, 128], [1, 4, 256, 128], [1, 4, 64, 256]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len_q"": 64, ""seq_len_kv"": 256, ""d_k"": 128, ""dtype"": ""float16"", ""mask_type"": ""block""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B1-Sq64-Skv256 reference-aligned coverage; mask_type=block
FlashAttentionMask,6,"[[2, 8, 256, 64], [2, 8, 256, 64], [2, 8, 256, 64], [2, 8, 256, 256]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 2, ""n_heads"": 8, ""seq_len_q"": 256, ""seq_len_kv"": 256, ""d_k"": 64, ""dtype"": ""float16"", ""mask_type"": ""causal""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B2-Sq256-Skv256 reference-aligned coverage; mask_type=causal
FlashAttentionMask,7,"[[1, 16, 128, 64], [1, 16, 512, 64], [1, 16, 512, 64], [1, 16, 128, 512]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 1, ""n_heads"": 16, ""seq_len_q"": 128, ""seq_len_kv"": 512, ""d_k"": 64, ""dtype"": ""float16"", ""mask_type"": ""band""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B1-Sq128-Skv512 reference-aligned coverage; mask_type=band
FlashAttentionMask,8,"[[4, 4, 32, 128], [4, 4, 32, 128], [4, 4, 32, 128], [4, 4, 32, 32]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 4, ""n_heads"": 4, ""seq_len_q"": 32, ""seq_len_kv"": 32, ""d_k"": 128, ""dtype"": ""float16"", ""mask_type"": ""full""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B4-Sq32-Skv32 reference-aligned coverage; mask_type=full
FlashAttentionMask,9,"[[2, 32, 1, 64], [2, 32, 256, 64], [2, 32, 256, 64], [2, 32, 1, 256]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 2, ""n_heads"": 32, ""seq_len_q"": 1, ""seq_len_kv"": 256, ""d_k"": 64, ""dtype"": ""float16"", ""mask_type"": ""causal""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B2-Sq1-Skv256 reference-aligned coverage; mask_type=causal
FlashAttentionMask,10,"[[1, 8, 512, 64], [1, 8, 512, 64], [1, 8, 512, 64], [1, 8, 512, 512]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len_q"": 512, ""seq_len_kv"": 512, ""d_k"": 64, ""dtype"": ""float16"", ""mask_type"": ""block""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B1-Sq512-Skv512 reference-aligned coverage; mask_type=block
FlashAttentionMask,11,"[[4, 16, 64, 128], [4, 16, 128, 128], [4, 16, 128, 128], [4, 16, 64, 128]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 4, ""n_heads"": 16, ""seq_len_q"": 64, ""seq_len_kv"": 128, ""d_k"": 128, ""dtype"": ""float16"", ""mask_type"": ""band""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B4-Sq64-Skv128 reference-aligned coverage; mask_type=band
FlashAttentionMask,12,"[[2, 4, 128, 64], [2, 4, 64, 64], [2, 4, 64, 64], [2, 4, 128, 64]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 2, ""n_heads"": 4, ""seq_len_q"": 128, ""seq_len_kv"": 64, ""d_k"": 64, ""dtype"": ""float16"", ""mask_type"": ""full""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B2-Sq128-Skv64 reference-aligned coverage; mask_type=full
FlashAttentionMask,13,"[[1, 32, 16, 128], [1, 32, 512, 128], [1, 32, 512, 128], [1, 32, 16, 512]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 1, ""n_heads"": 32, ""seq_len_q"": 16, ""seq_len_kv"": 512, ""d_k"": 128, ""dtype"": ""float16"", ""mask_type"": ""causal""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B1-Sq16-Skv512 reference-aligned coverage; mask_type=causal
FlashAttentionMask,14,"[[4, 8, 256, 64], [4, 8, 128, 64], [4, 8, 128, 64], [4, 8, 256, 128]]","[""float16"", ""float16"", ""float16"", ""uint8""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len_q"": 256, ""seq_len_kv"": 128, ""d_k"": 64, ""dtype"": ""float16"", ""mask_type"": ""block""}","[[-1, 1], [-1, 1], [-1, 1], null]",,,float16 B4-Sq256-Skv128 reference-aligned coverage; mask_type=block
