operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
FlashAttentionMla,1,"[[4, 32, 1, 128], [4, 32, 1, 64], [4, 1, 1024, 128], [4, 1, 1024, 64], [4, 1, 1024, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 32, ""kv_heads"": 1, ""seq_len_q"": 1, ""seq_len_kv"": 1024, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-Sq1-Skv1024 reference-aligned coverage
FlashAttentionMla,2,"[[1, 8, 64, 128], [1, 8, 64, 64], [1, 2, 64, 128], [1, 2, 64, 64], [1, 2, 64, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""kv_heads"": 2, ""seq_len_q"": 64, ""seq_len_kv"": 64, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-Sq64-Skv64 reference-aligned coverage
FlashAttentionMla,3,"[[2, 16, 256, 256], [2, 16, 256, 64], [2, 4, 512, 256], [2, 4, 512, 64], [2, 4, 512, 256]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 16, ""kv_heads"": 4, ""seq_len_q"": 256, ""seq_len_kv"": 512, ""d_nope"": 256, ""d_rope"": 64, ""d_v"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B2-Sq256-Skv512 reference-aligned coverage
FlashAttentionMla,4,"[[1, 32, 1024, 128], [1, 32, 1024, 64], [1, 8, 1024, 128], [1, 8, 1024, 64], [1, 8, 1024, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 1, ""n_heads"": 32, ""kv_heads"": 8, ""seq_len_q"": 1024, ""seq_len_kv"": 1024, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B1-Sq1024-Skv1024 reference-aligned coverage
FlashAttentionMla,5,"[[8, 16, 1, 128], [8, 16, 1, 64], [8, 2, 2048, 128], [8, 2, 2048, 64], [8, 2, 2048, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 16, ""kv_heads"": 2, ""seq_len_q"": 1, ""seq_len_kv"": 2048, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B8-Sq1-Skv2048 reference-aligned coverage
FlashAttentionMla,6,"[[2, 32, 512, 256], [2, 32, 512, 64], [2, 4, 1024, 256], [2, 4, 1024, 64], [2, 4, 1024, 256]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 2, ""n_heads"": 32, ""kv_heads"": 4, ""seq_len_q"": 512, ""seq_len_kv"": 1024, ""d_nope"": 256, ""d_rope"": 64, ""d_v"": 256, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B2-Sq512-Skv1024 reference-aligned coverage
FlashAttentionMla,7,"[[4, 8, 97, 128], [4, 8, 97, 64], [4, 1, 97, 128], [4, 1, 97, 64], [4, 1, 97, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""kv_heads"": 1, ""seq_len_q"": 97, ""seq_len_kv"": 97, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-Sq97-Skv97 reference-aligned coverage
FlashAttentionMla,8,"[[1, 16, 200, 128], [1, 16, 200, 64], [1, 8, 256, 128], [1, 8, 256, 64], [1, 8, 256, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 16, ""kv_heads"": 8, ""seq_len_q"": 200, ""seq_len_kv"": 256, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-Sq200-Skv256 reference-aligned coverage
FlashAttentionMla,9,"[[2, 32, 4096, 128], [2, 32, 4096, 64], [2, 1, 4096, 128], [2, 1, 4096, 64], [2, 1, 4096, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 2, ""n_heads"": 32, ""kv_heads"": 1, ""seq_len_q"": 4096, ""seq_len_kv"": 4096, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B2-Sq4096-Skv4096 reference-aligned coverage
FlashAttentionMla,10,"[[4, 16, 2, 128], [4, 16, 2, 64], [4, 4, 2, 128], [4, 4, 2, 64], [4, 4, 2, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 16, ""kv_heads"": 4, ""seq_len_q"": 2, ""seq_len_kv"": 2, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-Sq2-Skv2 reference-aligned coverage
