operator,case_id,input_shape,dtype,attrs,value_range,note
FlashAttentionSinkPa,1,"[[4, 32, 1, 512], [64, 32, 64, 512], [64, 32, 64, 512], [4, 16], [4], [4, 32, 128, 512], [4, 32, 128, 512]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 32, ""seq_len_kv"": 1024, ""d_k"": 512, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","float16 B4 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,2,"[[1, 8, 1, 128], [1, 8, 64, 128], [1, 8, 64, 128], [1, 1], [1], [1, 8, 128, 128], [1, 8, 128, 128]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len_kv"": 1, ""d_k"": 128, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","float16 B1 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,3,"[[2, 16, 1, 128], [4, 16, 64, 128], [4, 16, 64, 128], [2, 2], [2], [2, 16, 128, 128], [2, 16, 128, 128]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 16, ""seq_len_kv"": 97, ""d_k"": 128, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","float16 B2 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,4,"[[4, 32, 1, 256], [8, 32, 64, 256], [8, 32, 64, 256], [4, 2], [4], [4, 32, 128, 256], [4, 32, 128, 256]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 32, ""seq_len_kv"": 128, ""d_k"": 256, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","float16 B4 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,5,"[[8, 8, 1, 512], [32, 8, 64, 512], [32, 8, 64, 512], [8, 4], [8], [8, 8, 128, 512], [8, 8, 128, 512]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 8, ""seq_len_kv"": 200, ""d_k"": 512, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","float16 B8 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,6,"[[1, 16, 1, 128], [4, 16, 64, 128], [4, 16, 64, 128], [1, 4], [1], [1, 16, 128, 128], [1, 16, 128, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 1, ""n_heads"": 16, ""seq_len_kv"": 256, ""d_k"": 128, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","bfloat16 B1 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,7,"[[4, 32, 1, 256], [36, 32, 64, 256], [36, 32, 64, 256], [4, 9], [4], [4, 32, 128, 256], [4, 32, 128, 256]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 4, ""n_heads"": 32, ""seq_len_kv"": 513, ""d_k"": 256, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","bfloat16 B4 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,8,"[[2, 8, 1, 512], [16, 8, 64, 512], [16, 8, 64, 512], [2, 8], [2], [2, 8, 128, 512], [2, 8, 128, 512]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 8, ""seq_len_kv"": 512, ""d_k"": 512, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","float16 B2 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,9,"[[8, 16, 1, 128], [128, 16, 64, 128], [128, 16, 64, 128], [8, 16], [8], [8, 16, 128, 128], [8, 16, 128, 128]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 16, ""seq_len_kv"": 1000, ""d_k"": 128, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","float16 B8 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,10,"[[16, 32, 1, 256], [256, 32, 64, 256], [256, 32, 64, 256], [16, 16], [16], [16, 32, 128, 256], [16, 32, 128, 256]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""batch_size"": 16, ""n_heads"": 32, ""seq_len_kv"": 1024, ""d_k"": 256, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","float16 B16 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,11,"[[1, 8, 1, 512], [32, 8, 64, 512], [32, 8, 64, 512], [1, 32], [1], [1, 8, 128, 512], [1, 8, 128, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len_kv"": 2048, ""d_k"": 512, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","bfloat16 B1 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,12,"[[4, 16, 1, 128], [256, 16, 64, 128], [256, 16, 64, 128], [4, 64], [4], [4, 16, 128, 128], [4, 16, 128, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 4, ""n_heads"": 16, ""seq_len_kv"": 4096, ""d_k"": 128, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","bfloat16 B4 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,13,"[[8, 32, 1, 256], [16, 32, 64, 256], [16, 32, 64, 256], [8, 2], [8], [8, 32, 128, 256], [8, 32, 128, 256]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 8, ""n_heads"": 32, ""seq_len_kv"": 97, ""d_k"": 256, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","bfloat16 B8 reference-aligned coverage; block_size=64, sink_size=128"
FlashAttentionSinkPa,14,"[[2, 8, 1, 128], [8, 8, 64, 128], [8, 8, 64, 128], [2, 4], [2], [2, 8, 128, 128], [2, 8, 128, 128]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 8, ""seq_len_kv"": 200, ""d_k"": 128, ""sink_size"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null, null, [-1, 1], [-1, 1]]","float16 B2 reference-aligned coverage; block_size=64, sink_size=128"
