operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
FlashAttentionSparse,1,"[[4, 128, 16, 512], [4, 4096, 1, 512], [4, 128, 1, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 4, ""nheads_q"": 16, ""nheads_kv"": 1, ""seqlen_q"": 128, ""seqlen_kv"": 4096, ""headdim"": 512, ""topk"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B4-Sq128 reference-aligned coverage; topk=128
FlashAttentionSparse,2,"[[1, 1, 8, 128], [1, 256, 1, 128], [1, 1, 1, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 1, ""nheads_q"": 8, ""nheads_kv"": 1, ""seqlen_q"": 1, ""seqlen_kv"": 256, ""headdim"": 128, ""topk"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B1-Sq1 reference-aligned coverage; topk=128
FlashAttentionSparse,3,"[[1, 64, 8, 128], [1, 1024, 2, 128], [1, 64, 2, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 1, ""nheads_q"": 8, ""nheads_kv"": 2, ""seqlen_q"": 64, ""seqlen_kv"": 1024, ""headdim"": 128, ""topk"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B1-Sq64 reference-aligned coverage; topk=128
FlashAttentionSparse,4,"[[2, 512, 16, 256], [2, 2000, 4, 256], [2, 512, 4, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 2, ""nheads_q"": 16, ""nheads_kv"": 4, ""seqlen_q"": 512, ""seqlen_kv"": 2000, ""headdim"": 256, ""topk"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B2-Sq512 reference-aligned coverage; topk=128
FlashAttentionSparse,5,"[[1, 1024, 32, 128], [1, 4096, 8, 128], [1, 1024, 8, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 1, ""nheads_q"": 32, ""nheads_kv"": 8, ""seqlen_q"": 1024, ""seqlen_kv"": 4096, ""headdim"": 128, ""topk"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B1-Sq1024 reference-aligned coverage; topk=128
FlashAttentionSparse,6,"[[2, 97, 8, 128], [2, 1111, 1, 128], [2, 97, 1, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 2, ""nheads_q"": 8, ""nheads_kv"": 1, ""seqlen_q"": 97, ""seqlen_kv"": 1111, ""headdim"": 128, ""topk"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B2-Sq97 reference-aligned coverage; topk=128
FlashAttentionSparse,7,"[[4, 200, 16, 256], [4, 4096, 2, 256], [4, 200, 2, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 4, ""nheads_q"": 16, ""nheads_kv"": 2, ""seqlen_q"": 200, ""seqlen_kv"": 4096, ""headdim"": 256, ""topk"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B4-Sq200 reference-aligned coverage; topk=128
FlashAttentionSparse,8,"[[1, 64, 8, 128], [1, 512, 4, 128], [1, 64, 4, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 1, ""nheads_q"": 8, ""nheads_kv"": 4, ""seqlen_q"": 64, ""seqlen_kv"": 512, ""headdim"": 128, ""topk"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B1-Sq64 reference-aligned coverage; topk=128
FlashAttentionSparse,9,"[[2, 128, 16, 512], [2, 2048, 1, 512], [2, 128, 1, 128]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 2, ""nheads_q"": 16, ""nheads_kv"": 1, ""seqlen_q"": 128, ""seqlen_kv"": 2048, ""headdim"": 512, ""topk"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B2-Sq128 reference-aligned coverage; topk=128
FlashAttentionSparse,10,"[[4, 1, 8, 256], [4, 1000, 1, 256], [4, 1, 1, 64]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 4, ""nheads_q"": 8, ""nheads_kv"": 1, ""seqlen_q"": 1, ""seqlen_kv"": 1000, ""headdim"": 256, ""topk"": 64, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B4-Sq1 reference-aligned coverage; topk=64
FlashAttentionSparse,11,"[[1, 64, 16, 128], [1, 4096, 4, 128], [1, 64, 4, 64]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 1, ""nheads_q"": 16, ""nheads_kv"": 4, ""seqlen_q"": 64, ""seqlen_kv"": 4096, ""headdim"": 128, ""topk"": 64, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B1-Sq64 reference-aligned coverage; topk=64
FlashAttentionSparse,12,"[[2, 200, 32, 256], [2, 2048, 8, 256], [2, 200, 8, 64]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 2, ""nheads_q"": 32, ""nheads_kv"": 8, ""seqlen_q"": 200, ""seqlen_kv"": 2048, ""headdim"": 256, ""topk"": 64, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B2-Sq200 reference-aligned coverage; topk=64
FlashAttentionSparse,13,"[[1, 1, 8, 128], [1, 256, 1, 128], [1, 1, 1, 64]]","[""float16"", ""float16"", ""int32""]","{""batch_size"": 1, ""nheads_q"": 8, ""nheads_kv"": 1, ""seqlen_q"": 1, ""seqlen_kv"": 256, ""headdim"": 128, ""topk"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], null]",,,float16 B1-Sq1 reference-aligned coverage; topk=64
FlashAttentionSparse,14,"[[2, 128, 16, 512], [2, 4096, 1, 512], [2, 128, 1, 64]]","[""float16"", ""float16"", ""int32""]","{""batch_size"": 2, ""nheads_q"": 16, ""nheads_kv"": 1, ""seqlen_q"": 128, ""seqlen_kv"": 4096, ""headdim"": 512, ""topk"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], null]",,,float16 B2-Sq128 reference-aligned coverage; topk=64
FlashAttentionSparse,15,"[[4, 97, 8, 128], [4, 1024, 2, 128], [4, 97, 2, 256]]","[""float16"", ""float16"", ""int32""]","{""batch_size"": 4, ""nheads_q"": 8, ""nheads_kv"": 2, ""seqlen_q"": 97, ""seqlen_kv"": 1024, ""headdim"": 128, ""topk"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], null]",,,float16 B4-Sq97 reference-aligned coverage; topk=256
FlashAttentionSparse,16,"[[1, 512, 32, 256], [1, 4096, 4, 256], [1, 512, 4, 256]]","[""float16"", ""float16"", ""int32""]","{""batch_size"": 1, ""nheads_q"": 32, ""nheads_kv"": 4, ""seqlen_q"": 512, ""seqlen_kv"": 4096, ""headdim"": 256, ""topk"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], null]",,,float16 B1-Sq512 reference-aligned coverage; topk=256
FlashAttentionSparse,17,"[[2, 200, 16, 128], [2, 2048, 8, 128], [2, 200, 8, 256]]","[""float16"", ""float16"", ""int32""]","{""batch_size"": 2, ""nheads_q"": 16, ""nheads_kv"": 8, ""seqlen_q"": 200, ""seqlen_kv"": 2048, ""headdim"": 128, ""topk"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], null]",,,float16 B2-Sq200 reference-aligned coverage; topk=256
FlashAttentionSparse,18,"[[4, 1024, 16, 256], [4, 4000, 1, 256], [4, 1024, 1, 256]]","[""float16"", ""float16"", ""int32""]","{""batch_size"": 4, ""nheads_q"": 16, ""nheads_kv"": 1, ""seqlen_q"": 1024, ""seqlen_kv"": 4000, ""headdim"": 256, ""topk"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], null]",,,float16 B4-Sq1024 reference-aligned coverage; topk=256
FlashAttentionSparse,19,"[[1, 1, 8, 128], [1, 128, 1, 128], [1, 1, 1, 8]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 1, ""nheads_q"": 8, ""nheads_kv"": 1, ""seqlen_q"": 1, ""seqlen_kv"": 128, ""headdim"": 128, ""topk"": 8, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B1-Sq1 reference-aligned coverage; topk=8
FlashAttentionSparse,20,"[[1, 64, 8, 128], [1, 256, 1, 128], [1, 64, 1, 16]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""batch_size"": 1, ""nheads_q"": 8, ""nheads_kv"": 1, ""seqlen_q"": 64, ""seqlen_kv"": 256, ""headdim"": 128, ""topk"": 16, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null]",,,bfloat16 B1-Sq64 reference-aligned coverage; topk=16
