operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
FlashAttentionTnd,1,"[[256, 4, 128], [256, 4, 128], [256, 4, 128], [2], [2]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""float16"", ""q_len_prefix"": [128, 256], ""kv_len_prefix"": [128, 256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq256-Tkv256 reference-aligned coverage
FlashAttentionTnd,2,"[[64, 4, 128], [64, 4, 128], [64, 4, 128], [1], [1]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""float16"", ""q_len_prefix"": [64], ""kv_len_prefix"": [64]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq64-Tkv64 reference-aligned coverage
FlashAttentionTnd,3,"[[512, 4, 128], [512, 4, 128], [512, 4, 128], [1], [1]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""float16"", ""q_len_prefix"": [512], ""kv_len_prefix"": [512]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq512-Tkv512 reference-aligned coverage
FlashAttentionTnd,4,"[[256, 4, 128], [256, 4, 128], [256, 4, 128], [4], [4]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""float16"", ""q_len_prefix"": [64, 128, 192, 256], ""kv_len_prefix"": [64, 128, 192, 256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq256-Tkv256 reference-aligned coverage
FlashAttentionTnd,5,"[[128, 4, 128], [256, 4, 128], [256, 4, 128], [2], [2]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""float16"", ""q_len_prefix"": [64, 128], ""kv_len_prefix"": [128, 256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq128-Tkv256 reference-aligned coverage
FlashAttentionTnd,6,"[[213, 4, 128], [230, 4, 128], [230, 4, 128], [2], [2]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""float16"", ""q_len_prefix"": [97, 213], ""kv_len_prefix"": [100, 230]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq213-Tkv230 reference-aligned coverage
FlashAttentionTnd,7,"[[256, 8, 64], [256, 8, 64], [256, 8, 64], [2], [2]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 8, ""dim"": 64, ""dtype"": ""float16"", ""q_len_prefix"": [128, 256], ""kv_len_prefix"": [128, 256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq256-Tkv256 reference-aligned coverage
FlashAttentionTnd,8,"[[256, 4, 256], [256, 4, 256], [256, 4, 256], [2], [2]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 256, ""dtype"": ""float16"", ""q_len_prefix"": [128, 256], ""kv_len_prefix"": [128, 256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq256-Tkv256 reference-aligned coverage
FlashAttentionTnd,9,"[[256, 4, 128], [256, 4, 128], [256, 4, 128], [2], [2]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""bfloat16"", ""q_len_prefix"": [128, 256], ""kv_len_prefix"": [128, 256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,bfloat16 Tq256-Tkv256 reference-aligned coverage
FlashAttentionTnd,10,"[[512, 8, 128], [512, 8, 128], [512, 8, 128], [2], [2]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int64"", ""int64""]","{""n_heads"": 8, ""dim"": 128, ""dtype"": ""bfloat16"", ""q_len_prefix"": [256, 512], ""kv_len_prefix"": [256, 512]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,bfloat16 Tq512-Tkv512 reference-aligned coverage
