operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
LocalAttention,1,"[[4, 8, 512, 128], [4, 8, 512, 128], [4, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S512 reference-aligned coverage; window_size=32
LocalAttention,2,"[[1, 8, 128, 128], [1, 8, 128, 128], [1, 8, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 128, ""d_k"": 128, ""window_size"": 16, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S128 reference-aligned coverage; window_size=16
LocalAttention,3,"[[4, 4, 256, 128], [4, 4, 256, 128], [4, 4, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 128, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S256 reference-aligned coverage; window_size=32
LocalAttention,4,"[[4, 8, 256, 512], [4, 8, 256, 512], [4, 8, 256, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 256, ""d_k"": 512, ""window_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S256 reference-aligned coverage; window_size=64
LocalAttention,5,"[[4, 16, 512, 128], [4, 16, 512, 128], [4, 16, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 16, ""seq_len"": 512, ""d_k"": 128, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S512 reference-aligned coverage; window_size=32
LocalAttention,6,"[[8, 8, 512, 512], [8, 8, 512, 512], [8, 8, 512, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 512, ""window_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B8-S512 reference-aligned coverage; window_size=64
LocalAttention,7,"[[2, 8, 512, 128], [2, 8, 512, 128], [2, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B2-S512 reference-aligned coverage; window_size=32
LocalAttention,8,"[[16, 4, 256, 512], [16, 4, 256, 512], [16, 4, 256, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 16, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 512, ""window_size"": 16, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B16-S256 reference-aligned coverage; window_size=16
LocalAttention,9,"[[4, 8, 1024, 128], [4, 8, 1024, 128], [4, 8, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 1024, ""d_k"": 128, ""window_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S1024 reference-aligned coverage; window_size=64
LocalAttention,10,"[[4, 32, 512, 128], [4, 32, 512, 128], [4, 32, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 32, ""seq_len"": 512, ""d_k"": 128, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B4-S512 reference-aligned coverage; window_size=32
LocalAttention,11,"[[1, 4, 64, 64], [1, 4, 64, 64], [1, 4, 64, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 64, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S64 reference-aligned coverage; window_size=32
LocalAttention,12,"[[1, 4, 64, 128], [1, 4, 64, 128], [1, 4, 64, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 64, ""d_k"": 128, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S64 reference-aligned coverage; window_size=32
LocalAttention,13,"[[1, 4, 128, 64], [1, 4, 128, 64], [1, 4, 128, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 128, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S128 reference-aligned coverage; window_size=32
