operator,case_id,input_shape,dtype,attrs,value_range,note
PagedAttentionKvCache,1,"[[4, 128, 16, 128], [256, 16, 8, 128], [256, 16, 8, 128], [4], [4, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 128, ""nheads_q"": 16, ""nheads_kv"": 8, ""headdim"": 128, ""page_block_size"": 16, ""num_blocks"": 256, ""max_blocks_per_seq"": 64, ""cache_seqlen"": 512, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null]",bfloat16 B4-Sq128 reference-aligned coverage; causal=True
PagedAttentionKvCache,2,"[[2, 64, 8, 64], [128, 16, 4, 64], [128, 16, 4, 64], [2], [2, 32]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 2, ""seqlen_q"": 64, ""nheads_q"": 8, ""nheads_kv"": 4, ""headdim"": 64, ""page_block_size"": 16, ""num_blocks"": 128, ""max_blocks_per_seq"": 32, ""cache_seqlen"": 256, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null]",bfloat16 B2-Sq64 reference-aligned coverage; causal=True
PagedAttentionKvCache,3,"[[1, 1, 16, 128], [64, 16, 8, 128], [64, 16, 8, 128], [1], [1, 16]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 1, ""seqlen_q"": 1, ""nheads_q"": 16, ""nheads_kv"": 8, ""headdim"": 128, ""page_block_size"": 16, ""num_blocks"": 64, ""max_blocks_per_seq"": 16, ""cache_seqlen"": 128, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null]",bfloat16 B1-Sq1 reference-aligned coverage; causal=True
PagedAttentionKvCache,4,"[[8, 128, 32, 128], [512, 16, 8, 128], [512, 16, 8, 128], [8], [8, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 8, ""seqlen_q"": 128, ""nheads_q"": 32, ""nheads_kv"": 8, ""headdim"": 128, ""page_block_size"": 16, ""num_blocks"": 512, ""max_blocks_per_seq"": 64, ""cache_seqlen"": 512, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null]",bfloat16 B8-Sq128 reference-aligned coverage; causal=True
PagedAttentionKvCache,5,"[[4, 97, 16, 128], [256, 16, 8, 128], [256, 16, 8, 128], [4], [4, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 97, ""nheads_q"": 16, ""nheads_kv"": 8, ""headdim"": 128, ""page_block_size"": 16, ""num_blocks"": 256, ""max_blocks_per_seq"": 64, ""cache_seqlen"": 512, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null]",bfloat16 B4-Sq97 reference-aligned coverage; causal=True
PagedAttentionKvCache,6,"[[4, 200, 16, 128], [256, 16, 8, 128], [256, 16, 8, 128], [4], [4, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 200, ""nheads_q"": 16, ""nheads_kv"": 8, ""headdim"": 128, ""page_block_size"": 16, ""num_blocks"": 256, ""max_blocks_per_seq"": 64, ""cache_seqlen"": 512, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null]",bfloat16 B4-Sq200 reference-aligned coverage; causal=True
PagedAttentionKvCache,7,"[[2, 128, 16, 64], [128, 16, 16, 64], [128, 16, 16, 64], [2], [2, 32]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 2, ""seqlen_q"": 128, ""nheads_q"": 16, ""nheads_kv"": 16, ""headdim"": 64, ""page_block_size"": 16, ""num_blocks"": 128, ""max_blocks_per_seq"": 32, ""cache_seqlen"": 256, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null]",bfloat16 B2-Sq128 reference-aligned coverage; causal=True
PagedAttentionKvCache,8,"[[4, 128, 16, 64], [256, 16, 8, 64], [256, 16, 8, 64], [4], [4, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 128, ""nheads_q"": 16, ""nheads_kv"": 8, ""headdim"": 64, ""page_block_size"": 16, ""num_blocks"": 256, ""max_blocks_per_seq"": 64, ""cache_seqlen"": 512, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null]",bfloat16 B4-Sq128 reference-aligned coverage; causal=True
PagedAttentionKvCache,9,"[[1, 64, 8, 128], [64, 16, 8, 128], [64, 16, 8, 128], [1], [1, 16]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 1, ""seqlen_q"": 64, ""nheads_q"": 8, ""nheads_kv"": 8, ""headdim"": 128, ""page_block_size"": 16, ""num_blocks"": 64, ""max_blocks_per_seq"": 16, ""cache_seqlen"": 256, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null]",bfloat16 B1-Sq64 reference-aligned coverage; causal=True
PagedAttentionKvCache,10,"[[4, 128, 16, 128], [256, 16, 8, 128], [256, 16, 8, 128], [4], [4, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 128, ""nheads_q"": 16, ""nheads_kv"": 8, ""headdim"": 128, ""page_block_size"": 16, ""num_blocks"": 256, ""max_blocks_per_seq"": 64, ""cache_seqlen"": 256, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], null, null]",bfloat16 B4-Sq128 reference-aligned coverage; causal=True
