operator,case_id,input_shape,dtype,attrs,value_range,note
ScaledDotProductAttention,1,"[[2, 8, 128, 128], [2, 8, 128, 128], [2, 8, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 8, ""seq_len"": 128, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S128 reference-aligned coverage
ScaledDotProductAttention,2,"[[1, 8, 128, 128], [1, 8, 128, 128], [1, 8, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 128, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S128 reference-aligned coverage
ScaledDotProductAttention,3,"[[4, 4, 256, 128], [4, 4, 256, 128], [4, 4, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S256 reference-aligned coverage
ScaledDotProductAttention,4,"[[4, 16, 512, 512], [4, 16, 512, 512], [4, 16, 512, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 16, ""seq_len"": 512, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S512 reference-aligned coverage
ScaledDotProductAttention,5,"[[8, 8, 512, 128], [8, 8, 512, 128], [8, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B8-S512 reference-aligned coverage
ScaledDotProductAttention,6,"[[2, 32, 512, 512], [2, 32, 512, 512], [2, 32, 512, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 32, ""seq_len"": 512, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S512 reference-aligned coverage
ScaledDotProductAttention,7,"[[4, 8, 512, 128], [4, 8, 512, 128], [4, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S512 reference-aligned coverage
ScaledDotProductAttention,8,"[[16, 4, 256, 512], [16, 4, 256, 512], [16, 4, 256, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 16, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B16-S256 reference-aligned coverage
ScaledDotProductAttention,9,"[[4, 8, 1024, 128], [4, 8, 1024, 128], [4, 8, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 1024, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S1024 reference-aligned coverage
ScaledDotProductAttention,10,"[[4, 8, 256, 128], [4, 8, 256, 128], [4, 8, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 256, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S256 reference-aligned coverage
ScaledDotProductAttention,11,"[[1, 4, 64, 64], [1, 4, 64, 64], [1, 4, 64, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 64, ""d_k"": 64, ""dtype"": ""float16"", ""dropout"": 0.0}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S64 reference-aligned coverage
ScaledDotProductAttention,12,"[[1, 4, 64, 128], [1, 4, 64, 128], [1, 4, 64, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 64, ""d_k"": 128, ""dtype"": ""float16"", ""dropout"": 0.0}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S64 reference-aligned coverage
ScaledDotProductAttention,13,"[[1, 4, 128, 64], [1, 4, 128, 64], [1, 4, 128, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 128, ""d_k"": 64, ""dtype"": ""float16"", ""dropout"": 0.0}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S128 reference-aligned coverage
ScaledDotProductAttention,14,"[[1, 4, 128, 128], [1, 4, 128, 128], [1, 4, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 128, ""d_k"": 128, ""dtype"": ""float16"", ""dropout"": 0.0}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S128 reference-aligned coverage
ScaledDotProductAttention,15,"[[1, 4, 256, 64], [1, 4, 256, 64], [1, 4, 256, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 64, ""dtype"": ""float16"", ""dropout"": 0.0}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S256 reference-aligned coverage
ScaledDotProductAttention,16,"[[1, 4, 256, 128], [1, 4, 256, 128], [1, 4, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 128, ""dtype"": ""float16"", ""dropout"": 0.0}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S256 reference-aligned coverage
ScaledDotProductAttention,17,"[[1, 4, 512, 64], [1, 4, 512, 64], [1, 4, 512, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 512, ""d_k"": 64, ""dtype"": ""float16"", ""dropout"": 0.0}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S512 reference-aligned coverage
ScaledDotProductAttention,18,"[[1, 4, 512, 128], [1, 4, 512, 128], [1, 4, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16"", ""dropout"": 0.0}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S512 reference-aligned coverage
ScaledDotProductAttention,19,"[[1, 4, 1024, 64], [1, 4, 1024, 64], [1, 4, 1024, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 1024, ""d_k"": 64, ""dtype"": ""float16"", ""dropout"": 0.0}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S1024 reference-aligned coverage
ScaledDotProductAttention,20,"[[1, 4, 1024, 128], [1, 4, 1024, 128], [1, 4, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 1024, ""d_k"": 128, ""dtype"": ""float16"", ""dropout"": 0.0}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S1024 reference-aligned coverage
