operator,case_id,input_shape,dtype,attrs,value_range,note
BigbirdAttention,1,"[[32, 4, 512, 128], [32, 4, 512, 128], [32, 4, 512, 128], [512, 512]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 32, ""seq_len"": 512, ""d_model"": 512, ""n_heads"": 4, ""window_size"": 32, ""num_random_blocks"": 3}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B32-S512 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,2,"[[1, 4, 128, 128], [1, 4, 128, 128], [1, 4, 128, 128], [128, 128]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 1, ""seq_len"": 128, ""d_model"": 512, ""n_heads"": 4, ""window_size"": 16, ""num_random_blocks"": 2}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B1-S128 reference-aligned coverage; window_size=16, num_random_blocks=2"
BigbirdAttention,3,"[[4, 8, 256, 128], [4, 8, 256, 128], [4, 8, 256, 128], [256, 256]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 4, ""seq_len"": 256, ""d_model"": 1024, ""n_heads"": 8, ""window_size"": 32, ""num_random_blocks"": 3}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B4-S256 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,4,"[[4, 8, 512, 128], [4, 8, 512, 128], [4, 8, 512, 128], [512, 512]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 4, ""seq_len"": 512, ""d_model"": 1024, ""n_heads"": 8, ""window_size"": 64, ""num_random_blocks"": 4}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B4-S512 reference-aligned coverage; window_size=64, num_random_blocks=4"
BigbirdAttention,5,"[[8, 8, 128, 128], [8, 8, 128, 128], [8, 8, 128, 128], [128, 128]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 8, ""seq_len"": 128, ""d_model"": 1024, ""n_heads"": 8, ""window_size"": 32, ""num_random_blocks"": 3}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B8-S128 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,6,"[[2, 8, 512, 512], [2, 8, 512, 512], [2, 8, 512, 512], [512, 512]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 2, ""seq_len"": 512, ""d_model"": 4096, ""n_heads"": 8, ""window_size"": 64, ""num_random_blocks"": 3}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B2-S512 reference-aligned coverage; window_size=64, num_random_blocks=3"
BigbirdAttention,7,"[[4, 4, 256, 128], [4, 4, 256, 128], [4, 4, 256, 128], [256, 256]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 4, ""seq_len"": 256, ""d_model"": 512, ""n_heads"": 4, ""window_size"": 16, ""num_random_blocks"": 2}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B4-S256 reference-aligned coverage; window_size=16, num_random_blocks=2"
BigbirdAttention,8,"[[16, 16, 128, 128], [16, 16, 128, 128], [16, 16, 128, 128], [128, 128]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 16, ""seq_len"": 128, ""d_model"": 2048, ""n_heads"": 16, ""window_size"": 32, ""num_random_blocks"": 3}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B16-S128 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,9,"[[4, 16, 512, 128], [4, 16, 512, 128], [4, 16, 512, 128], [512, 512]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 4, ""seq_len"": 512, ""d_model"": 2048, ""n_heads"": 16, ""window_size"": 32, ""num_random_blocks"": 3}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B4-S512 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,10,"[[2, 8, 1024, 128], [2, 8, 1024, 128], [2, 8, 1024, 128], [1024, 1024]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 2, ""seq_len"": 1024, ""d_model"": 1024, ""n_heads"": 8, ""window_size"": 64, ""num_random_blocks"": 4}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B2-S1024 reference-aligned coverage; window_size=64, num_random_blocks=4"
BigbirdAttention,11,"[[4, 4, 256, 128], [4, 4, 256, 128], [4, 4, 256, 128], [256, 256]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 4, ""seq_len"": 256, ""d_model"": 512, ""n_heads"": 4, ""window_size"": 32, ""num_random_blocks"": 3}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B4-S256 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,12,"[[1, 4, 128, 128], [1, 4, 128, 128], [1, 4, 128, 128], [128, 128]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 1, ""seq_len"": 128, ""d_model"": 512, ""n_heads"": 4, ""window_size"": 32, ""num_random_blocks"": 3, ""dtype"": ""float32""}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B1-S128 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,13,"[[1, 4, 256, 128], [1, 4, 256, 128], [1, 4, 256, 128], [256, 256]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 1, ""seq_len"": 256, ""d_model"": 512, ""n_heads"": 4, ""window_size"": 32, ""num_random_blocks"": 3, ""dtype"": ""float32""}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B1-S256 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,14,"[[1, 4, 512, 128], [1, 4, 512, 128], [1, 4, 512, 128], [512, 512]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 1, ""seq_len"": 512, ""d_model"": 512, ""n_heads"": 4, ""window_size"": 32, ""num_random_blocks"": 3, ""dtype"": ""float32""}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B1-S512 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,15,"[[1, 4, 1024, 128], [1, 4, 1024, 128], [1, 4, 1024, 128], [1024, 1024]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 1, ""seq_len"": 1024, ""d_model"": 512, ""n_heads"": 4, ""window_size"": 32, ""num_random_blocks"": 3, ""dtype"": ""float32""}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B1-S1024 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,16,"[[1, 8, 128, 128], [1, 8, 128, 128], [1, 8, 128, 128], [128, 128]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 1, ""seq_len"": 128, ""d_model"": 1024, ""n_heads"": 8, ""window_size"": 32, ""num_random_blocks"": 3, ""dtype"": ""float32""}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B1-S128 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,17,"[[1, 8, 256, 128], [1, 8, 256, 128], [1, 8, 256, 128], [256, 256]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 1, ""seq_len"": 256, ""d_model"": 1024, ""n_heads"": 8, ""window_size"": 32, ""num_random_blocks"": 3, ""dtype"": ""float32""}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B1-S256 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,18,"[[1, 8, 512, 128], [1, 8, 512, 128], [1, 8, 512, 128], [512, 512]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 1, ""seq_len"": 512, ""d_model"": 1024, ""n_heads"": 8, ""window_size"": 32, ""num_random_blocks"": 3, ""dtype"": ""float32""}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B1-S512 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,19,"[[1, 8, 1024, 128], [1, 8, 1024, 128], [1, 8, 1024, 128], [1024, 1024]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 1, ""seq_len"": 1024, ""d_model"": 1024, ""n_heads"": 8, ""window_size"": 32, ""num_random_blocks"": 3, ""dtype"": ""float32""}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B1-S1024 reference-aligned coverage; window_size=32, num_random_blocks=3"
BigbirdAttention,20,"[[1, 16, 128, 128], [1, 16, 128, 128], [1, 16, 128, 128], [128, 128]]","[""float32"", ""float32"", ""float32"", ""uint8""]","{""batch_size"": 1, ""seq_len"": 128, ""d_model"": 2048, ""n_heads"": 16, ""window_size"": 32, ""num_random_blocks"": 3, ""dtype"": ""float32""}","[[-1, 1], [-1, 1], [-1, 1], null]","float32 B1-S128 reference-aligned coverage; window_size=32, num_random_blocks=3"
