operator,case_id,input_shape,dtype,attrs,value_range,note
FlashAttentionCausal,1,"[[4, 32, 128, 512], [4, 32, 128, 512], [4, 32, 128, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""num_heads"": 32, ""seq_len"": 128, ""head_dim"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S128 reference-aligned coverage
FlashAttentionCausal,2,"[[1, 1, 1, 128], [1, 1, 1, 128], [1, 1, 1, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""num_heads"": 1, ""seq_len"": 1, ""head_dim"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S1 reference-aligned coverage
FlashAttentionCausal,3,"[[2, 4, 64, 128], [2, 4, 64, 128], [2, 4, 64, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""num_heads"": 4, ""seq_len"": 64, ""head_dim"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S64 reference-aligned coverage
FlashAttentionCausal,4,"[[4, 8, 97, 128], [4, 8, 97, 128], [4, 8, 97, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""num_heads"": 8, ""seq_len"": 97, ""head_dim"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S97 reference-aligned coverage
FlashAttentionCausal,5,"[[1, 16, 128, 128], [1, 16, 128, 128], [1, 16, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""num_heads"": 16, ""seq_len"": 128, ""head_dim"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S128 reference-aligned coverage
FlashAttentionCausal,6,"[[2, 8, 200, 256], [2, 8, 200, 256], [2, 8, 200, 256]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""num_heads"": 8, ""seq_len"": 200, ""head_dim"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S200 reference-aligned coverage
FlashAttentionCausal,7,"[[8, 16, 256, 128], [8, 16, 256, 128], [8, 16, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""num_heads"": 16, ""seq_len"": 256, ""head_dim"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B8-S256 reference-aligned coverage
FlashAttentionCausal,8,"[[1, 8, 512, 256], [1, 8, 512, 256], [1, 8, 512, 256]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""num_heads"": 8, ""seq_len"": 512, ""head_dim"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S512 reference-aligned coverage
FlashAttentionCausal,9,"[[2, 32, 1024, 128], [2, 32, 1024, 128], [2, 32, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""num_heads"": 32, ""seq_len"": 1024, ""head_dim"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S1024 reference-aligned coverage
FlashAttentionCausal,10,"[[4, 16, 2048, 128], [4, 16, 2048, 128], [4, 16, 2048, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""num_heads"": 16, ""seq_len"": 2048, ""head_dim"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S2048 reference-aligned coverage
FlashAttentionCausal,11,"[[1, 4, 97, 512], [1, 4, 97, 512], [1, 4, 97, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 1, ""num_heads"": 4, ""seq_len"": 97, ""head_dim"": 512, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1]]",bfloat16 B1-S97 reference-aligned coverage
FlashAttentionCausal,12,"[[2, 8, 128, 256], [2, 8, 128, 256], [2, 8, 128, 256]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 2, ""num_heads"": 8, ""seq_len"": 128, ""head_dim"": 256, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1]]",bfloat16 B2-S128 reference-aligned coverage
