operator,case_id,input_shape,dtype,attrs,value_range,note
FlashAttentionPa,1,"[[4, 32, 512, 128], [4, 128, 32, 128], [4, 128, 32, 128], [4, 4]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 4, ""seq_len"": 512, ""n_heads"": 32, ""head_dim"": 128, ""block_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B4-S512 reference-aligned coverage; block_size=128
FlashAttentionPa,2,"[[1, 8, 64, 128], [1, 64, 8, 128], [1, 64, 8, 128], [1, 1]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 1, ""seq_len"": 64, ""n_heads"": 8, ""head_dim"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B1-S64 reference-aligned coverage; block_size=64
FlashAttentionPa,3,"[[2, 16, 256, 128], [2, 128, 16, 128], [2, 128, 16, 128], [2, 2]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 2, ""seq_len"": 256, ""n_heads"": 16, ""head_dim"": 128, ""block_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B2-S256 reference-aligned coverage; block_size=128
FlashAttentionPa,4,"[[4, 32, 1024, 256], [8, 128, 32, 256], [8, 128, 32, 256], [4, 8]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 4, ""seq_len"": 1024, ""n_heads"": 32, ""head_dim"": 256, ""block_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B4-S1024 reference-aligned coverage; block_size=128
FlashAttentionPa,5,"[[8, 8, 2048, 128], [16, 128, 8, 128], [16, 128, 8, 128], [8, 16]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 8, ""seq_len"": 2048, ""n_heads"": 8, ""head_dim"": 128, ""block_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B8-S2048 reference-aligned coverage; block_size=128
FlashAttentionPa,6,"[[4, 32, 4096, 512], [32, 128, 32, 512], [32, 128, 32, 512], [4, 32]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 4, ""seq_len"": 4096, ""n_heads"": 32, ""head_dim"": 512, ""block_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B4-S4096 reference-aligned coverage; block_size=128
FlashAttentionPa,7,"[[4, 16, 384, 256], [3, 128, 16, 256], [3, 128, 16, 256], [4, 3]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 4, ""seq_len"": 384, ""n_heads"": 16, ""head_dim"": 256, ""block_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B4-S384 reference-aligned coverage; block_size=128
FlashAttentionPa,8,"[[8, 16, 1024, 512], [8, 128, 16, 512], [8, 128, 16, 512], [8, 8]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 8, ""seq_len"": 1024, ""n_heads"": 16, ""head_dim"": 512, ""block_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B8-S1024 reference-aligned coverage; block_size=128
FlashAttentionPa,9,"[[2, 8, 512, 512], [2, 256, 8, 512], [2, 256, 8, 512], [2, 2]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 2, ""seq_len"": 512, ""n_heads"": 8, ""head_dim"": 512, ""block_size"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B2-S512 reference-aligned coverage; block_size=256
FlashAttentionPa,10,"[[16, 8, 256, 128], [4, 64, 8, 128], [4, 64, 8, 128], [16, 4]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 16, ""seq_len"": 256, ""n_heads"": 8, ""head_dim"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B16-S256 reference-aligned coverage; block_size=64
FlashAttentionPa,11,"[[4, 8, 8192, 128], [64, 128, 8, 128], [64, 128, 8, 128], [4, 64]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 4, ""seq_len"": 8192, ""n_heads"": 8, ""head_dim"": 128, ""block_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B4-S8192 reference-aligned coverage; block_size=128
FlashAttentionPa,12,"[[4, 32, 192, 128], [3, 64, 32, 128], [3, 64, 32, 128], [4, 3]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 4, ""seq_len"": 192, ""n_heads"": 32, ""head_dim"": 128, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B4-S192 reference-aligned coverage; block_size=64
FlashAttentionPa,13,"[[2, 16, 320, 256], [5, 64, 16, 256], [5, 64, 16, 256], [2, 5]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""batch_size"": 2, ""seq_len"": 320, ""n_heads"": 16, ""head_dim"": 256, ""block_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], null]",float16 B2-S320 reference-aligned coverage; block_size=64
