operator,case_id,input_shape,dtype,attrs,value_range,note
FlashAttentionSink,1,"[[4, 32, 1, 128], [4, 32, 1024, 128], [4, 32, 1024, 128], [4, 32, 128, 128], [4, 32, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 32, ""seq_len_q"": 1, ""seq_len_kv"": 1024, ""d_k"": 128, ""sink_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16 B4-Sq1-Skv1024 reference-aligned coverage; sink_size=128
FlashAttentionSink,2,"[[1, 8, 1, 128], [1, 8, 64, 128], [1, 8, 64, 128], [1, 8, 128, 128], [1, 8, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len_q"": 1, ""seq_len_kv"": 64, ""d_k"": 128, ""sink_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16 B1-Sq1-Skv64 reference-aligned coverage; sink_size=128
FlashAttentionSink,3,"[[2, 16, 1, 128], [2, 16, 256, 128], [2, 16, 256, 128], [2, 16, 128, 128], [2, 16, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 16, ""seq_len_q"": 1, ""seq_len_kv"": 256, ""d_k"": 128, ""sink_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16 B2-Sq1-Skv256 reference-aligned coverage; sink_size=128
FlashAttentionSink,4,"[[8, 32, 1, 128], [8, 32, 2048, 128], [8, 32, 2048, 128], [8, 32, 128, 128], [8, 32, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 32, ""seq_len_q"": 1, ""seq_len_kv"": 2048, ""d_k"": 128, ""sink_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16 B8-Sq1-Skv2048 reference-aligned coverage; sink_size=128
FlashAttentionSink,5,"[[1, 16, 1, 128], [1, 16, 97, 128], [1, 16, 97, 128], [1, 16, 128, 128], [1, 16, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 16, ""seq_len_q"": 1, ""seq_len_kv"": 97, ""d_k"": 128, ""sink_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16 B1-Sq1-Skv97 reference-aligned coverage; sink_size=128
FlashAttentionSink,6,"[[2, 8, 1, 128], [2, 8, 200, 128], [2, 8, 200, 128], [2, 8, 128, 128], [2, 8, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 8, ""seq_len_q"": 1, ""seq_len_kv"": 200, ""d_k"": 128, ""sink_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16 B2-Sq1-Skv200 reference-aligned coverage; sink_size=128
FlashAttentionSink,7,"[[4, 16, 1, 128], [4, 16, 513, 128], [4, 16, 513, 128], [4, 16, 128, 128], [4, 16, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 16, ""seq_len_q"": 1, ""seq_len_kv"": 513, ""d_k"": 128, ""sink_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16 B4-Sq1-Skv513 reference-aligned coverage; sink_size=128
FlashAttentionSink,8,"[[1, 32, 1, 128], [1, 32, 4096, 128], [1, 32, 4096, 128], [1, 32, 128, 128], [1, 32, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 32, ""seq_len_q"": 1, ""seq_len_kv"": 4096, ""d_k"": 128, ""sink_size"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16 B1-Sq1-Skv4096 reference-aligned coverage; sink_size=128
FlashAttentionSink,9,"[[2, 16, 1, 128], [2, 16, 64, 128], [2, 16, 64, 128], [2, 16, 128, 128], [2, 16, 128, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 2, ""n_heads"": 16, ""seq_len_q"": 1, ""seq_len_kv"": 64, ""d_k"": 128, ""sink_size"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16 B2-Sq1-Skv64 reference-aligned coverage; sink_size=128
FlashAttentionSink,10,"[[4, 32, 1, 128], [4, 32, 1024, 128], [4, 32, 1024, 128], [4, 32, 128, 128], [4, 32, 128, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 4, ""n_heads"": 32, ""seq_len_q"": 1, ""seq_len_kv"": 1024, ""d_k"": 128, ""sink_size"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16 B4-Sq1-Skv1024 reference-aligned coverage; sink_size=128
