operator,case_id,input_shape,dtype,attrs,value_range,note
GroupedQueryAttention,1,"[[4, 8, 512, 128], [4, 2, 512, 128], [4, 2, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""n_kv_heads"": 2, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S512 reference-aligned coverage
GroupedQueryAttention,2,"[[1, 8, 128, 128], [1, 2, 128, 128], [1, 2, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""n_kv_heads"": 2, ""seq_len"": 128, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S128 reference-aligned coverage
GroupedQueryAttention,3,"[[4, 8, 256, 128], [4, 1, 256, 128], [4, 1, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""n_kv_heads"": 1, ""seq_len"": 256, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S256 reference-aligned coverage
GroupedQueryAttention,4,"[[4, 8, 256, 512], [4, 4, 256, 512], [4, 4, 256, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""n_kv_heads"": 4, ""seq_len"": 256, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S256 reference-aligned coverage
GroupedQueryAttention,5,"[[4, 8, 512, 128], [4, 8, 512, 128], [4, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""n_kv_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S512 reference-aligned coverage
GroupedQueryAttention,6,"[[4, 16, 512, 512], [4, 4, 512, 512], [4, 4, 512, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 16, ""n_kv_heads"": 4, ""seq_len"": 512, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S512 reference-aligned coverage
GroupedQueryAttention,7,"[[8, 8, 512, 128], [8, 2, 512, 128], [8, 2, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 8, ""n_kv_heads"": 2, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B8-S512 reference-aligned coverage
GroupedQueryAttention,8,"[[16, 4, 256, 512], [16, 1, 256, 512], [16, 1, 256, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 16, ""n_heads"": 4, ""n_kv_heads"": 1, ""seq_len"": 256, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B16-S256 reference-aligned coverage
GroupedQueryAttention,9,"[[4, 32, 512, 128], [4, 8, 512, 128], [4, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 32, ""n_kv_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S512 reference-aligned coverage
GroupedQueryAttention,10,"[[2, 8, 1024, 512], [2, 2, 1024, 512], [2, 2, 1024, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 8, ""n_kv_heads"": 2, ""seq_len"": 1024, ""d_k"": 512, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S1024 reference-aligned coverage
