operator,case_id,input_shape,dtype,attrs,value_range,note
LongformerAttention,1,"[[32, 8, 512, 128], [32, 8, 512, 128], [32, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 32, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B32-S512 reference-aligned coverage; window_size=32
LongformerAttention,2,"[[4, 8, 512, 128], [4, 8, 512, 128], [4, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""window_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S512 reference-aligned coverage; window_size=64
LongformerAttention,3,"[[8, 8, 512, 512], [8, 8, 512, 512], [8, 8, 512, 512]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 8, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 512, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B8-S512 reference-aligned coverage; window_size=32
LongformerAttention,4,"[[2, 8, 512, 128], [2, 8, 512, 128], [2, 8, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""window_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S512 reference-aligned coverage; window_size=64
LongformerAttention,5,"[[4, 8, 1024, 128], [4, 8, 1024, 128], [4, 8, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 4, ""n_heads"": 8, ""seq_len"": 1024, ""d_k"": 128, ""window_size"": 64, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B4-S1024 reference-aligned coverage; window_size=64
LongformerAttention,6,"[[1, 4, 512, 64], [1, 4, 512, 64], [1, 4, 512, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 512, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S512 reference-aligned coverage; window_size=32
LongformerAttention,7,"[[1, 4, 768, 64], [1, 4, 768, 64], [1, 4, 768, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 768, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S768 reference-aligned coverage; window_size=32
LongformerAttention,8,"[[1, 4, 1024, 64], [1, 4, 1024, 64], [1, 4, 1024, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 1024, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S1024 reference-aligned coverage; window_size=32
LongformerAttention,9,"[[1, 4, 2048, 64], [1, 4, 2048, 64], [1, 4, 2048, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 2048, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S2048 reference-aligned coverage; window_size=32
LongformerAttention,10,"[[1, 8, 512, 64], [1, 8, 512, 64], [1, 8, 512, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S512 reference-aligned coverage; window_size=32
LongformerAttention,11,"[[1, 8, 768, 64], [1, 8, 768, 64], [1, 8, 768, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 768, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S768 reference-aligned coverage; window_size=32
LongformerAttention,12,"[[1, 8, 1024, 64], [1, 8, 1024, 64], [1, 8, 1024, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 1024, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S1024 reference-aligned coverage; window_size=32
LongformerAttention,13,"[[1, 8, 2048, 64], [1, 8, 2048, 64], [1, 8, 2048, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 2048, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S2048 reference-aligned coverage; window_size=32
LongformerAttention,14,"[[1, 16, 512, 64], [1, 16, 512, 64], [1, 16, 512, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 16, ""seq_len"": 512, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S512 reference-aligned coverage; window_size=32
LongformerAttention,15,"[[1, 16, 768, 64], [1, 16, 768, 64], [1, 16, 768, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 16, ""seq_len"": 768, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S768 reference-aligned coverage; window_size=32
LongformerAttention,16,"[[1, 16, 1024, 64], [1, 16, 1024, 64], [1, 16, 1024, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 16, ""seq_len"": 1024, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S1024 reference-aligned coverage; window_size=32
LongformerAttention,17,"[[1, 16, 2048, 64], [1, 16, 2048, 64], [1, 16, 2048, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 16, ""seq_len"": 2048, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B1-S2048 reference-aligned coverage; window_size=32
LongformerAttention,18,"[[2, 4, 512, 64], [2, 4, 512, 64], [2, 4, 512, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 4, ""seq_len"": 512, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S512 reference-aligned coverage; window_size=32
LongformerAttention,19,"[[2, 4, 768, 64], [2, 4, 768, 64], [2, 4, 768, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 4, ""seq_len"": 768, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S768 reference-aligned coverage; window_size=32
LongformerAttention,20,"[[2, 4, 1024, 64], [2, 4, 1024, 64], [2, 4, 1024, 64]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 4, ""seq_len"": 1024, ""d_k"": 64, ""window_size"": 32, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",float16 B2-S1024 reference-aligned coverage; window_size=32
