operator,case_id,input_shape,dtype,attrs,value_range,note
MultiHeadLatentAttention,1,"[[4, 128, 16, 576], [128, 16, 1, 576], [4, 32], [4]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 128, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 32, ""num_blocks"": 128, ""cache_seqlen"": 512, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B4-Sq128 reference-aligned coverage; causal=True
MultiHeadLatentAttention,2,"[[1, 1, 16, 576], [4, 16, 1, 576], [1, 4], [1]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 1, ""seqlen_q"": 1, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 4, ""num_blocks"": 4, ""cache_seqlen"": 64, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B1-Sq1 reference-aligned coverage; causal=True
MultiHeadLatentAttention,3,"[[1, 4, 16, 576], [8, 16, 1, 576], [1, 8], [1]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 1, ""seqlen_q"": 4, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 8, ""num_blocks"": 8, ""cache_seqlen"": 128, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B1-Sq4 reference-aligned coverage; causal=True
MultiHeadLatentAttention,4,"[[1, 16, 16, 576], [16, 16, 1, 576], [1, 16], [1]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 1, ""seqlen_q"": 16, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 16, ""num_blocks"": 16, ""cache_seqlen"": 256, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B1-Sq16 reference-aligned coverage; causal=True
MultiHeadLatentAttention,5,"[[1, 64, 16, 576], [64, 16, 1, 576], [1, 64], [1]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 1, ""seqlen_q"": 64, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 64, ""num_blocks"": 64, ""cache_seqlen"": 1024, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B1-Sq64 reference-aligned coverage; causal=True
MultiHeadLatentAttention,6,"[[2, 1, 16, 576], [14, 16, 1, 576], [2, 7], [2]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 2, ""seqlen_q"": 1, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 7, ""num_blocks"": 14, ""cache_seqlen"": 97, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B2-Sq1 reference-aligned coverage; causal=True
MultiHeadLatentAttention,7,"[[2, 4, 16, 576], [16, 16, 1, 576], [2, 8], [2]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 2, ""seqlen_q"": 4, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 8, ""num_blocks"": 16, ""cache_seqlen"": 128, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B2-Sq4 reference-aligned coverage; causal=True
MultiHeadLatentAttention,8,"[[2, 16, 16, 576], [26, 16, 1, 576], [2, 13], [2]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 2, ""seqlen_q"": 16, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 13, ""num_blocks"": 26, ""cache_seqlen"": 200, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B2-Sq16 reference-aligned coverage; causal=True
MultiHeadLatentAttention,9,"[[2, 128, 16, 576], [64, 16, 1, 576], [2, 32], [2]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 2, ""seqlen_q"": 128, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 32, ""num_blocks"": 64, ""cache_seqlen"": 512, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B2-Sq128 reference-aligned coverage; causal=True
MultiHeadLatentAttention,10,"[[4, 1, 16, 576], [16, 16, 1, 576], [4, 4], [4]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 1, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 4, ""num_blocks"": 16, ""cache_seqlen"": 64, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B4-Sq1 reference-aligned coverage; causal=True
MultiHeadLatentAttention,11,"[[4, 4, 16, 576], [64, 16, 1, 576], [4, 16], [4]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""batch_size"": 4, ""seqlen_q"": 4, ""nheads_q"": 16, ""headdim_qk"": 576, ""headdim_v"": 512, ""page_block_size"": 16, ""max_blocks_per_seq"": 16, ""num_blocks"": 64, ""cache_seqlen"": 256, ""causal"": true, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], null, null]",bfloat16 B4-Sq4 reference-aligned coverage; causal=True
