operator,case_id,input_shape,dtype,attrs,value_range,note
FusedQuantMatMul,1,"[[4, 64], [64, 32], [4], [32], [32]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_erf"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",smoke-gelu_erf-M4K64N32
FusedQuantMatMul,2,"[[8, 64], [64, 64], [8], [64], [64]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_tanh"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",smoke-gelu_tanh-M8K64N64
FusedQuantMatMul,3,"[[1, 64], [64, 16], [1], [16], [16]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_erf"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",edge-tinyM1-gelu_erf-M1K64N16
FusedQuantMatMul,4,"[[5, 96], [96, 48], [5], [48], [48]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_erf"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",edge-nonAlignedMN-gelu_erf-M5K96N48
FusedQuantMatMul,5,"[[7, 160], [160, 80], [7], [80], [80]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_tanh"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",edge-nonAlignedTail-gelu_tanh-M7K160N80
FusedQuantMatMul,6,"[[3, 130], [130, 48], [3], [48], [48]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_tanh"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",edge-nonAlignedK130-gelu_tanh-M3K130N48
FusedQuantMatMul,7,"[[1024, 1024], [1024, 4096], [1024], [4096], [4096]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_erf"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-mlpUp-gelu_erf-M1024K1024N4096
FusedQuantMatMul,8,"[[2048, 1024], [1024, 4096], [2048], [4096], [4096]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_tanh"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-mlpUp-gelu_tanh-M2048K1024N4096
FusedQuantMatMul,9,"[[1536, 1536], [1536, 1536], [1536], [1536], [1536]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_erf"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-qkvProj-gelu_erf-M1536K1536N1536
FusedQuantMatMul,10,"[[2560, 2048], [2048, 2048], [2560], [2048], [2048]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_tanh"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-attnProj-gelu_tanh-M2560K2048N2048
FusedQuantMatMul,11,"[[4096, 2048], [2048, 2048], [4096], [2048], [2048]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_erf"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-prefill-gelu_erf-M4096K2048N2048
FusedQuantMatMul,12,"[[1024, 4096], [4096, 4096], [1024], [4096], [4096]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_tanh"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-mlpDown-gelu_tanh-M1024K4096N4096
FusedQuantMatMul,13,"[[512, 5120], [5120, 5120], [512], [5120], [5120]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_erf"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-maxDim5120-gelu_erf-M512K5120N5120
FusedQuantMatMul,14,"[[3072, 2560], [2560, 1024], [3072], [1024], [1024]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_tanh"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-largeM-gelu_tanh-M3072K2560N1024
FusedQuantMatMul,15,"[[5120, 1024], [1024, 1024], [5120], [1024], [1024]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_erf"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-maxM5120-gelu_erf-M5120K1024N1024
FusedQuantMatMul,16,"[[2048, 3072], [3072, 3072], [2048], [3072], [3072]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_tanh"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-mlp-gelu_tanh-M2048K3072N3072
FusedQuantMatMul,17,"[[1536, 2048], [2048, 5120], [1536], [5120], [5120]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_erf"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-mlpUpWide-gelu_erf-M1536K2048N5120
FusedQuantMatMul,18,"[[1000, 1536], [1536, 1536], [1000], [1536], [1536]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_tanh"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-nonAlignedM1000-gelu_tanh-M1000K1536N1536
FusedQuantMatMul,19,"[[2049, 2048], [2048, 2048], [2049], [2048], [2048]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_erf"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-nonAlignedM2049-gelu_erf-M2049K2048N2048
FusedQuantMatMul,20,"[[4096, 4096], [4096, 5120], [4096], [5120], [5120]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""fused_op_type"": ""gelu_tanh"", ""transpose_x1"": false, ""transpose_x2"": false, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",LLM-largeAll-gelu_tanh-M4096K4096N5120
