operator,case_id,input_shape,dtype,attrs,value_range,note
GroupedMatmul,1,"[[16, 64], [2, 64, 32], [2, 32], [2], [16]]","[""int8"", ""int8"", ""float32"", ""int64"", ""float32""]","{""variant"": ""A8W8O16_pertoken_CV"", ""group_list_values"": [8, 16], ""y_dtype"": ""bfloat16"", ""split_item"": 3, ""group_type"": 0, ""group_list_type"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [-2, 2]]",F2-smoke-E2-M16-K64-N32
GroupedMatmul,2,"[[32, 128], [4, 128, 64], [4, 64], [4], [32]]","[""int8"", ""int8"", ""float32"", ""int64"", ""float32""]","{""variant"": ""A8W8O16_pertoken_CV"", ""group_list_values"": [8, 16, 24, 32], ""y_dtype"": ""bfloat16"", ""split_item"": 3, ""group_type"": 0, ""group_list_type"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [-2, 2]]",F2-smoke-E4-M32-K128-N64
GroupedMatmul,3,"[[17, 64], [3, 64, 96], [3, 96], [3], [17]]","[""int8"", ""int8"", ""bfloat16"", ""int64"", ""float32""]","{""variant"": ""A8W8O16_pertoken_CV"", ""group_list_values"": [5, 9, 17], ""y_dtype"": ""bfloat16"", ""split_item"": 3, ""group_type"": 0, ""group_list_type"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [-2, 2]]",F2-smoke-bf16scale-tailM17-E3
GroupedMatmul,4,"[[33, 192], [4, 192, 96], [4, 96], [4], [33]]","[""int8"", ""int8"", ""float32"", ""int64"", ""float32""]","{""variant"": ""A8W8O16_pertoken_CV"", ""group_list_values"": [0, 7, 20, 33], ""y_dtype"": ""float16"", ""split_item"": 3, ""group_type"": 0, ""group_list_type"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [-2, 2]]",F2-edge-emptyFirstExpert-fp16out-M33
GroupedMatmul,5,"[[48, 256], [3, 256, 128], [3, 128], [3], [48]]","[""int8"", ""int8"", ""float32"", ""int64"", ""float32""]","{""variant"": ""A8W8O16_pertoken_CV"", ""group_list_values"": [10, 10, 48], ""y_dtype"": ""bfloat16"", ""split_item"": 3, ""group_type"": 0, ""group_list_type"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [-2, 2]]",F2-edge-emptyMiddleExpert-M48-K256-N128
GroupedMatmul,6,"[[16, 64], [16, 64, 32], [16, 32], [16], [16]]","[""int8"", ""int8"", ""bfloat16"", ""int64"", ""float32""]","{""variant"": ""A8W8O16_pertoken_CV"", ""group_list_values"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], ""y_dtype"": ""bfloat16"", ""split_item"": 3, ""group_type"": 0, ""group_list_type"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [-2, 2]]",F2-edge-manyExperts-E16-bf16scale-smallShape
GroupedMatmul,7,"[[256, 1024], [4, 1024, 2048], [4, 2048], [4], [256]]","[""int8"", ""int8"", ""float32"", ""int64"", ""float32""]","{""variant"": ""A8W8O16_pertoken_CV"", ""group_list_values"": [64, 128, 192, 256], ""y_dtype"": ""bfloat16"", ""split_item"": 3, ""group_type"": 0, ""group_list_type"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [-2, 2]]",F2-LLM-prefill-E4-M256-K1024-N2048
GroupedMatmul,8,"[[512, 1024], [4, 1024, 2048], [4, 2048], [4], [512]]","[""int8"", ""int8"", ""float32"", ""int64"", ""float32""]","{""variant"": ""A8W8O16_pertoken_CV"", ""group_list_values"": [128, 256, 384, 512], ""y_dtype"": ""float16"", ""split_item"": 3, ""group_type"": 0, ""group_list_type"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [-2, 2]]",F2-LLM-prefill-E4-M512-K1024-N2048-fp16out
GroupedMatmul,9,"[[1024, 1024], [4, 1024, 2048], [4, 2048], [4], [1024]]","[""int8"", ""int8"", ""float32"", ""int64"", ""float32""]","{""variant"": ""A8W8O16_pertoken_CV"", ""group_list_values"": [256, 512, 768, 1024], ""y_dtype"": ""bfloat16"", ""split_item"": 3, ""group_type"": 0, ""group_list_type"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [-2, 2]]",F2-LLM-prefill-E4-M1024-K1024-N2048
GroupedMatmul,10,"[[2048, 1024], [4, 1024, 2048], [4, 2048], [4], [2048]]","[""int8"", ""int8"", ""float32"", ""int64"", ""float32""]","{""variant"": ""A8W8O16_pertoken_CV"", ""group_list_values"": [512, 1024, 1536, 2048], ""y_dtype"": ""float16"", ""split_item"": 3, ""group_type"": 0, ""group_list_type"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [-2, 2]]",F2-LLM-prefill-E4-M2048-K1024-N2048-fp16out
