operator,case_id,input_shape,dtype,attrs,value_range,note
GroupedMatmulSwigluQuant,1,"[[32, 256], [2, 256, 512], [2, 512], [32], [2]]","[""int8"", ""int8"", ""float32"", ""float32"", ""int64""]","{""variant"": ""A8W8_tiling_key_0"", ""group_list_values"": [16, 32], ""tiling_key"": 0}","[-2, 2]",F2-A8W8-tk0-E2-M8xK128xN256-expanded-M32-K256-N512
GroupedMatmulSwigluQuant,2,"[[16, 256], [4, 256, 512], [4, 512], [16], [4]]","[""int8"", ""int8"", ""float32"", ""float32"", ""int64""]","{""variant"": ""A8W8_tiling_key_0"", ""group_list_values"": [4, 8, 12, 16], ""tiling_key"": 0}","[-2, 2]",F2-kernelUT-like-A8W8-tk0-E4-M16xK256xN512
GroupedMatmulSwigluQuant,3,"[[24, 256], [4, 256, 512], [4, 512], [24], [4]]","[""int8"", ""int8"", ""float32"", ""float32"", ""int64""]","{""variant"": ""A8W8_tiling_key_0"", ""group_list_values"": [6, 10, 18, 24], ""tiling_key"": 0}","[-2, 2]",F2-A8W8-tk0-uneven-E4-M24xK256xN512
GroupedMatmulSwigluQuant,4,"[[16, 256], [1, 256, 512], [1, 512], [16], [1]]","[""int8"", ""int8"", ""float32"", ""float32"", ""int64""]","{""variant"": ""A8W8_tiling_key_0"", ""group_list_values"": [16], ""tiling_key"": 0}","[-2, 2]",F2-A8W8-tk0-singleExpert-M4-expanded-M16-K256-N512
GroupedMatmulSwigluQuant,5,"[[17, 128], [3, 128, 256], [3, 256], [17], [3]]","[""int8"", ""int8"", ""float32"", ""float32"", ""int64""]","{""variant"": ""A8W8_tiling_key_0"", ""group_list_values"": [3, 9, 17], ""tiling_key"": 0}","[-2, 2]",F2-A8W8-tk0-tailM17-E3
GroupedMatmulSwigluQuant,6,"[[20, 256], [5, 256, 384], [5, 384], [20], [5]]","[""int8"", ""int8"", ""float32"", ""float32"", ""int64""]","{""variant"": ""A8W8_tiling_key_0"", ""group_list_values"": [2, 7, 11, 15, 20], ""tiling_key"": 0}","[-2, 2]",F2-A8W8-tk0-E5-M20xK256xN384
GroupedMatmulSwigluQuant,7,"[[32, 512], [4, 512, 256], [4, 256], [32], [4]]","[""int8"", ""int8"", ""float32"", ""float32"", ""int64""]","{""variant"": ""A8W8_tiling_key_0"", ""group_list_values"": [8, 16, 24, 32], ""tiling_key"": 0}","[-2, 2]",F2-A8W8-tk0-K512-M32xN256
GroupedMatmulSwigluQuant,8,"[[40, 128], [8, 128, 128], [8, 128], [40], [8]]","[""int8"", ""int8"", ""float32"", ""float32"", ""int64""]","{""variant"": ""A8W8_tiling_key_0"", ""group_list_values"": [2, 5, 9, 14, 20, 27, 34, 40], ""tiling_key"": 0}","[-2, 2]",F2-A8W8-tk0-E8-smallHidden
GroupedMatmulSwigluQuant,9,"[[24, 256], [3, 256, 512], [3, 512], [24], [3]]","[""int8"", ""int8"", ""float32"", ""float32"", ""int64""]","{""variant"": ""A8W8_tiling_key_0"", ""group_list_values"": [0, 12, 24], ""tiling_key"": 0}","[-2, 2]",F2-A8W8-tk0-emptyFirstExpert-expanded-M24-K256-N512
GroupedMatmulSwigluQuant,10,"[[24, 192], [6, 192, 384], [6, 384], [24], [6]]","[""int8"", ""int8"", ""float32"", ""float32"", ""int64""]","{""variant"": ""A8W8_tiling_key_0"", ""group_list_values"": [4, 4, 8, 15, 20, 24], ""tiling_key"": 0}","[-2, 2]",F2-A8W8-tk0-emptyMiddleExpert
