operator,case_id,input_shape,dtype,attrs,value_range,note
QuantBatchMatmulInplaceAdd,1,"[[64, 4], [64, 32], [4, 32]]","[""float16"", ""float16"", ""float32""]","{""variant"": ""MX_DYNAMIC"", ""transposeX1"": true, ""transposeX2"": false, ""groupSize"": 32}","[[-2, 2], [-2, 2], [-2, 2]]",MX-dynamic-inplace-M4K64N32-float16-smoke-smallest
QuantBatchMatmulInplaceAdd,2,"[[64, 8], [64, 64], [8, 64]]","[""bfloat16"", ""bfloat16"", ""float32""]","{""variant"": ""MX_DYNAMIC"", ""transposeX1"": true, ""transposeX2"": false, ""groupSize"": 32}","[[-2, 2], [-2, 2], [-2, 2]]",MX-dynamic-inplace-M8K64N64-bfloat16-smoke-square-tile
QuantBatchMatmulInplaceAdd,3,"[[96, 5], [96, 48], [5, 48]]","[""float16"", ""float16"", ""float32""]","{""variant"": ""MX_DYNAMIC"", ""transposeX1"": true, ""transposeX2"": false, ""groupSize"": 32}","[[-2, 2], [-2, 2], [-2, 2]]",MX-dynamic-inplace-M5K96N48-float16-edge-nonpow2-Ktail
QuantBatchMatmulInplaceAdd,4,"[[128, 16], [128, 256], [16, 256]]","[""bfloat16"", ""bfloat16"", ""float32""]","{""variant"": ""MX_DYNAMIC"", ""transposeX1"": true, ""transposeX2"": false, ""groupSize"": 32}","[[-2, 2], [-2, 2], [-2, 2]]",MX-dynamic-inplace-M16K128N256-bfloat16-edge-smallM-wideN
QuantBatchMatmulInplaceAdd,5,"[[64, 1], [64, 16], [1, 16]]","[""float16"", ""float16"", ""float32""]","{""variant"": ""MX_DYNAMIC"", ""transposeX1"": true, ""transposeX2"": false, ""groupSize"": 32}","[[-2, 2], [-2, 2], [-2, 2]]",MX-dynamic-inplace-M1K64N16-float16-edge-singleRowM1
QuantBatchMatmulInplaceAdd,6,"[[128, 2], [128, 64], [2, 64]]","[""bfloat16"", ""bfloat16"", ""float32""]","{""variant"": ""MX_DYNAMIC"", ""transposeX1"": true, ""transposeX2"": false, ""groupSize"": 32}","[[-2, 2], [-2, 2], [-2, 2]]",MX-dynamic-inplace-M2K128N64-bfloat16-edge-tinyM2
QuantBatchMatmulInplaceAdd,7,"[[2048, 32], [2048, 2048], [32, 2048]]","[""float16"", ""float16"", ""float32""]","{""variant"": ""MX_DYNAMIC"", ""transposeX1"": true, ""transposeX2"": false, ""groupSize"": 32}","[[-2, 2], [-2, 2], [-2, 2]]",MX-dynamic-inplace-M32K2048N2048-float16-decode-attnProj-h2048
QuantBatchMatmulInplaceAdd,8,"[[2048, 16], [2048, 5120], [16, 5120]]","[""bfloat16"", ""bfloat16"", ""float32""]","{""variant"": ""MX_DYNAMIC"", ""transposeX1"": true, ""transposeX2"": false, ""groupSize"": 32}","[[-2, 2], [-2, 2], [-2, 2]]",MX-dynamic-inplace-M16K2048N5120-bfloat16-decode-ffnUp-h2048-ffn5120
QuantBatchMatmulInplaceAdd,9,"[[4096, 64], [4096, 4096], [64, 4096]]","[""float16"", ""float16"", ""float32""]","{""variant"": ""MX_DYNAMIC"", ""transposeX1"": true, ""transposeX2"": false, ""groupSize"": 32}","[[-2, 2], [-2, 2], [-2, 2]]",MX-dynamic-inplace-M64K4096N4096-float16-decode-attnProj-h4096
QuantBatchMatmulInplaceAdd,10,"[[4096, 128], [4096, 1024], [128, 1024]]","[""bfloat16"", ""bfloat16"", ""float32""]","{""variant"": ""MX_DYNAMIC"", ""transposeX1"": true, ""transposeX2"": false, ""groupSize"": 32}","[[-2, 2], [-2, 2], [-2, 2]]",MX-dynamic-inplace-M128K4096N1024-bfloat16-decode-attnOut-h4096
