operator,case_id,input_shape,dtype,attrs,value_range,note
QuantBatchMatmulV4,1,"[[16, 1024], [512, 1024], [16, 8], [4, 8], [512]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M4K512N256-expanded-M16-K1024-N512
QuantBatchMatmulV4,2,"[[32, 1024], [1024, 1024], [32, 8], [8, 8], [1024]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M8K512N512-expanded-M32-K1024-N1024
QuantBatchMatmulV4,3,"[[64, 1024], [1024, 1024], [64, 8], [8, 8], [1024]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M16K512N768-expanded-M64-K1024-N1024
QuantBatchMatmulV4,4,"[[32, 512], [1024, 512], [32, 4], [8, 4], [1024]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M32K512N1024
QuantBatchMatmulV4,5,"[[64, 1024], [256, 1024], [64, 8], [2, 8], [256]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M64K1024N256
QuantBatchMatmulV4,6,"[[128, 1024], [512, 1024], [128, 8], [4, 8], [512]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M128K1024N512
QuantBatchMatmulV4,7,"[[256, 1024], [768, 1024], [256, 8], [6, 8], [768]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M256K1024N768
QuantBatchMatmulV4,8,"[[512, 1024], [1024, 1024], [512, 8], [8, 8], [1024]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M512K1024N1024
QuantBatchMatmulV4,9,"[[1, 1024], [512, 1024], [1, 8], [4, 8], [512]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M1K512N256-expanded-M1-K1024-N512
QuantBatchMatmulV4,10,"[[12, 1024], [512, 1024], [12, 8], [4, 8], [512]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M3K1024N512-expanded-M12-K1024-N512
QuantBatchMatmulV4,11,"[[34, 1024], [512, 1024], [34, 8], [4, 8], [512]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M17K512N256-expanded-M34-K1024-N512
QuantBatchMatmulV4,12,"[[33, 1024], [768, 1024], [33, 8], [6, 8], [768]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M33K1024N768
QuantBatchMatmulV4,13,"[[48, 512], [1024, 512], [48, 4], [8, 4], [1024]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M48K512N1024
QuantBatchMatmulV4,14,"[[96, 1024], [256, 1024], [96, 8], [2, 8], [256]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M96K1024N256
QuantBatchMatmulV4,15,"[[160, 512], [512, 512], [160, 4], [4, 4], [512]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M160K512N512
QuantBatchMatmulV4,16,"[[200, 1024], [1024, 1024], [200, 8], [8, 8], [1024]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M200K1024N1024
QuantBatchMatmulV4,17,"[[24, 512], [768, 512], [24, 4], [6, 4], [768]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M24K512N768
QuantBatchMatmulV4,18,"[[72, 1024], [512, 1024], [72, 8], [4, 8], [512]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M72K1024N512
QuantBatchMatmulV4,19,"[[128, 512], [256, 512], [128, 4], [2, 4], [256]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M128K512N256
QuantBatchMatmulV4,20,"[[256, 512], [1024, 512], [256, 4], [8, 4], [1024]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""variant"": ""GB_STATIC_PERGROUP"", ""transpose_x1"": false, ""transpose_x2"": true, ""group_size"": [1, 128, 128]}","[-8, 8]",GB-static-M256K512N1024
