operator,case_id,input_shape,dtype,attrs,value_range,note
QuantGroupedMatmulDequant,1,"[[8, 128], [2, 64, 128], [2, 64], [2]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [4, 8], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G2M8K128N64
QuantGroupedMatmulDequant,2,"[[16, 256], [4, 64, 256], [4, 64], [4]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [4, 8, 12, 16], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G4M16K256N64
QuantGroupedMatmulDequant,3,"[[24, 256], [4, 128, 256], [4, 128], [4]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [6, 10, 18, 24], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G4M24K256N128
QuantGroupedMatmulDequant,4,"[[4, 128], [1, 96, 128], [1, 96], [1]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [4], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G1M4K128N96
QuantGroupedMatmulDequant,5,"[[17, 192], [3, 80, 192], [3, 80], [3]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [3, 9, 17], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G3M17K192N80
QuantGroupedMatmulDequant,6,"[[20, 256], [5, 128, 256], [5, 128], [5]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [2, 7, 11, 15, 20], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G5M20K256N128
QuantGroupedMatmulDequant,7,"[[32, 512], [4, 64, 512], [4, 64], [4]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [8, 16, 24, 32], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G4M32K512N64
QuantGroupedMatmulDequant,8,"[[40, 128], [8, 32, 128], [8, 32], [8]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [2, 5, 9, 14, 20, 27, 34, 40], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G8M40K128N32
QuantGroupedMatmulDequant,9,"[[12, 64], [3, 128, 64], [3, 128], [3]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [0, 6, 12], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G3M12K64N128
QuantGroupedMatmulDequant,10,"[[24, 192], [6, 64, 192], [6, 64], [6]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [4, 4, 8, 15, 20, 24], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G6M24K192N64
QuantGroupedMatmulDequant,11,"[[1, 64], [2, 32, 64], [2, 32], [2]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [0, 1], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G2M1K64N32
QuantGroupedMatmulDequant,12,"[[48, 256], [4, 96, 256], [4, 96], [4]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [12, 24, 36, 48], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G4M48K256N96
QuantGroupedMatmulDequant,13,"[[31, 160], [7, 64, 160], [7, 64], [7]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [1, 4, 8, 13, 19, 25, 31], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G7M31K160N64
QuantGroupedMatmulDequant,14,"[[16, 64], [16, 64, 64], [16, 64], [16]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G16M16K64N64
QuantGroupedMatmulDequant,15,"[[56, 320], [4, 96, 320], [4, 96], [4]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [14, 28, 42, 56], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G4M56K320N96
QuantGroupedMatmulDequant,16,"[[9, 128], [3, 128, 128], [3, 128], [3]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [1, 5, 9], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G3M9K128N128
QuantGroupedMatmulDequant,17,"[[25, 192], [5, 80, 192], [5, 80], [5]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [5, 5, 10, 18, 25], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G5M25K192N80
QuantGroupedMatmulDequant,18,"[[20, 256], [1, 128, 256], [1, 128], [1]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [20], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G1M20K256N128
QuantGroupedMatmulDequant,19,"[[8, 64], [8, 64, 64], [8, 64], [8]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [0, 1, 1, 3, 5, 5, 7, 8], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G8M8K64N64
QuantGroupedMatmulDequant,20,"[[64, 384], [4, 128, 384], [4, 128], [4]]","[""float16"", ""int8"", ""float32"", ""int64""]","{""group_list_values"": [16, 32, 48, 64], ""groupListType"": 0, ""quant_mode"": ""pertoken"", ""transposeWeight"": true}","[-2, 2]",dynamic-grouped-dequant-G4M64K384N128
