operator,case_id,input_shape,dtype,attrs,value_range,note
QuantGroupedMatmulInplaceAdd,1,"[[8, 128], [128, 64], [2, 1], [2, 64], [2], [2, 8, 64]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [4, 8], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G2M8K128N64
QuantGroupedMatmulInplaceAdd,2,"[[16, 256], [256, 64], [4, 1], [4, 64], [4], [4, 16, 64]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [4, 8, 12, 16], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G4M16K256N64
QuantGroupedMatmulInplaceAdd,3,"[[24, 256], [256, 128], [4, 1], [4, 128], [4], [4, 24, 128]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [6, 10, 18, 24], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G4M24K256N128
QuantGroupedMatmulInplaceAdd,4,"[[4, 128], [128, 96], [1, 1], [1, 96], [1], [1, 4, 96]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [4], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G1M4K128N96
QuantGroupedMatmulInplaceAdd,5,"[[17, 192], [192, 80], [3, 1], [3, 80], [3], [3, 17, 80]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [3, 9, 17], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G3M17K192N80
QuantGroupedMatmulInplaceAdd,6,"[[20, 256], [256, 128], [5, 1], [5, 128], [5], [5, 20, 128]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [2, 7, 11, 15, 20], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G5M20K256N128
QuantGroupedMatmulInplaceAdd,7,"[[32, 512], [512, 64], [4, 1], [4, 64], [4], [4, 32, 64]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [8, 16, 24, 32], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G4M32K512N64
QuantGroupedMatmulInplaceAdd,8,"[[40, 128], [128, 32], [8, 1], [8, 32], [8], [8, 40, 32]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [2, 5, 9, 14, 20, 27, 34, 40], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G8M40K128N32
QuantGroupedMatmulInplaceAdd,9,"[[12, 64], [64, 128], [3, 1], [3, 128], [3], [3, 12, 128]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [0, 6, 12], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G3M12K64N128
QuantGroupedMatmulInplaceAdd,10,"[[24, 192], [192, 64], [6, 1], [6, 64], [6], [6, 24, 64]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [4, 4, 8, 15, 20, 24], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G6M24K192N64
QuantGroupedMatmulInplaceAdd,11,"[[1, 64], [64, 32], [2, 1], [2, 32], [2], [2, 1, 32]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [0, 1], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G2M1K64N32
QuantGroupedMatmulInplaceAdd,12,"[[48, 256], [256, 96], [4, 1], [4, 96], [4], [4, 48, 96]]","[""hifloat8"", ""hifloat8"", ""float32"", ""float32"", ""int64"", ""float32""]","{""group_list_values"": [12, 24, 36, 48], ""groupListType"": 0, ""group_size"": 0, ""variant"": ""TC_PERCHANNEL""}","[-8, 8]",grouped-inplace-G4M48K256N96
