operator,case_id,input_shape,dtype,attrs,value_range,note
QuantMatmulReduceSum,1,"[[2, 16, 64], [2, 1, 4, 16, 32], [2, 16], [32]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-B2xM16xK64xN32
QuantMatmulReduceSum,2,"[[4, 16, 64], [4, 2, 4, 16, 32], [4, 16], [64]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-B4xM16xK64xN64
QuantMatmulReduceSum,3,"[[8, 32, 64], [8, 1, 4, 16, 32], [8, 32], [32]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-kernelUT-like-B8xM32xK64xN32
QuantMatmulReduceSum,4,"[[4, 32, 96], [4, 3, 6, 16, 32], [4, 32], [96]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-B4xM32xK96xN96
QuantMatmulReduceSum,5,"[[8, 48, 128], [8, 2, 8, 16, 32], [8, 48], [64]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-B8xM48xK128xN64
QuantMatmulReduceSum,6,"[[8, 64, 128], [8, 4, 8, 16, 32], [8, 64], [128]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-B8xM64xK128xN128
QuantMatmulReduceSum,7,"[[1, 8, 32], [1, 1, 2, 16, 32], [1, 8], [32]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-singleB-M8xK32xN32
QuantMatmulReduceSum,8,"[[3, 17, 80], [3, 2, 5, 16, 32], [3, 17], [48]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-tailM17-K80xN48
QuantMatmulReduceSum,9,"[[2, 31, 112], [2, 3, 7, 16, 32], [2, 31], [96]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-tailM31-K112xN96
QuantMatmulReduceSum,10,"[[4, 24, 256], [4, 2, 16, 16, 32], [4, 24], [64]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-K256-M24xN64
QuantMatmulReduceSum,11,"[[6, 40, 160], [6, 5, 10, 16, 32], [6, 40], [160]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-B6xM40xK160xN160
QuantMatmulReduceSum,12,"[[8, 16, 48], [8, 3, 3, 16, 32], [8, 16], [96]]","[""int8"", ""int8"", ""float32"", ""bfloat16""]","{""dims"": [0], ""keep_dims"": false, ""x2_format"": ""NZ""}","[-2, 2]",F2-NZ-K48xN96-padding
