operator,case_id,input_shape,dtype,attrs,value_range,note
TransposeQuantBatchMatMul,1,"[[1, 512, 512], [1, 512, 128], [1, 512], [1, 128], [1, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 1, 2], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B1M512K512N128-permY012
TransposeQuantBatchMatMul,2,"[[2, 1024, 512], [2, 128, 512], [2, 1024], [2, 128], [2, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 2, 1], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B2M1024K512N128-permY012
TransposeQuantBatchMatMul,3,"[[1, 512, 768], [1, 512, 128], [1, 768], [1, 128], [1, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 2, 1], ""permX2"": [0, 1, 2], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B1M768K512N128-permY012
TransposeQuantBatchMatMul,4,"[[2, 2048, 512], [2, 512, 128], [2, 2048], [2, 128], [2, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 1, 2], ""permY"": [0, 2, 1], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B2M2048K512N128-permY021
TransposeQuantBatchMatMul,5,"[[3, 1536, 512], [3, 128, 512], [3, 1536], [3, 128], [3, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 2, 1], ""permY"": [0, 2, 1], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B3M1536K512N128-permY021
TransposeQuantBatchMatMul,6,"[[1, 512, 2048], [1, 128, 512], [1, 2048], [1, 128], [1, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 2, 1], ""permX2"": [0, 2, 1], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B1M2048K512N128-permY012
TransposeQuantBatchMatMul,7,"[[4, 256, 512], [4, 512, 128], [4, 256], [4, 128], [4, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 1, 2], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B4M256K512N128-permY012
TransposeQuantBatchMatMul,8,"[[2, 1024, 512], [2, 128, 512], [2, 1024], [2, 128], [2, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 2, 1], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B2M1024K512N128-permY012
TransposeQuantBatchMatMul,9,"[[1, 512, 1280], [1, 512, 128], [1, 1280], [1, 128], [1, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 2, 1], ""permX2"": [0, 1, 2], ""permY"": [0, 2, 1], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B1M1280K512N128-permY021
TransposeQuantBatchMatMul,10,"[[3, 512, 512], [3, 512, 128], [3, 512], [3, 128], [3, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 1, 2], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B3M512K512N128-permY012
TransposeQuantBatchMatMul,11,"[[1, 257, 512], [1, 128, 512], [1, 257], [1, 128], [1, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 2, 1], ""permY"": [0, 2, 1], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B1M257K512N128-permY021
TransposeQuantBatchMatMul,12,"[[2, 512, 768], [2, 128, 512], [2, 768], [2, 128], [2, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 2, 1], ""permX2"": [0, 2, 1], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B2M768K512N128-permY012
TransposeQuantBatchMatMul,13,"[[4, 384, 512], [4, 512, 128], [4, 384], [4, 128], [4, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 1, 2], ""permY"": [0, 2, 1], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B4M384K512N128-permY021
TransposeQuantBatchMatMul,14,"[[1, 512, 2048], [1, 512, 128], [1, 2048], [1, 128], [1, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 2, 1], ""permX2"": [0, 1, 2], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B1M2048K512N128-permY012
TransposeQuantBatchMatMul,15,"[[2, 1536, 512], [2, 128, 512], [2, 1536], [2, 128], [2, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 2, 1], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B2M1536K512N128-permY012
TransposeQuantBatchMatMul,16,"[[3, 15, 512], [3, 512, 128], [3, 15], [3, 128], [3, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 1, 2], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B3M15K512N128-permY012
TransposeQuantBatchMatMul,17,"[[1, 512, 1024], [1, 128, 512], [1, 1024], [1, 128], [1, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 2, 1], ""permX2"": [0, 2, 1], ""permY"": [0, 2, 1], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B1M1024K512N128-permY021
TransposeQuantBatchMatMul,18,"[[2, 640, 512], [2, 512, 128], [2, 640], [2, 128], [2, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 1, 2], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B2M640K512N128-permY012
TransposeQuantBatchMatMul,19,"[[4, 512, 896], [4, 512, 128], [4, 896], [4, 128], [4, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 2, 1], ""permX2"": [0, 1, 2], ""permY"": [0, 1, 2], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B4M896K512N128-permY012
TransposeQuantBatchMatMul,20,"[[1, 1000, 512], [1, 128, 512], [1, 1000], [1, 128], [1, 128]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32""]","{""permX1"": [0, 1, 2], ""permX2"": [0, 2, 1], ""permY"": [0, 2, 1], ""groupSize"": 0, ""batchSplitFactor"": 1, ""y_dtype"": ""float32""}","[[-8, 8], [-8, 8], [-8, 8], [-8, 8], [-8, 8]]",KC-transpose-B1M1000K512N128-permY021
