operator,case_id,input_shape,dtype,attrs,value_range,note
WeightQuantBatchMatmulV2,1,"[[16, 256], [256, 128], [128], [128], [128]]","[""bfloat16"", ""int8"", ""float32"", ""float32"", ""float32""]","{""transpose_x"": false, ""transpose_weight"": false, ""antiquant_group_size"": 0, ""output_quant"": false, ""y_dtype"": ""float32""}","[-2, 2]",antiquant-gs0-M4K64N32-expanded-M16-K256-N128
WeightQuantBatchMatmulV2,2,"[[16, 256], [256, 128], [128], [128], [128]]","[""float16"", ""int8"", ""float32"", ""float32"", ""float32""]","{""transpose_x"": false, ""transpose_weight"": false, ""antiquant_group_size"": 0, ""output_quant"": false, ""y_dtype"": ""float32""}","[-2, 2]",antiquant-gs0-M8K64N64-expanded-M16-K256-N128
WeightQuantBatchMatmulV2,3,"[[24, 256], [256, 64], [4, 64], [4, 64], [64]]","[""bfloat16"", ""int8"", ""float32"", ""float32"", ""float32""]","{""transpose_x"": false, ""transpose_weight"": false, ""antiquant_group_size"": 64, ""output_quant"": false, ""y_dtype"": ""float32""}","[-2, 2]",antiquant-gs64-M6K128N32-expanded-M24-K256-N64
WeightQuantBatchMatmulV2,4,"[[16, 128], [128, 64], [2, 64], [2, 64], [64]]","[""float16"", ""int8"", ""float32"", ""float32"", ""float32""]","{""transpose_x"": false, ""transpose_weight"": false, ""antiquant_group_size"": 64, ""output_quant"": false, ""y_dtype"": ""float32""}","[-2, 2]",antiquant-gs64-M16K128N64
WeightQuantBatchMatmulV2,5,"[[20, 256], [256, 96], [8, 96], [8, 96], [96]]","[""bfloat16"", ""int8"", ""float32"", ""float32"", ""float32""]","{""transpose_x"": false, ""transpose_weight"": false, ""antiquant_group_size"": 32, ""output_quant"": false, ""y_dtype"": ""float32""}","[-2, 2]",antiquant-gs32-M5K96N48-expanded-M20-K256-N96
WeightQuantBatchMatmulV2,6,"[[12, 192], [192, 64], [3, 64], [3, 64], [64]]","[""float16"", ""int8"", ""float32"", ""float32"", ""float32""]","{""transpose_x"": false, ""transpose_weight"": false, ""antiquant_group_size"": 64, ""output_quant"": false, ""y_dtype"": ""float32""}","[-2, 2]",antiquant-gs64-M12K192N64
WeightQuantBatchMatmulV2,7,"[[12, 512], [512, 256], [4, 256], [4, 256], [256]]","[""bfloat16"", ""int8"", ""float32"", ""float32"", ""float32""]","{""transpose_x"": false, ""transpose_weight"": false, ""antiquant_group_size"": 128, ""output_quant"": false, ""y_dtype"": ""float32""}","[-2, 2]",antiquant-gs128-M3K256N128-expanded-M12-K512-N256
WeightQuantBatchMatmulV2,8,"[[24, 128], [128, 128], [2, 128], [2, 128], [128]]","[""float16"", ""int8"", ""float32"", ""float32"", ""float32""]","{""transpose_x"": false, ""transpose_weight"": false, ""antiquant_group_size"": 64, ""output_quant"": false, ""y_dtype"": ""float32""}","[-2, 2]",antiquant-gs64-M24K128N128
WeightQuantBatchMatmulV2,9,"[[9, 320], [320, 64], [5, 64], [5, 64], [64]]","[""bfloat16"", ""int8"", ""float32"", ""float32"", ""float32""]","{""transpose_x"": false, ""transpose_weight"": false, ""antiquant_group_size"": 64, ""output_quant"": false, ""y_dtype"": ""float32""}","[-2, 2]",antiquant-gs64-M9K320N64
WeightQuantBatchMatmulV2,10,"[[32, 256], [256, 96], [2, 96], [2, 96], [96]]","[""float16"", ""int8"", ""float32"", ""float32"", ""float32""]","{""transpose_x"": false, ""transpose_weight"": false, ""antiquant_group_size"": 128, ""output_quant"": false, ""y_dtype"": ""float32""}","[-2, 2]",antiquant-gs128-M32K256N96
