operator,case_id,input_shape,dtype,attrs,value_range,note
ClippedSwiglu,1,[[384]],"[""bfloat16""]","{""dim"": -1, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": false}","[[-1, 1]]",S-bfloat16-192-dim-1-split
ClippedSwiglu,2,[[384]],"[""float16""]","{""dim"": -1, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": true}","[[-1, 1]]",S-float16-192-dim-1-interleave
ClippedSwiglu,3,"[[4, 4, 6, 2, 2, 2]]","[""bfloat16""]","{""dim"": 0, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": false}","[[-1, 1]]",S-bfloat16-384-dim0-split
ClippedSwiglu,4,"[[48, 16]]","[""float16""]","{""dim"": -2, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": false}","[[-1, 1]]",S-float16-384-dim-2-split
ClippedSwiglu,5,"[[4, 6, 2, 2, 2, 2, 2]]","[""float16""]","{""dim"": 0, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": false}","[[-1, 1]]",S-float16-384-dim0-split
ClippedSwiglu,6,"[[768], [25]]","[""bfloat16"", ""int64""]","{""dim"": -1, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": true}","[[-1, 1], [1, 2]]",S-bfloat16-384-dim-1-interleave_gi
ClippedSwiglu,7,"[[48, 16], [28]]","[""float16"", ""int64""]","{""dim"": 0, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": true}","[[-1, 1], [1, 2]]",S-float16-384-dim0-interleave_gi
ClippedSwiglu,8,"[[12, 20, 6]]","[""float16""]","{""dim"": 0, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": false}","[[-1, 1]]",S-float16-720-dim0-split
ClippedSwiglu,9,"[[24, 60], [10]]","[""float16"", ""int64""]","{""dim"": 0, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": false}","[[-1, 1], [1, 2]]",S-float16-720-dim0-split_gi
ClippedSwiglu,10,"[[6, 10, 2, 2, 2, 3], [22]]","[""bfloat16"", ""int64""]","{""dim"": -6, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": true}","[[-1, 1], [1, 2]]",S-bfloat16-720-dim-6-interleave_gi
ClippedSwiglu,11,"[[48, 120]]","[""bfloat16""]","{""dim"": 0, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": false}","[[-1, 1]]",S-bfloat16-2K-dim0-split
ClippedSwiglu,12,"[[48, 120], [26]]","[""bfloat16"", ""int64""]","{""dim"": 0, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": true}","[[-1, 1], [1, 2]]",S-bfloat16-2K-dim0-interleave_gi
ClippedSwiglu,13,"[[6, 2, 8, 8, 12]]","[""float16""]","{""dim"": -3, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": true}","[[-1, 1]]",S-float16-4K-dim-3-interleave
ClippedSwiglu,14,"[[2, 2, 3, 3, 1, 8, 12, 4], [18]]","[""bfloat16"", ""int64""]","{""dim"": -3, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": false}","[[-1, 1], [1, 3]]",S-bfloat16-6K-dim-3-split_gi
ClippedSwiglu,15,"[[2, 2, 3, 3, 1, 1, 1, 384], [42]]","[""bfloat16"", ""int64""]","{""dim"": 7, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": true}","[[-1, 1], [1, 2]]",S-bfloat16-6K-dim7-interleave_gi
ClippedSwiglu,16,"[[2, 2, 5, 1, 1, 1, 48, 16], [51]]","[""float16"", ""int64""]","{""dim"": 6, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": true}","[[-1, 1], [1, 2]]",S-float16-7K-dim6-interleave_gi
ClippedSwiglu,17,"[[960, 48, 120]]","[""float16""]","{""dim"": 1, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": true}","[[-1, 1]]",M-float16-2M-dim1-interleave
ClippedSwiglu,18,"[[20, 52, 48, 120]]","[""bfloat16""]","{""dim"": 2, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": true}","[[-1, 1]]",M-bfloat16-2M-dim2-interleave
ClippedSwiglu,19,"[[183, 11, 48, 120]]","[""bfloat16""]","{""dim"": -2, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": false}","[[-1, 1]]",M-bfloat16-5M-dim-2-split
ClippedSwiglu,20,"[[20, 20, 4, 4, 48, 120], [53]]","[""float16"", ""int64""]","{""dim"": -2, ""alpha"": 1.0, ""limit"": 3.0, ""bias"": 1.0, ""interleaved"": false}","[[-1, 1], [1, 122]]",M-float16-18M-dim-2-split_gi
