operator,case_id,input_shape,dtype,attrs,value_range,note
AiInfraAggregateHiddenGrad,1,"[[4096, 4, 768], [4096, 4, 768], [3, 768]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-3, 3], [-3, 3], [-3, 3]]",aggregate_hidden_bf16_4096_4_768_noMask_pangu_fuzz_l0_000000
AiInfraAggregateHiddenGrad,2,"[[20, 1, 576], [20, 1, 576], [3, 576]]","[""float16"", ""float16"", ""float16""]",{},"[[-3, 3], [-3, 3], [-3, 3]]",aggregate_hidden_fp16_boundary_BMIN_FUZZ_000000
AiInfraAggregateHiddenGrad,3,"[[4096, 4, 770], [4096, 4, 770], [3, 770]]","[""float16"", ""float16"", ""float16""]",{},"[[-3, 3], [-3, 3], [-3, 3]]",aggregate_hidden_fp16_4096_4_770_L0_000001
AiInfraAggregateHiddenGrad,4,"[[658, 4, 2661], [658, 4, 2661], [3, 2661]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-10, 10], [-10, 10], [-10, 10]]",aggregate_hidden_grad_FUZZ_000005
AiInfraAggregateHiddenGrad,5,"[[4096, 4, 768], [4096, 4, 768], [3, 768], [4, 4096]]","[""float16"", ""float16"", ""float16"", ""bool""]",{},"[[-3, 3], [-3, 3], [-3, 3], [false, true]]",aggregate_hidden_fp16_4096_4_768_hasMask_pangu_fuzz_l0_000000
AiInfraAggregateHiddenGrad,6,"[[20, 1, 576], [20, 1, 576], [3, 576], [1, 20]]","[""float16"", ""float16"", ""float16"", ""bool""]",{},"[[-3, 3], [-3, 3], [-3, 3], [false, true]]",aggregate_hidden_fp16_boundary_BMIN_FUZZ_000001
AiInfraAggregateHiddenGrad,7,"[[8192, 4, 770], [8192, 4, 770], [3, 770], [4, 8192]]","[""float16"", ""float16"", ""float16"", ""bool""]",{},"[[-3, 3], [-3, 3], [-3, 3], [false, true]]",aggregate_hidden_fp16_8192_4_770_hasMask_P7P8_FUZZ_000000
AiInfraAggregateHiddenGrad,8,"[[1, 4, 4097], [1, 4, 4097], [3, 4097], [4, 1]]","[""float16"", ""float16"", ""float16"", ""bool""]",{},"[[-3, 3], [-3, 3], [-3, 3], [false, true]]",aggregate_hidden_fp16_H4096_L0_000001
AiInfraAggregateHiddenGrad,9,"[[4096, 4, 768], [4096, 4, 768], [3, 768]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-3, 3], [-3, 3], [-3, 3]]",aggregate_hidden_bf16_4096_4_768_noMask_pangu_L0_000000
AiInfraAggregateHiddenGrad,10,"[[20, 1, 576], [20, 1, 576], [3, 576]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-3, 3], [-3, 3], [-3, 3]]",aggregate_hidden_bf16_boundary_BMIN_FUZZ_000000
AiInfraAggregateHiddenGrad,11,"[[8192, 4, 770], [8192, 4, 770], [3, 770]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-3, 3], [-3, 3], [-3, 3]]",aggregate_hidden_bf16_8192_4_770_noMask_P11P12_FUZZ_000000
AiInfraAggregateHiddenGrad,12,"[[10, 8, 4095], [10, 8, 4095], [3, 4095]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-3, 3], [-3, 3], [-3, 3]]",aggregate_hidden_bf16_H4096_L0_000001
AiInfraAggregateHiddenGrad,13,"[[4096, 4, 768], [4096, 4, 768], [3, 768], [4, 4096]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bool""]",{},"[[-3, 3], [-3, 3], [-3, 3], [false, true]]",aggregate_hidden_bf16_4096_4_768_hasMask_pangu_fuzz_l0_000000
AiInfraAggregateHiddenGrad,14,"[[20, 1, 576], [20, 1, 576], [3, 576], [1, 20]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bool""]",{},"[[-3, 3], [-3, 3], [-3, 3], [false, true]]",aggregate_hidden_bf16_boundary_BMIN_FUZZ_000001
AiInfraAggregateHiddenGrad,15,"[[466, 8, 1796], [466, 8, 1796], [3, 1796], [8, 466]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bool""]",{},"[[-10, 10], [-10, 10], [-10, 10], [false, true]]",aggregate_hidden_grad_FUZZ_000003
AiInfraAggregateHiddenGrad,16,"[[1024, 4, 470], [1024, 4, 470], [3, 470], [4, 1024]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bool""]",{},"[[-3, 3], [-3, 3], [-3, 3], [false, true]]",aggregate_hidden_bf16_4096_4_770_L0_000000
AiInfraAggregateHiddenGrad,17,"[[1024, 2, 24576], [1024, 2, 24576], [3, 24576]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-3, 3], [-3, 3], [-3, 3]]",aggregate_hidden_bf16_boundary_HMax_FUZZ_000000
AiInfraAggregateHiddenGrad,18,"[[1, 1, 384], [1, 1, 384], [3, 384], [1, 1]]","[""float16"", ""float16"", ""float16"", ""bool""]",{},"[[-3, 3], [-3, 3], [-3, 3], [false, true]]",aggregate_hidden_fp16_boundary_shapeMin_FUZZ_000001
AiInfraAggregateHiddenGrad,19,"[[16384, 8, 1200], [16384, 8, 1200], [3, 1200]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-3, 3], [-3, 3], [-3, 3]]",aggregate_hidden_bf16_boundary_shapeMax_FUZZ_000000
AiInfraAggregateHiddenGrad,20,"[[10, 2, 384], [10, 2, 384], [3, 384]]","[""float16"", ""float16"", ""float16""]",{},"[[-3, 3], [-3, 3], [-3, 3]]",aggregate_hidden_fp16_boundary_HMIN_FUZZ_000000
