operator,case_id,input_shape,dtype,attrs,value_range,note
AiInfraManifoldConstrainedHyperConnectionPost,1,"[[1, 1024, 4, 5120], [1, 1024, 4, 4], [1, 1024, 5120], [1, 1024, 4]]","[""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",M-float16-21M-n4-D5120
AiInfraManifoldConstrainedHyperConnectionPost,2,"[[1, 8, 4, 14366], [1, 8, 4, 4], [1, 8, 14366], [1, 8, 4]]","[""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001]]",S-float16-460K-n4-D14366
AiInfraManifoldConstrainedHyperConnectionPost,3,"[[1, 1024, 4, 5120], [1, 1024, 4, 4], [1, 1024, 5120], [1, 1024, 4]]","[""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",M-bfloat16-21M-n4-D5120
AiInfraManifoldConstrainedHyperConnectionPost,4,"[[1, 8, 4, 14366], [1, 8, 4, 4], [1, 8, 14366], [1, 8, 4]]","[""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001]]",S-bfloat16-460K-n4-D14366
AiInfraManifoldConstrainedHyperConnectionPost,5,"[[1, 2048, 4, 2560], [1, 2048, 4, 4], [1, 2048, 2560], [1, 2048, 4]]","[""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",M-float16-21M-n4-D2560
AiInfraManifoldConstrainedHyperConnectionPost,6,"[[1, 2048, 4, 2560], [1, 2048, 4, 4], [1, 2048, 2560], [1, 2048, 4]]","[""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",M-bfloat16-21M-n4-D2560
AiInfraManifoldConstrainedHyperConnectionPost,7,"[[40, 4, 6544], [40, 4, 4], [40, 6544], [40, 4]]","[""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001]]",S-float16-1M-n4-D6544
AiInfraManifoldConstrainedHyperConnectionPost,8,"[[40, 4, 6544], [40, 4, 4], [40, 6544], [40, 4]]","[""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-bfloat16-1M-n4-D6544
AiInfraManifoldConstrainedHyperConnectionPost,9,"[[269, 6, 384], [269, 6, 6], [269, 384], [269, 6]]","[""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-float16-620K-n6-D384
AiInfraManifoldConstrainedHyperConnectionPost,10,"[[310, 6, 384], [310, 6, 6], [310, 384], [310, 6]]","[""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-bfloat16-714K-n6-D384
AiInfraManifoldConstrainedHyperConnectionPost,11,"[[40, 6, 4368], [40, 6, 6], [40, 4368], [40, 6]]","[""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001]]",S-float16-1M-n6-D4368
AiInfraManifoldConstrainedHyperConnectionPost,12,"[[1, 32, 6, 4368], [1, 32, 6, 6], [1, 32, 4368], [1, 32, 6]]","[""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001]]",S-float16-839K-n6-D4368
AiInfraManifoldConstrainedHyperConnectionPost,13,"[[40, 6, 4368], [40, 6, 6], [40, 4368], [40, 6]]","[""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-bfloat16-1M-n6-D4368
AiInfraManifoldConstrainedHyperConnectionPost,14,"[[1, 32, 6, 4368], [1, 32, 6, 6], [1, 32, 4368], [1, 32, 6]]","[""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-bfloat16-839K-n6-D4368
AiInfraManifoldConstrainedHyperConnectionPost,15,"[[4, 64, 8, 384], [4, 64, 8, 8], [4, 64, 384], [4, 64, 8]]","[""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-float16-786K-n8-D384
AiInfraManifoldConstrainedHyperConnectionPost,16,"[[6, 6, 8, 384], [6, 6, 8, 8], [6, 6, 384], [6, 6, 8]]","[""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-bfloat16-111K-n8-D384
AiInfraManifoldConstrainedHyperConnectionPost,17,"[[24, 8, 3264], [24, 8, 8], [24, 3264], [24, 8]]","[""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-float16-627K-n8-D3264
AiInfraManifoldConstrainedHyperConnectionPost,18,"[[1, 16, 8, 3264], [1, 16, 8, 8], [1, 16, 3264], [1, 16, 8]]","[""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-float16-418K-n8-D3264
AiInfraManifoldConstrainedHyperConnectionPost,19,"[[31, 8, 3264], [31, 8, 8], [31, 3264], [31, 8]]","[""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-bfloat16-809K-n8-D3264
AiInfraManifoldConstrainedHyperConnectionPost,20,"[[1, 16, 8, 3264], [1, 16, 8, 8], [1, 16, 3264], [1, 16, 8]]","[""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-bfloat16-418K-n8-D3264
