operator,case_id,input_shape,dtype,attrs,value_range,note
AiInfraManifoldConstrainedHyperConnectionPostGrad,1,"[[1, 1024, 4, 5120], [1, 1024, 4, 5120], [1, 1024, 4, 4], [1, 1024, 5120], [1, 1024, 4]]","[""float16"", ""float16"", ""float32"", ""float16"", ""float32""]",{},"[{""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}]",M-float16-21M-n4-D5120
AiInfraManifoldConstrainedHyperConnectionPostGrad,2,"[[1, 1024, 4, 5120], [1, 1024, 4, 5120], [1, 1024, 4, 4], [1, 1024, 5120], [1, 1024, 4]]","[""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[{""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}]",M-bfloat16-21M-n4-D5120
AiInfraManifoldConstrainedHyperConnectionPostGrad,3,"[[1, 2048, 4, 2560], [1, 2048, 4, 2560], [1, 2048, 4, 4], [1, 2048, 2560], [1, 2048, 4]]","[""float16"", ""float16"", ""float32"", ""float16"", ""float32""]",{},"[{""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}]",M-float16-21M-n4-D2560
AiInfraManifoldConstrainedHyperConnectionPostGrad,4,"[[1, 2048, 4, 2560], [1, 2048, 4, 2560], [1, 2048, 4, 4], [1, 2048, 2560], [1, 2048, 4]]","[""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[{""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}]",M-bfloat16-21M-n4-D2560
AiInfraManifoldConstrainedHyperConnectionPostGrad,5,"[[1, 8, 4, 384], [1, 8, 4, 384], [1, 8, 4, 4], [1, 8, 384], [1, 8, 4]]","[""float16"", ""float16"", ""float32"", ""float16"", ""float32""]",{},"[{""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}]",S-float16-12K-n4-D384
AiInfraManifoldConstrainedHyperConnectionPostGrad,6,"[[1, 64, 4, 384], [1, 64, 4, 384], [1, 64, 4, 4], [1, 64, 384], [1, 64, 4]]","[""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[[-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001], [-0.001, 0.001]]",S-bfloat16-98K-n4-D384
AiInfraManifoldConstrainedHyperConnectionPostGrad,7,"[[40, 4, 6544], [40, 4, 6544], [40, 4, 4], [40, 6544], [40, 4]]","[""float16"", ""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-float16-1M-n4-D6544
AiInfraManifoldConstrainedHyperConnectionPostGrad,8,"[[1, 32, 4, 6544], [1, 32, 4, 6544], [1, 32, 4, 4], [1, 32, 6544], [1, 32, 4]]","[""float16"", ""float16"", ""float32"", ""float16"", ""float32""]",{},"[[-5, 5], [-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-float16-838K-n4-D6544
AiInfraManifoldConstrainedHyperConnectionPostGrad,9,"[[40, 4, 6544], [40, 4, 6544], [40, 4, 4], [40, 6544], [40, 4]]","[""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[{""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}]",S-bfloat16-1M-n4-D6544
AiInfraManifoldConstrainedHyperConnectionPostGrad,10,"[[1, 32, 4, 6544], [1, 32, 4, 6544], [1, 32, 4, 4], [1, 32, 6544], [1, 32, 4]]","[""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""float32""]",{},"[{""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}, {""name"": ""nd"", ""mean"": [-100, 100], ""std"": [1, 25]}]",S-bfloat16-838K-n4-D6544
