operator,case_id,input_shape,dtype,attrs,value_range,note
AiInfraScatterBlockUpdate,1,"[[2048, 128, 1], [2048, 2], [2048, 1]]","[""bfloat16"", ""int32"", ""bfloat16""]",{},"[[-5, 5], [0, 2047], [-5, 5]]",S-bfloat16-int32-bfloat16-2048x128x1-2048x2-2048x1
AiInfraScatterBlockUpdate,2,"[[4096, 128, 1], [65536, 2], [65536, 1]]","[""bfloat16"", ""int32"", ""bfloat16""]",{},"[[-5, 5], [0, 4095], [-5, 5]]",S-bfloat16-int32-bfloat16-4096x128x1-65536x2-65536x1
AiInfraScatterBlockUpdate,3,"[[10240, 128, 1], [1, 2], [1, 1]]","[""float32"", ""int32"", ""float32""]",{},"[[-5, 5], [0, 10239], [-5, 5]]",S-float32-int32-float32-10240x128x1-1x2-1x1
AiInfraScatterBlockUpdate,4,"[[8192, 128, 256], [240, 2], [240, 256]]","[""int8"", ""int32"", ""int8""]",{},"[[-128, 127], [0, 8191], [-128, 127]]",S-int8-int32-int8-8192x128x256-240x2-240x256
AiInfraScatterBlockUpdate,5,"[[4096, 256, 256], [262144, 2], [262144, 256]]","[""bfloat16"", ""int32"", ""bfloat16""]",{},"[[-5, 5], [0, 4095], [-5, 5]]",L-bfloat16-int32-bfloat16-4096x256x256-262144x2-262144x256
AiInfraScatterBlockUpdate,6,"[[10240, 512, 256], [16384, 2], [16384, 256]]","[""bfloat16"", ""int32"", ""bfloat16""]",{},"[[-5, 5], [0, 10239], [-5, 5]]",M-bfloat16-int32-bfloat16-10240x512x256-16384x2-16384x256
AiInfraScatterBlockUpdate,7,"[[4096, 512, 1], [240, 2], [240, 1]]","[""float32"", ""int32"", ""float32""]",{},"[[-5, 5], [0, 4095], [-5, 5]]",M-float32-int32-float32-4096x512x1-240x2-240x1
AiInfraScatterBlockUpdate,8,"[[2048, 512, 1], [262144, 2], [262144, 1]]","[""int8"", ""int32"", ""int8""]",{},"[[-128, 127], [0, 2047], [-128, 127]]",S-int8-int32-int8-2048x512x1-262144x2-262144x1
AiInfraScatterBlockUpdate,9,"[[10240, 512, 128], [65536, 2], [65536, 128]]","[""int8"", ""int32"", ""int8""]",{},"[[-128, 127], [0, 10239], [-128, 127]]",M-int8-int32-int8-10240x512x128-65536x2-65536x128
AiInfraScatterBlockUpdate,10,"[[2048, 128, 128], [16384, 2], [16384, 128]]","[""bfloat16"", ""int64"", ""bfloat16""]",{},"[[-5, 5], [0, 2047], [-5, 5]]",M-bfloat16-int64-bfloat16-2048x128x128-16384x2-16384x128
AiInfraScatterBlockUpdate,11,"[[8192, 128, 128], [1, 2], [1, 128]]","[""bfloat16"", ""int32"", ""bfloat16""]",{},"[[-5, 5], [-128, -1], [-5, 5]]",S-bfloat16-int32-bfloat16-8192x128x128-1x2-1x128
AiInfraScatterBlockUpdate,12,"[[1048577, 8, 64], [1024, 2], [1024, 64]]","[""bfloat16"", ""int32"", ""bfloat16""]",{},"[[-5, 5], [-8, -1], [-5, 5]]",M-bfloat16-int32-bfloat16-1048577x8x64-1024x2-1024x64
AiInfraScatterBlockUpdate,13,"[[64, 8, 2048], [8, 2], [8, 2048]]","[""bfloat16"", ""int32"", ""bfloat16""]",{},"[[-5, 5], [-8, -1], [-5, 5]]",S-bfloat16-int32-bfloat16-64x8x2048-8x2-8x2048
AiInfraScatterBlockUpdate,14,"[[3072, 512, 1], [1048576, 2], [1048576, 1]]","[""bfloat16"", ""int32"", ""bfloat16""]",{},"[[-5, 5], [-512, -1], [-5, 5]]",M-bfloat16-int32-bfloat16-3072x512x1-1048576x2-1048576x1
AiInfraScatterBlockUpdate,15,"[[2048, 128, 1], [2048, 2], [2048, 1]]","[""bfloat16"", ""int32"", ""bfloat16""]",{},"[[-5, 5], [0, 2047], [-5, 5]]",S-bfloat16-int32-bfloat16-2048x128x1-2048x2-2048x1
AiInfraScatterBlockUpdate,16,"[[4096, 128, 128], [240, 2], [240, 128]]","[""float16"", ""int32"", ""float16""]",{},"[[-5, 5], [0, 4095], [-5, 5]]",S-float16-int32-float16-4096x128x128-240x2-240x128
AiInfraScatterBlockUpdate,17,"[[4096, 128, 128], [16384, 2], [16384, 128]]","[""float16"", ""int64"", ""float16""]",{},"[[-5, 5], [0, 4095], [-5, 5]]",M-float16-int64-float16-4096x128x128-16384x2-16384x128
AiInfraScatterBlockUpdate,18,"[[4096, 128, 128], [240, 2], [240, 128]]","[""float32"", ""int64"", ""float32""]",{},"[[-5, 5], [0, 4095], [-5, 5]]",S-float32-int64-float32-4096x128x128-240x2-240x128
AiInfraScatterBlockUpdate,19,"[[4096, 128, 256], [240, 2], [240, 256]]","[""int8"", ""int64"", ""int8""]",{},"[[-128, 127], [0, 4095], [-128, 127]]",S-int8-int64-int8-4096x128x256-240x2-240x256
AiInfraScatterBlockUpdate,20,"[[8192, 128, 128], [256, 2], [256, 128]]","[""bfloat16"", ""int32"", ""bfloat16""]",{},"[[-5, 5], [-64, 8191], [-5, 5]]",S-bfloat16-int32-bfloat16-8192x128x128-256x2-256x128
