operator,case_id,input_shape,dtype,attrs,value_range,note
AttentionUpdate,1,"[[[1], [1], [1], [1], [1], [1], [1]], [[1, 8], [1, 8], [1, 8], [1, 8], [1, 8], [1, 8], [1, 8]]]","[""float32"", ""float16""]","{""update_type"": 0}","[[-1, 1], [-1, 1]]",S-float16-56-sp7-bsh1-hd8-ut0
AttentionUpdate,2,"[[[1], [1], [1]], [[1, 128], [1, 128], [1, 128]]]","[""float32"", ""bfloat16""]","{""update_type"": 0}","[[-1, 1], [-1, 1]]",S-bfloat16-384-sp3-bsh1-hd128-ut0
AttentionUpdate,3,"[[[1], [1], [1], [1], [1]], [[1, 136], [1, 136], [1, 136], [1, 136], [1, 136]]]","[""float32"", ""float16""]","{""update_type"": 1}","[[-1, 1], [-1, 1]]",S-float16-680-sp5-bsh1-hd136-ut1
AttentionUpdate,4,"[[[17], [17], [17], [17], [17], [17]], [[17, 40], [17, 40], [17, 40], [17, 40], [17, 40], [17, 40]]]","[""float32"", ""float16""]","{""update_type"": 0}","[[-1, 1], [-1, 1]]",S-float16-4K-sp6-bsh17-hd40-ut0
AttentionUpdate,5,"[[[8], [8], [8], [8], [8], [8], [8], [8], [8], [8], [8], [8], [8], [8], [8]], [[8, 40], [8, 40], [8, 40], [8, 40], [8, 40], [8, 40], [8, 40], [8, 40], [8, 40], [8, 40], [8, 40], [8, 40], [8, 40], [8, 40], [8, 40]]]","[""float32"", ""float16""]","{""update_type"": 0}","[[-1, 1], [""nan""]]",S-float16-4K-sp15-bsh8-hd40-ut0
AttentionUpdate,6,"[[[16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16], [16]], [[16, 24], [16, 24], [16, 24], [16, 24], [16, 24], [16, 24], [16, 24], [16, 24], [16, 24], [16, 24], [16, 24], [16, 24], [16, 24]]]","[""float32"", ""float16""]","{""update_type"": 0}","[[-1, 1], [-1, 1]]",S-float16-4K-sp13-bsh16-hd24-ut0
AttentionUpdate,7,"[[[9], [9]], [[9, 296], [9, 296]]]","[""float32"", ""float16""]","{""update_type"": 1}","[[-1, 1], [-1, 1]]",S-float16-5K-sp2-bsh9-hd296-ut1
AttentionUpdate,8,"[[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]], [[1, 512], [1, 512], [1, 512], [1, 512], [1, 512], [1, 512], [1, 512], [1, 512], [1, 512], [1, 512], [1, 512]]]","[""float32"", ""bfloat16""]","{""update_type"": 1}","[[-1, 1], [-1, 1]]",S-bfloat16-5K-sp11-bsh1-hd512-ut1
AttentionUpdate,9,"[[[17], [17], [17]], [[17, 128], [17, 128], [17, 128]]]","[""float32"", ""float16""]","{""update_type"": 1}","[[-1, 1], [-1, 1]]",S-float16-6K-sp3-bsh17-hd128-ut1
AttentionUpdate,10,"[[[7], [7], [7], [7], [7], [7], [7]], [[7, 168], [7, 168], [7, 168], [7, 168], [7, 168], [7, 168], [7, 168]]]","[""float32"", ""bfloat16""]","{""update_type"": 1}","[[-1, 1], [-1, 1]]",S-bfloat16-8K-sp7-bsh7-hd168-ut1
AttentionUpdate,11,"[[[16], [16]], [[16, 400], [16, 400]]]","[""float32"", ""bfloat16""]","{""update_type"": 1}","[[-1, 1], [-1, 1]]",S-bfloat16-12K-sp2-bsh16-hd400-ut1
AttentionUpdate,12,"[[[20], [20], [20]], [[20, 216], [20, 216], [20, 216]]]","[""float32"", ""bfloat16""]","{""update_type"": 0}","[[-1, 1], [-1, 1]]",S-bfloat16-12K-sp3-bsh20-hd216-ut0
AttentionUpdate,13,"[[[16], [16], [16], [16]], [[16, 288], [16, 288], [16, 288], [16, 288]]]","[""float32"", ""float16""]","{""update_type"": 1}","[[-1, 1], [-1, 1]]",S-float16-18K-sp4-bsh16-hd288-ut1
AttentionUpdate,14,"[[[7], [7], [7], [7], [7], [7], [7], [7], [7]], [[7, 480], [7, 480], [7, 480], [7, 480], [7, 480], [7, 480], [7, 480], [7, 480], [7, 480]]]","[""float32"", ""float16""]","{""update_type"": 0}","[[-1, 1], [-1, 1]]",S-float16-30K-sp9-bsh7-hd480-ut0
AttentionUpdate,15,"[[[257], [257]], [[257, 64], [257, 64]]]","[""float32"", ""bfloat16""]","{""update_type"": 1}","[[-1, 1], [-1, 1]]",S-bfloat16-32K-sp2-bsh257-hd64-ut1
AttentionUpdate,16,"[[[8], [8], [8], [8], [8], [8], [8], [8], [8], [8], [8], [8], [8]], [[8, 360], [8, 360], [8, 360], [8, 360], [8, 360], [8, 360], [8, 360], [8, 360], [8, 360], [8, 360], [8, 360], [8, 360], [8, 360]]]","[""float32"", ""bfloat16""]","{""update_type"": 0}","[[-1, 1], [-1, 1]]",S-bfloat16-37K-sp13-bsh8-hd360-ut0
AttentionUpdate,17,"[[[255], [255], [255], [255], [255], [255]], [[255, 440], [255, 440], [255, 440], [255, 440], [255, 440], [255, 440]]]","[""float32"", ""bfloat16""]","{""update_type"": 0}","[[-1, 1], [-1, 1]]",S-bfloat16-673K-sp6-bsh255-hd440-ut0
AttentionUpdate,18,"[[[256], [256], [256], [256], [256], [256], [256], [256], [256], [256], [256], [256], [256], [256]], [[256, 216], [256, 216], [256, 216], [256, 216], [256, 216], [256, 216], [256, 216], [256, 216], [256, 216], [256, 216], [256, 216], [256, 216], [256, 216], [256, 216]]]","[""float32"", ""float16""]","{""update_type"": 0}","[[-1, 1], [-1, 1]]",S-float16-774K-sp14-bsh256-hd216-ut0
AttentionUpdate,19,"[[[255], [255], [255], [255], [255], [255], [255], [255], [255], [255], [255], [255], [255], [255], [255], [255]], [[255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392], [255, 392]]]","[""float32"", ""float16""]","{""update_type"": 1}","[[-1, 1], [-1, 1]]",L-float16-1M-sp16-bsh255-hd392-ut1
AttentionUpdate,20,"[[[131073], [131073], [131073], [131073]], [[131073, 504], [131073, 504], [131073, 504], [131073, 504]]]","[""float32"", ""float16""]","{""update_type"": 0}","[[-1, 1], [-1, 1]]",L-float16-264M-sp4-bsh131073-hd504-ut0
