operator,case_id,input_shape,dtype,attrs,value_range,note
MultiAddRmsNormDynamicQuant,1,"[[[152, 7680]], [152, 7680], [7680], [7680], [7680]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-6""}","[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",S-bfloat16-1M-对齐-2D-x1_1-smooth12 | baseline_kernels: Add×1 + RmsNorm×1 + DynamicQuant×2
MultiAddRmsNormDynamicQuant,2,"[[[1, 72, 7168]], [1, 72, 7168], [7168], [7168]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-6""}","[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",S-bfloat16-500K-对齐-3D-x1_1-smooth1 | baseline_kernels: Add×1 + RmsNorm×1 + DynamicQuant×1
MultiAddRmsNormDynamicQuant,3,"[[[1, 72, 7168]], [1, 72, 7168], [7168], [7168]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-6""}","[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",S-float16-500K-对齐-3D-x1_1-smooth1 | baseline_kernels: Add×1 + RmsNorm×1 + DynamicQuant×1
MultiAddRmsNormDynamicQuant,4,"[[[1, 72, 7168]], [1, 72, 7168], [7168], [7168], [7168]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-6""}","[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",S-float16-500K-对齐-3D-x1_1-smooth12 | baseline_kernels: Add×1 + RmsNorm×1 + DynamicQuant×2
MultiAddRmsNormDynamicQuant,5,"[[[77, 58972]], [77, 58972], [58972]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-6""}","[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",M-bfloat16-5M-非对齐-2D-x1_1-noSmooth | baseline_kernels: Add×1 + RmsNorm×1 + DynamicQuant×1
MultiAddRmsNormDynamicQuant,6,"[[[70, 14716]], [70, 14716], [14716], [14716], [14716]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-6""}","[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",S-float16-1M-非对齐-2D-x1_1-smooth12 | baseline_kernels: Add×1 + RmsNorm×1 + DynamicQuant×2
MultiAddRmsNormDynamicQuant,7,"[[[38, 65276]], [38, 65276], [65276], [65276]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-6""}","[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",M-float16-2M-非对齐-2D-x1_1-smooth1 | baseline_kernels: Add×1 + RmsNorm×1 + DynamicQuant×1
MultiAddRmsNormDynamicQuant,8,"[[[117, 56865]], [117, 56865], [56865]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-6""}","[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",M-float16-7M-非对齐-2D-x1_1-noSmooth | baseline_kernels: Add×1 + RmsNorm×1 + DynamicQuant×1
MultiAddRmsNormDynamicQuant,9,"[[[156, 1, 7570]], [156, 1, 7570], [7570]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-6""}","[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",S-bfloat16-1M-非对齐-3D-x1_1-noSmooth | baseline_kernels: Add×1 + RmsNorm×1 + DynamicQuant×1
MultiAddRmsNormDynamicQuant,10,"[[[26, 6, 9, 17, 1, 231]], [26, 6, 9, 17, 1, 231], [231]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-6""}","[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",M-float16-6M-非对齐-6D-x1_1-noSmooth | baseline_kernels: Add×1 + RmsNorm×1 + DynamicQuant×1
