operator,case_id,input_shape,dtype,attrs,value_range,note
ScatterPaKvCache,1,"[[16, 257, 256], [17, 4112, 8, 16], [16], [16, 257, 256], [17, 4112, 8, 16]]","[""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 135], [-100, 100], [-100, 100]]",M-bfloat16-19M-PA_NZ-tokens16
ScatterPaKvCache,2,"[[21, 255, 272], [22, 4335, 16, 16], [21], [21, 255, 272], [22, 4335, 16, 16]]","[""float16"", ""float16"", ""int32"", ""float16"", ""float16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 351], [-100, 100], [-100, 100]]",L-float16-50M-PA_NZ-tokens21
ScatterPaKvCache,3,"[[256, 256, 256], [257, 4096, 17, 16], [256], [256, 256, 256], [257, 4096, 17, 16]]","[""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 4368], [-100, 100], [-100, 100]]",L-bfloat16-589M-PA_NZ-tokens256
ScatterPaKvCache,4,"[[19, 257, 256], [20, 4112, 255, 16], [19], [19, 257, 256], [20, 4112, 255, 16]]","[""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 5099], [-100, 100], [-100, 100]]",L-bfloat16-672M-PA_NZ-tokens19
ScatterPaKvCache,5,"[[17, 256, 256], [18, 4096, 15, 16], [17], [17, 256, 256], [18, 4096, 15, 16]]","[""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 269], [-100, 100], [-100, 100]]",M-bfloat16-37M-PA_NZ-tokens17
ScatterPaKvCache,6,"[[180, 1, 192], [9459, 12, 128, 16], [180], [180, 1, 128], [9459, 8, 128, 16]]","[""bfloat16"", ""bfloat16"", ""int64"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 66306], [-100, 100], [-100, 100]]",L-bfloat16-465M-PA_NZ-tokens180
ScatterPaKvCache,7,"[[2028, 1, 192], [5099, 12, 128, 16], [2028], [2028, 1, 128], [5099, 8, 128, 16]]","[""bfloat16"", ""bfloat16"", ""int64"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 66306], [-100, 100], [-100, 100]]",L-bfloat16-251M-PA_NZ-tokens2028
ScatterPaKvCache,8,"[[32704, 2, 128], [11784, 16, 128, 16], [32704], [32704, 2, 128], [11784, 16, 128, 16]]","[""bfloat16"", ""bfloat16"", ""int64"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 66306], [-100, 100], [-100, 100]]",L-bfloat16-781M-PA_NZ-tokens32704
ScatterPaKvCache,9,"[[112, 2, 128], [11784, 16, 128, 16], [112], [112, 2, 128], [11784, 16, 128, 16]]","[""bfloat16"", ""bfloat16"", ""int64"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 66306], [-100, 100], [-100, 100]]",L-bfloat16-772M-PA_NZ-tokens112
ScatterPaKvCache,10,"[[2, 8, 16], [3, 8, 7, 16], [2], [2, 8, 16], [3, 8, 7, 16]]","[""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 20], [-100, 100], [-100, 100]]",S-bfloat16-6K-PA_NZ-tokens2
ScatterPaKvCache,11,"[[2, 2, 272], [3, 34, 2, 16], [2], [2, 2, 272], [3, 34, 2, 16]]","[""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 5], [-100, 100], [-100, 100]]",S-bfloat16-8K-PA_NZ-tokens2
ScatterPaKvCache,12,"[[257, 257, 16], [258, 257, 257, 16], [257], [257, 257, 16], [258, 257, 257, 16]]","[""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""cache_mode"": ""PA_NZ""}","[[-100, 100], [-100, 100], [-1, 66305], [-100, 100], [-100, 100]]",L-bfloat16-546M-PA_NZ-tokens257
