operator,case_id,input_shape,dtype,attrs,value_range,note
AiInfraFusedCausalConv1d,1,"[[524288, 512], [3, 512], [4099, 5, 512], [2], [1, 4098], null, [1], [1], [1], [1]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""null"", ""int32"", ""int32"", ""int32"", ""int32""]","{""block_size"": 128, ""conv_mode"": 1, ""inplace"": false, ""max_query_len"": 524288, ""pad_slot_id"": -1, ""residual_connection"": 1}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], null, [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",L-bfloat16-bfloat16-bfloat16-int32-int32-int32-int32-int32-int32-int32-524288x512-3x512-4099x5x512-2-1x4098-1-1-1-1-1
AiInfraFusedCausalConv1d,2,"[[40, 4096], [3, 4096], [8, 7, 4096], [3], [2, 3], null, [2], [2], [2], [2]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""null"", ""int32"", ""int32"", ""int32"", ""int32""]","{""block_size"": 128, ""conv_mode"": 1, ""inplace"": false, ""max_query_len"": 30, ""pad_slot_id"": -1, ""residual_connection"": 1}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], null, [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",S-bfloat16-bfloat16-bfloat16-int32-int32-int32-int32-int32-int32-int32-40x4096-3x4096-8x7x4096-3-2x3-2-2-2-2-2
AiInfraFusedCausalConv1d,3,"[[24, 6144], [3, 6144], [32, 7, 6144], [9], [8, 3], [8], [8], [8], [8], [8]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""int32"", ""int32"", ""int32"", ""int32"", ""int32""]","{""block_size"": 256, ""conv_mode"": 1, ""inplace"": false, ""max_query_len"": 6, ""pad_slot_id"": -1, ""residual_connection"": 0}","[[-5, 5], [-5, 5], [-5, 5], [-5, 5], [-5, 5], [-5, 5], [-5, 5], [-5, 5], [-5, 5], [-5, 5]]",S-float16-float16-float16-int32-int32-int32-int32-int32-int32-int32-24x6144-3x6144-32x7x6144-9-8x3-8-8-8-8-8
AiInfraFusedCausalConv1d,4,"[[24, 2048], [3, 2048], [32, 7, 2048], [9], null, null, null, null, null, null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""null"", ""null"", ""null"", ""null"", ""null"", ""null""]","{""block_size"": 128, ""conv_mode"": 0, ""inplace"": false, ""max_query_len"": 6, ""pad_slot_id"": -1, ""residual_connection"": 1}","[[-5, 5], [-5, 5], [-5, 5], [-5, 5], null, null, null, null, null, null]",S-bfloat16-bfloat16-bfloat16-int32-int32-int32-int32-int32-int32-int32-24x2048-3x2048-32x7x2048-9-8-8-8-8-8-8
AiInfraFusedCausalConv1d,5,"[[1048576, 64], [3, 64], [8195, 6, 64], [2], null, null, null, null, null, null]","[""float16"", ""float16"", ""float16"", ""int32"", ""null"", ""null"", ""null"", ""null"", ""null"", ""null""]","{""block_size"": 128, ""conv_mode"": 0, ""inplace"": false, ""max_query_len"": 1048576, ""pad_slot_id"": -1, ""residual_connection"": 0}","[[-5, 5], [-5, 5], [-5, 5], [-5, 5], null, null, null, null, null, null]",L-float16-float16-float16-int32-int32-int32-int32-int32-int32-int32-1048576x64-3x64-8195x6x64-2-1-1-1-1-1-1
AiInfraFusedCausalConv1d,6,"[[1, 16384], [3, 16384], [4, 2, 16384], [2], [1, 3], [1], [1], [1], [1], [1]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""int32"", ""int32"", ""int32"", ""int32"", ""int32""]","{""block_size"": 256, ""conv_mode"": 0, ""inplace"": false, ""max_query_len"": 1, ""pad_slot_id"": -1, ""residual_connection"": 0}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",S-float16-float16-float16-int32-int32-int32-int32-int32-int32-int32-1x16384-3x16384-4x2x16384-2-1x3-1-1-1-1-1
AiInfraFusedCausalConv1d,7,"[[1, 1, 16384], [3, 16384], [4, 2, 16384], null, [1, 3], [1], [1], [1], [1], [1]]","[""float16"", ""float16"", ""float16"", ""null"", ""int32"", ""int32"", ""int32"", ""int32"", ""int32"", ""int32""]","{""block_size"": 256, ""conv_mode"": 0, ""inplace"": false, ""max_query_len"": 1, ""pad_slot_id"": -1, ""residual_connection"": 0}","[[-103.0, -97.0], [-103.0, -97.0], [-103.0, -97.0], null, [-103.0, -97.0], [-103.0, -97.0], [-103.0, -97.0], [-103.0, -97.0], [-103.0, -97.0], [-103.0, -97.0]]",S-float16-float16-float16-int32-int32-int32-int32-int32-int32-int32-1x1x16384-3x16384-4x2x16384-2-1x3-1-1-1-1-1
AiInfraFusedCausalConv1d,8,"[[16384, 1536], [3, 1536], [176, 3, 1536], [17], [16, 10], null, [16], [16], [16], [16]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""null"", ""int32"", ""int32"", ""int32"", ""int32""]","{""block_size"": 256, ""conv_mode"": 1, ""inplace"": false, ""max_query_len"": 2048, ""pad_slot_id"": -1, ""residual_connection"": 1}","[[-103.0, -97.0], [-103.0, -97.0], [-103.0, -97.0], [-103.0, -97.0], [-103.0, -97.0], null, [-103.0, -97.0], [-103.0, -97.0], [-103.0, -97.0], [-103.0, -97.0]]",M-bfloat16-bfloat16-bfloat16-int32-int32-int32-int32-int32-int32-int32-16384x1536-3x1536-176x3x1536-17-16x10-16-16-16-16-16
AiInfraFusedCausalConv1d,9,"[[524288, 512], [3, 512], [4099, 5, 512], [2], [1, 4098], null, [1], [1], [1], [1]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""null"", ""int32"", ""int32"", ""int32"", ""int32""]","{""block_size"": 128, ""conv_mode"": 1, ""inplace"": true, ""max_query_len"": 524288, ""pad_slot_id"": -1, ""residual_connection"": 1}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], null, [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",L-bfloat16-bfloat16-bfloat16-int32-int32-int32-int32-int32-int32-int32-524288x512-3x512-4099x5x512-2-1x4098-1-1-1-1-1
AiInfraFusedCausalConv1d,10,"[[4, 4, 512], [3, 512], [16, 5, 512], null, [4, 3], null, [4], [4], [4], [4]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""null"", ""int32"", ""null"", ""int32"", ""int32"", ""int32"", ""int32""]","{""block_size"": 128, ""conv_mode"": 1, ""inplace"": true, ""max_query_len"": 4, ""pad_slot_id"": -1, ""residual_connection"": 1}","[[-1, 1], [-1, 1], [-1, 1], null, [-1, 1], null, [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",S-bfloat16-bfloat16-bfloat16-int32-int32-int32-int32-int32-int32-int32-4x4x512-3x512-16x5x512-5-4x3-4-4-4-4-4
