operator,case_id,input_shape,dtype,attrs,value_range,note
AiInfraMoeInitRoutingV3,1,"[[507,4608],[507,8],[507]]","[""bfloat16"",""int32"",""float32""]","{""active_num"":0,""expert_capacity"":32,""expert_num"":256,""drop_pad_mode"":0,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":true,""quant_mode"":-1,""row_idx_type"":0,""active_expert_range"":[0,256]}","[[-5,5],[0,255],[0.1,0.9]]",M-bfloat16-int32-float32-float32-507x4608-507x8-507-1
AiInfraMoeInitRoutingV3,2,"[[1,2048],[1,8],[1]]","[""int8"",""int32"",""float32""]","{""active_num"":8,""expert_capacity"":1,""expert_num"":256,""drop_pad_mode"":1,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":false,""quant_mode"":-1,""row_idx_type"":0,""active_expert_range"":[0,256]}","[[-5,5],[0,255],[0.1,0.9]]",S-int8-int32-float32-float32-1x2048-1x8-1-1
AiInfraMoeInitRoutingV3,3,"[[1,2048],[1,8],[1],[1]]","[""float32"",""int32"",""float32"",""float32""]","{""active_num"":8,""expert_capacity"":1,""expert_num"":256,""drop_pad_mode"":1,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":true,""quant_mode"":0,""row_idx_type"":0,""active_expert_range"":[0,256]}","[[-5,5],[0,255],[0.1,0.9],[-1,1]]",S-float32-int32-float32-float32-1x2048-1x8-1-1
AiInfraMoeInitRoutingV3,4,"[[1,2048],[1,8],[1,2048]]","[""float32"",""int32"",""float32""]","{""active_num"":8,""expert_capacity"":1,""expert_num"":256,""drop_pad_mode"":1,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":false,""quant_mode"":1,""row_idx_type"":0,""active_expert_range"":[0,256]}","[[-5,5],[0,255],[0.1,0.9]]",S-float32-int32-float32-float32-1x2048-1x8-1x2048-1
AiInfraMoeInitRoutingV3,5,"[[4096,2048],[4096,8],[4096]]","[""bfloat16"",""int32"",""float32""]","{""active_num"":28494,""expert_capacity"":32,""expert_num"":256,""drop_pad_mode"":0,""expert_tokens_num_type"":2,""expert_tokens_num_flag"":false,""quant_mode"":-1,""row_idx_type"":0,""active_expert_range"":[0,256]}","[[-5,5],[0,255],[0.1,0.9]]",M-bfloat16-int32-float32-float32-4096x2048-4096x8-4096-1
AiInfraMoeInitRoutingV3,6,"[[4096,2048],[4096,8],[4096]]","[""bfloat16"",""int32"",""float32""]","{""active_num"":32768,""expert_capacity"":16,""expert_num"":256,""drop_pad_mode"":1,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":false,""quant_mode"":-1,""row_idx_type"":0,""active_expert_range"":[0,256]}","[[-5,5],[0,255],[-0.99,0.99]]",M-bfloat16-int32-float32-float32-4096x2048-4096x8-4096-1
AiInfraMoeInitRoutingV3,7,"[[4096,2048],[4096,8],[4096]]","[""float16"",""int32"",""float32""]","{""active_num"":21205,""expert_capacity"":32,""expert_num"":256,""drop_pad_mode"":0,""expert_tokens_num_type"":2,""expert_tokens_num_flag"":false,""quant_mode"":-1,""row_idx_type"":1,""active_expert_range"":[0,256]}","[[-5,5],[0,255],[0.1,0.9]]",M-float16-int32-float32-float32-4096x2048-4096x8-4096-1
AiInfraMoeInitRoutingV3,8,"[[4096,2048],[4096,8],[1],[1]]","[""float16"",""int32"",""float32"",""float32""]","{""active_num"":32768,""expert_capacity"":16,""expert_num"":256,""drop_pad_mode"":1,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":true,""quant_mode"":0,""row_idx_type"":0,""active_expert_range"":[0,256]}","[[-5,5],[0,255],[0.1,0.9],[-1,1]]",M-float16-int32-float32-float32-4096x2048-4096x8-1-1
AiInfraMoeInitRoutingV3,9,"[[4096,2048],[4096,8],[1],[1]]","[""bfloat16"",""int32"",""float32"",""float32""]","{""active_num"":16749,""expert_capacity"":32,""expert_num"":256,""drop_pad_mode"":0,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":false,""quant_mode"":0,""row_idx_type"":1,""active_expert_range"":[0,256]}","[[-5,5],[0,255],[0.1,0.9],[-1,1]]",M-bfloat16-int32-float32-float32-4096x2048-4096x8-1-1
AiInfraMoeInitRoutingV3,10,"[[1536,2560],[1536,8],[1536]]","[""float32"",""int32"",""float32""]","{""active_num"":12288,""expert_capacity"":0,""expert_num"":256,""drop_pad_mode"":0,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":true,""quant_mode"":-1,""row_idx_type"":0,""active_expert_range"":[100,116]}","[[-5,5],[0,255],[-0.99,0.99]]",M-float32-int32-float32-float32-4096x2048-4096x8-1x2048-1
AiInfraMoeInitRoutingV3,11,"[[4096,2048],[4096,8],[1,2048]]","[""bfloat16"",""int32"",""float32""]","{""active_num"":32768,""expert_capacity"":16,""expert_num"":256,""drop_pad_mode"":1,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":false,""quant_mode"":1,""row_idx_type"":0,""active_expert_range"":[0,256]}","[[-5,5],[0,255],[0.1,0.9]]",M-bfloat16-int32-float32-float32-4096x2048-4096x8-1x2048-1
AiInfraMoeInitRoutingV3,12,"[[2560,5120],[2560,8],[2560]]","[""float32"",""int32"",""float32""]","{""active_num"":20480,""expert_capacity"":0,""expert_num"":256,""drop_pad_mode"":0,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":true,""quant_mode"":-1,""row_idx_type"":0,""active_expert_range"":[100,103]}","[[-5,5],[0,255],[-0.99,0.99]]",M-float32-int32-float32-float32-4096x2048-4096x8-1x2048-1
AiInfraMoeInitRoutingV3,13,"[[162,5328],[162,36],[162]]","[""bfloat16"",""int32"",""float32""]","{""active_num"":1408,""expert_capacity"":0,""expert_num"":390,""drop_pad_mode"":0,""expert_tokens_num_type"":0,""expert_tokens_num_flag"":true,""quant_mode"":-1,""row_idx_type"":1,""active_expert_range"":[0,124]}","[[-5,5],[0,389],[0.1,0.9]]",S-bfloat16-int32-float32-float32-162x5328-162x36-162-1
AiInfraMoeInitRoutingV3,14,"[[657,5017],[657,7],[1],[1]]","[""bfloat16"",""int32"",""float32"",""float32""]","{""active_num"":1861,""expert_capacity"":0,""expert_num"":448,""drop_pad_mode"":0,""expert_tokens_num_type"":0,""expert_tokens_num_flag"":false,""quant_mode"":0,""row_idx_type"":0,""active_expert_range"":[0,150]}","[[-5,5],[0,447],[0.1,0.9],[-1,1]]",M-bfloat16-int32-float32-float32-657x5017-657x7-1-1
AiInfraMoeInitRoutingV3,15,"[[53,3241],[53,59],[1],[1]]","[""float32"",""int32"",""float32"",""float32""]","{""active_num"":1362,""expert_capacity"":0,""expert_num"":251,""drop_pad_mode"":0,""expert_tokens_num_type"":0,""expert_tokens_num_flag"":true,""quant_mode"":0,""row_idx_type"":1,""active_expert_range"":[0,251]}","[[-5,5],[0,250],[0.1,0.9],[-1,1]]",S-float32-int32-float32-float32-53x3241-53x59-1-1
AiInfraMoeInitRoutingV3,16,"[[1536,2560],[1536,8],[1536]]","[""float16"",""int32"",""float32""]","{""active_num"":12288,""expert_capacity"":0,""expert_num"":256,""drop_pad_mode"":0,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":true,""quant_mode"":-1,""row_idx_type"":1,""active_expert_range"":[100,116]}","[[-5,5],[0,255],[-0.99,0.99]]",M-float16-int32-float32-float32-1373x3982-1373x4-1x3982-1
AiInfraMoeInitRoutingV3,17,"[[83,5939],[83,55],[1,5939]]","[""float16"",""int32"",""float32""]","{""active_num"":4131,""expert_capacity"":0,""expert_num"":498,""drop_pad_mode"":0,""expert_tokens_num_type"":0,""expert_tokens_num_flag"":false,""quant_mode"":1,""row_idx_type"":1,""active_expert_range"":[0,498]}","[[-5,5],[0,497],[0.1,0.9]]",S-float16-int32-float32-float32-83x5939-83x55-1x5939-1
AiInfraMoeInitRoutingV3,18,"[[1357,5974],[1357,5],[1],[1]]","[""float16"",""int32"",""float32"",""float32""]","{""active_num"":2334,""expert_capacity"":0,""expert_num"":423,""drop_pad_mode"":0,""expert_tokens_num_type"":0,""expert_tokens_num_flag"":false,""quant_mode"":0,""row_idx_type"":0,""active_expert_range"":[0,266]}","[[-5,5],[0,422],[0.1,0.9],[-1,1]]",M-float16-int32-float32-float32-1357x5974-1357x5-1-1
AiInfraMoeInitRoutingV3,19,"[[0,2048],[0,8]]","[""bfloat16"",""int32""]","{""active_num"":-1,""expert_capacity"":0,""expert_num"":256,""drop_pad_mode"":0,""expert_tokens_num_type"":0,""expert_tokens_num_flag"":true,""quant_mode"":-1,""row_idx_type"":0,""active_expert_range"":[0,256]}","[[-1,1],[0,255]]",S-bfloat16-int32-float32-float32-0x2048-0x8-0-1
AiInfraMoeInitRoutingV3,20,"[[1048576,1],[1048576,8],[1048576]]","[""int8"",""int32"",""float32""]","{""active_num"":8388608,""expert_capacity"":0,""expert_num"":256,""drop_pad_mode"":0,""expert_tokens_num_type"":1,""expert_tokens_num_flag"":true,""quant_mode"":-1,""row_idx_type"":0,""active_expert_range"":[100,103]}","[[-5,5],[0,255],[-0.99,0.99]]",M-int8-int32-float32-float32-1048576x1-1048576x8-1048576-1
