operator,case_id,input_shape,dtype,attrs,value_range,note
DynamicMxQuant,1,"[[1024, 1024]]","[""float16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 40, ""blocksize"": 32}","[-1, 1]",FP4E2M1-fp16-2D-1M-对齐-小值域
DynamicMxQuant,2,"[[4, 509, 2048]]","[""bfloat16""]","{""axis"": -1, ""round_mode"": ""floor"", ""dst_type"": 40, ""blocksize"": 32}","[-6, 6]",FP4E2M1-bf16-3D-4M-质数前维509-floor
DynamicMxQuant,3,"[[3, 7, 127, 1022]]","[""float16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 40, ""blocksize"": 32}","[-2, 2]",FP4E2M1-fp16-4D-2.7M-非对齐(127×1022)
DynamicMxQuant,4,"[[16, 64, 16384]]","[""float16""]","{""axis"": 1, ""round_mode"": ""rint"", ""dst_type"": 40, ""blocksize"": 32}","[-3, 3]",FP4E2M1-fp16-3D-16M-大尾维16384-非尾轴axis=1
DynamicMxQuant,5,"[[64, 8192]]","[""float16""]","{""axis"": 0, ""round_mode"": ""rint"", ""dst_type"": 41, ""blocksize"": 32}","[-1.5, 1.5]",FP4E1M2-fp16-2D-512K-非尾轴axis=0-大尾维8192
DynamicMxQuant,6,"[[2, 3, 7, 11, 512]]","[""bfloat16""]","{""axis"": -1, ""round_mode"": ""round"", ""dst_type"": 41, ""blocksize"": 32}","[-1.5, 1.5]",FP4E1M2-bf16-5D-236K-质数前维(3×7×11)-round
DynamicMxQuant,7,"[[32, 16384]]","[""float16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 36, ""blocksize"": 32}","[-100, 100]",FP8E4M3-fp16-2D-512K-大尾维16384-对齐
DynamicMxQuant,8,"[[2, 7, 13, 4097]]","[""bfloat16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 36, ""blocksize"": 64}","[-200, 200]",FP8E4M3-bf16-4D-745K-非对齐尾维4097-blocksize64
DynamicMxQuant,9,"[[2, 4, 8, 16, 2049]]","[""float16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 36, ""blocksize"": 32}","[-50, 50]",FP8E4M3-fp16-5D-2M-非对齐尾维2049
DynamicMxQuant,10,"[[256, 8193]]","[""bfloat16""]","{""axis"": 0, ""round_mode"": ""rint"", ""dst_type"": 35, ""blocksize"": 32}","[-500, 500]",FP8E5M2-bf16-2D-2M-非尾轴axis=0-尾维8193非对齐
DynamicMxQuant,11,"[[3, 11, 509, 128]]","[""float16""]","{""axis"": 2, ""round_mode"": ""rint"", ""dst_type"": 35, ""blocksize"": 32}","[-1000, 1000]",FP8E5M2-fp16-4D-2.1M-非尾轴axis=2-质数非对齐
DynamicMxQuant,12,"[[128, 16384]]","[""float16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 36, ""blocksize"": 32}","[-100, 100]",FP8E4M3-fp16-2D-2M-大尾维16384-对齐
DynamicMxQuant,13,"[[4, 513, 4097]]","[""bfloat16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 35, ""blocksize"": 32}","[-500, 500]",FP8E5M2-bf16-3D-8.4M-非对齐(513×4097)
DynamicMxQuant,14,"[[1024, 2048]]","[""float16""]","{""axis"": 0, ""round_mode"": ""rint"", ""dst_type"": 35, ""blocksize"": 32}","[-1000, 1000]",FP8E5M2-fp16-2D-2M-非尾轴axis=0-极大值域
DynamicMxQuant,15,"[[2, 3, 7, 64, 1024]]","[""bfloat16""]","{""axis"": 3, ""round_mode"": ""rint"", ""dst_type"": 36, ""blocksize"": 64}","[-200, 200]",FP8E4M3-bf16-5D-2.7M-非尾轴axis=3-blocksize64
DynamicMxQuant,16,"[[512, 2048]]","[""float16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 40, ""blocksize"": 32}","[-5, 5]",FP4E2M1-fp16-2D-1M-中值域
DynamicMxQuant,17,"[[3, 7, 11, 1022]]","[""bfloat16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 40, ""blocksize"": 32}","[-6, 6]",FP4E2M1-bf16-4D-236K-非对齐尾维1022
DynamicMxQuant,18,"[[64, 128, 1024]]","[""float16""]","{""axis"": -1, ""round_mode"": ""floor"", ""dst_type"": 40, ""blocksize"": 32}","[-8, 8]",FP4E2M1-fp16-3D-8M-大值域-floor
DynamicMxQuant,19,"[[2, 3, 7, 11, 512]]","[""bfloat16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 40, ""blocksize"": 32}","[0, 0]",FP4E2M1-bf16-5D-236K-边界-全零输入
DynamicMxQuant,20,"[[1537, 769]]","[""float16""]","{""axis"": -1, ""round_mode"": ""rint"", ""dst_type"": 36, ""blocksize"": 32}","[-0.001, 0.001]",FP8E4M3-fp16-2D-1.2M-边界-极小值域-非对齐
