operator,case_id,input_shape,dtype,attrs,value_range,note
kv_rms_norm_rope_cache_v2,1,"[[16, 8, 128, 192], [192], [16, 8, 128, 64], [16, 8, 128, 64], [2048], [84, 29, 8, 192], [84, 29, 8, 128], null, null, null, null, [16, 8, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""int64"", ""float16"", ""float16"", ""null"", ""null"", ""null"", ""null"", ""float16""]","{""epsilon"": ""1.0e-05"", ""cache_mode"": ""PA"", ""is_output_kv"": true}","[[0, 1], [0.01, 0.99], [-1, 1], [-1, 1], [-1, 2436], [1, 1], [1, 1], null, null, null, null, [0, 1]]",M-float16-PA-对齐-来自selected_20_json
kv_rms_norm_rope_cache_v2,2,"[[8, 8, 256, 192], [192], [8, 8, 256, 64], [8, 8, 256, 64], [2048], [69, 32, 8, 192], [69, 32, 8, 128], null, null, null, null, [8, 8, 256, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""int64"", ""float16"", ""float16"", ""null"", ""null"", ""null"", ""null"", ""float16""]","{""epsilon"": ""1.0e-05"", ""cache_mode"": ""PA"", ""is_output_kv"": false}","[[0, 1], [0.01, 0.99], [-1, 1], [-1, 1], [-1, 2208], [1, 1], [1, 1], null, null, null, null, [0, 1]]",M-float16-PA-对齐-来自selected_20_json
kv_rms_norm_rope_cache_v2,3,"[[16, 2, 128, 192], [192], [16, 2, 1, 64], [16, 2, 1, 64], [2048], [124, 20, 2, 192], [124, 20, 2, 128], null, null, null, null, [16, 2, 128, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int64"", ""bfloat16"", ""bfloat16"", ""null"", ""null"", ""null"", ""null"", ""bfloat16""]","{""epsilon"": ""1.0e-05"", ""cache_mode"": ""PA"", ""is_output_kv"": false}","[[0, 1], [0.01, 0.99], [-1, 1], [-1, 1], [-1, 2480], [1, 1], [1, 1], null, null, null, null, [0, 1]]",M-bfloat16-PA-对齐-来自selected_20_json
kv_rms_norm_rope_cache_v2,4,"[[32, 1, 1, 192], [192], [32, 1, 1, 64], [32, 1, 1, 64], [32], [98, 29, 1, 192], [98, 29, 1, 128], null, null, null, null, [32, 1, 1, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""int64"", ""float16"", ""float16"", ""null"", ""null"", ""null"", ""null"", ""float16""]","{""epsilon"": ""1.0e-05"", ""cache_mode"": ""PA"", ""is_output_kv"": false}","[[0, 1], [0.01, 0.99], [-1, 1], [-1, 1], [-1, 2842], [1, 1], [1, 1], null, null, null, null, [0, 1]]",S-float16-PA-对齐-来自selected_20_json
kv_rms_norm_rope_cache_v2,5,"[[32, 1, 1, 192], [192], [32, 1, 1, 64], [32, 1, 1, 64], [32], [142, 20, 1, 192], [142, 20, 1, 128], null, null, null, null, [32, 1, 1, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int64"", ""bfloat16"", ""bfloat16"", ""null"", ""null"", ""null"", ""null"", ""bfloat16""]","{""epsilon"": ""1.0e-05"", ""cache_mode"": ""PA"", ""is_output_kv"": false}","[[0, 1], [0.01, 0.99], [-1, 1], [-1, 1], [-1, 2840], [1, 1], [1, 1], null, null, null, null, [0, 1]]",S-bfloat16-PA-对齐-来自selected_20_json
kv_rms_norm_rope_cache_v2,6,"[[16, 1, 128, 192], [192], [16, 1, 128, 64], [16, 1, 128, 64], [2048], [160, 14, 1, 192], [160, 14, 1, 128], null, [128], null, null, [16, 1, 128, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int64"", ""bfloat16"", ""int8"", ""null"", ""float32"", ""null"", ""null"", ""bfloat16""]","{""epsilon"": ""1.0e-05"", ""cache_mode"": ""PA"", ""is_output_kv"": true}","[[0, 1], [0.01, 0.99], [-1, 1], [-1, 1], [-1, 2240], [1, 1], [1, 1], null, [0.01, 0.99], null, null, [0, 1]]",S-bfloat16-PA-对齐-来自selected_20_json
kv_rms_norm_rope_cache_v2,7,"[[8, 4, 256, 192], [192], [8, 4, 256, 64], [8, 4, 256, 64], [2048], [237, 9, 4, 192], [237, 9, 4, 128], [4, 192], [4, 128], null, [4, 128], [8, 4, 256, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""int64"", ""int8"", ""int8"", ""float32"", ""float32"", ""null"", ""float32"", ""float16""]","{""epsilon"": ""1.0e-05"", ""cache_mode"": ""PA"", ""is_output_kv"": true}","[[0, 1], [0.01, 0.99], [-1, 1], [-1, 1], [-1, 2133], [1, 1], [1, 1], [0.01, 0.99], [0.01, 0.99], null, [-128, 127], [0, 1]]",M-float16-PA-对齐-来自selected_20_json
kv_rms_norm_rope_cache_v2,8,"[[8, 4, 256, 192], [192], [8, 4, 256, 64], [8, 4, 256, 64], [2048], [246, 9, 4, 192], [246, 9, 4, 128], null, null, null, null, [8, 4, 256, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int64"", ""bfloat16"", ""bfloat16"", ""null"", ""null"", ""null"", ""null"", ""bfloat16""]","{""epsilon"": ""1.0e-05"", ""cache_mode"": ""PA_NZ"", ""is_output_kv"": true}","[[0, 1], [0.01, 0.99], [-1, 1], [-1, 1], [-1, 2214], [1, 1], [1, 1], null, null, null, null, [0, 1]]",M-bfloat16-PA_NZ-对齐-来自selected_20_json
kv_rms_norm_rope_cache_v2,9,"[[4, 2, 512, 192], [192], [4, 2, 512, 64], [4, 2, 512, 64], [2048], [73, 32, 2, 192], [73, 32, 2, 128], null, [2, 128], null, null, [4, 2, 512, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""int64"", ""float16"", ""int8"", ""null"", ""float32"", ""null"", ""null"", ""float16""]","{""epsilon"": ""1.0e-05"", ""cache_mode"": ""PA_NZ"", ""is_output_kv"": true}","[[0, 1], [0.01, 0.99], [-1, 1], [-1, 1], [-1, 2336], [1, 1], [1, 1], null, [0.01, 0.99], null, null, [0, 1]]",M-float16-PA_NZ-对齐-来自selected_20_json
kv_rms_norm_rope_cache_v2,10,"[[32, 1, 64, 192], [192], [32, 1, 64, 64], [32, 1, 64, 64], [2048], [268, 8, 1, 192], [268, 8, 1, 128], [192], null, null, null, [32, 1, 64, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""int64"", ""int8"", ""float16"", ""float32"", ""null"", ""null"", ""null"", ""float16""]","{""epsilon"": ""1.0e-05"", ""cache_mode"": ""PA_NZ"", ""is_output_kv"": false}","[[0, 1], [0.01, 0.99], [-1, 1], [-1, 1], [-1, 2144], [1, 1], [1, 1], [0.01, 0.99], null, null, null, [0, 1]]",S-float16-PA_NZ-对齐-来自selected_20_json
