operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
ROIPooling,1,"[[2, 256, 64, 64], [128, 5]]","['float16', 'float16']","{'pooled_h': 7, 'pooled_w': 7, 'spatial_scale': 0.0625}","[[-1, 1], [-1, 1]]",None,S-float16-1M-对齐-pooled=7x7-scale=1/16
ROIPooling,2,"[[4, 512, 128, 128], [256, 5]]","['float32', 'float32']","{'pooled_h': 14, 'pooled_w': 14, 'spatial_scale': 0.0625}","[[-2, 2], [-1, 1]]",None,L-float32-16M-对齐-pooled=14x14
ROIPooling,3,"[[2, 128, 32, 32], [64, 5]]","['float16', 'float16']","{'pooled_h': 4, 'pooled_w': 4, 'spatial_scale': 0.125}","[[-3, 3], [-1, 1]]",None,S-float16-256K-对齐-pooled=4x4-scale=1/8
ROIPooling,4,"[[4, 256, 64, 64], [128, 5]]","['float32', 'float32']","{'pooled_h': 1, 'pooled_w': 1, 'spatial_scale': 1.0}","[[-10, 10], [-1, 1]]",None,M-float32-1M-对齐-全局池化-scale=1
ROIPooling,5,"[[7, 1021, 63, 67], [511, 5]]","['float16', 'float16']","{'pooled_h': 28, 'pooled_w': 28, 'spatial_scale': 0.0625}","[[-100, 100], [-1, 1]]",None,M-float16-30M-非对齐-upsampling-28x28
ROIPooling,6,"[[2, 2048, 128, 128], [256, 5]]","['float32', 'float32']","{'pooled_h': 3, 'pooled_w': 3, 'spatial_scale': 0.25}","[[-1000, 1000], [-1, 1]]",None,L-float32-33M-对齐-downsampling-3x3-scale=1/4
ROIPooling,7,"[[3, 251, 63, 63], [100, 5]]","['float16', 'float16']","{'pooled_h': 7, 'pooled_w': 7, 'spatial_scale': 0.0625}","[[-0.1, 0.1], [-1, 1]]",None,S-float16-1M-质数非对齐-7x7-微小值域
ROIPooling,8,"[[2, 257, 65, 65], [97, 5]]","['float32', 'float32']","{'pooled_h': 7, 'pooled_w': 7, 'spatial_scale': 0.0625}","[[-1, 2], [-1, 1]]",None,S-float32-1M-非对齐-7x7-非对称
ROIPooling,9,"[[3, 127, 31, 31], [50, 5]]","['float16', 'float16']","{'pooled_h': 5, 'pooled_w': 5, 'spatial_scale': 0.125}","[[-5, 10], [-1, 1]]",None,S-float16-300K-质数非对齐-5x5-非对称
ROIPooling,10,"[[2, 509, 43, 43], [100, 5]]","['float32', 'float32']","{'pooled_h': 11, 'pooled_w': 11, 'spatial_scale': 0.0625}","[[-50, 100], [-1, 1]]",None,S-float32-2M-质数非对齐-11x11
ROIPooling,11,"[[2, 256, 65, 63], [100, 5]]","['float16', 'float16']","{'pooled_h': 7, 'pooled_w': 7, 'spatial_scale': 0.0625}","[[-65504, 65504], [-1, 1]]",None,S-float16-1M-非对齐-7x7-float16边界值
ROIPooling,12,"[[2, 512, 97, 97], [193, 5]]","['float32', 'float32']","{'pooled_h': 13, 'pooled_w': 13, 'spatial_scale': 0.0625}","[[-88, 88], [-1, 1]]",None,M-float32-4M-质数非对齐-13x13-float32边界值
ROIPooling,13,"[[2, 251, 63, 65], [100, 5]]","['float32', 'float32']","{'pooled_h': 7, 'pooled_w': 7, 'spatial_scale': 0.0625}","[['-inf', 'inf'], [-1, 1]]",None,S-float32-2M-非对齐-7x7-inf特殊值
ROIPooling,14,"[[2, 127, 31, 33], [50, 5]]","['float16', 'float16']","{'pooled_h': 7, 'pooled_w': 7, 'spatial_scale': 0.0625}","[['nan', 'nan'], [-1, 1]]",None,S-float16-258K-非对齐-7x7-nan特殊值
ROIPooling,15,"[[4, 251, 63, 65], [128, 5]]","['float32', 'float32']","{'pooled_h': 7, 'pooled_w': 7, 'spatial_scale': 0.0625}","[[0, 0], [0, 0]]",None,M-float32-4M-非对齐-7x7-零值
ROIPooling,16,"[[2, 255, 63, 63], [100, 5]]","['float16', 'float16']","{'pooled_h': 7, 'pooled_w': 7, 'spatial_scale': 0.125}","[[-0.5, 0.5], [-1, 1]]",None,S-float16-1M-非对齐-7x7-scale=1/8-微小值域
ROIPooling,17,"[[3, 511, 31, 31], [50, 5]]","['float32', 'float32']","{'pooled_h': 15, 'pooled_w': 15, 'spatial_scale': 0.0625}","[[-1, 3], [-1, 1]]",None,S-float32-3M-非对齐-upsampling-15x15
ROIPooling,18,"[[2, 1023, 31, 31], [100, 5]]","['float16', 'float16']","{'pooled_h': 7, 'pooled_w': 7, 'spatial_scale': 0.0625}","[[-1000, 1000], [-1, 1]]",None,S-float16-2M-非对齐-7x7-大值域
ROIPooling,19,"[[2, 127, 63, 63], [64, 5]]","['float32', 'float32']","{'pooled_h': 4, 'pooled_w': 4, 'spatial_scale': 0.25}","[[-3, 6], [-1, 1]]",None,S-float32-1M-非对齐-4x4-downsampling-非对称中值域
ROIPooling,20,"[[4, 255, 127, 127], [200, 5]]","['float16', 'float16']","{'pooled_h': 21, 'pooled_w': 21, 'spatial_scale': 0.0625}","[[-20, 40], [-1, 1]]",None,M-float16-10M-非对齐-upsampling-21x21-非对称大值域
