operator,case_id,input_shape,dtype,attrs,value_range,note
AllGatherMatmulV2,1,"[[256, 4096], [4096, 1024], [256], [1024]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""gather_output"": true, ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""float16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 3001, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_agmm_v2_m256_k4096_n1024_float16
AllGatherMatmulV2,2,"[[512, 4096], [4096, 2048], [512], [2048]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""gather_output"": false, ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""bfloat16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 3002, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_agmm_v2_m512_k4096_n2048_bfloat16
AllGatherMatmulV2,3,"[[1024, 4096], [4096, 4096], [1024], [4096]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""gather_output"": true, ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""float16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 3003, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_agmm_v2_m1024_k4096_n4096_float16
AllGatherMatmulV2,4,"[[2048, 4096], [4096, 4096], [2048], [4096]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""gather_output"": false, ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""bfloat16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 3004, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_agmm_v2_m2048_k4096_n4096_bfloat16
AllGatherMatmulV2,5,"[[256, 5120], [5120, 1024], [256], [1024]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""gather_output"": true, ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""float16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 3005, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_agmm_v2_m256_k5120_n1024_float16
AllGatherMatmulV2,6,"[[512, 5120], [5120, 2048], [512], [2048]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""gather_output"": false, ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""bfloat16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 3006, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_agmm_v2_m512_k5120_n2048_bfloat16
AllGatherMatmulV2,7,"[[1024, 5120], [5120, 4096], [1024], [4096]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""gather_output"": true, ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""float16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 3007, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_agmm_v2_m1024_k5120_n4096_float16
AllGatherMatmulV2,8,"[[2048, 5120], [5120, 4096], [2048], [4096]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""gather_output"": false, ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""bfloat16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 3008, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_agmm_v2_m2048_k5120_n4096_bfloat16
AllGatherMatmulV2,9,"[[256, 7168], [7168, 1024], [256], [1024]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""gather_output"": true, ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""float16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 3009, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_agmm_v2_m256_k7168_n1024_float16
AllGatherMatmulV2,10,"[[512, 7168], [7168, 2048], [512], [2048]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""gather_output"": false, ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""bfloat16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 3010, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_agmm_v2_m512_k7168_n2048_bfloat16
