operator,case_id,input_shape,dtype,attrs,value_range,note
BevPool,1,"[[6, 59, 16, 44], [6, 16, 44, 64], [200000], [200000], [200000]]","[""float32"", ""float32"", ""int32"", ""int32"", ""int32""]","{""bev_h"": 128, ""bev_w"": 128}","[[0, 1], [-1, 1], [0, 249215], [0, 4223], [0, 16383]]",float32-BEVDet-R50-C64-P200K-bev128
BevPool,2,"[[6, 59, 16, 44], [6, 16, 44, 64], [200000], [200000], [200000]]","[""float16"", ""float16"", ""int32"", ""int32"", ""int32""]","{""bev_h"": 128, ""bev_w"": 128}","[[0, 1], [-1, 1], [0, 249215], [0, 4223], [0, 16383]]",float16-BEVDet-R50-C64-P200K-bev128
BevPool,3,"[[6, 59, 16, 44], [6, 16, 44, 80], [249216], [249216], [249216]]","[""float32"", ""float32"", ""int32"", ""int32"", ""int32""]","{""bev_h"": 128, ""bev_w"": 128}","[[0, 1], [-1, 1], [0, 249215], [0, 4223], [0, 16383]]",float32-BEVDet-R50-C80-P249K-bev128-full-frustum
BevPool,4,"[[6, 59, 16, 44], [6, 16, 44, 80], [249216], [249216], [249216]]","[""float16"", ""float16"", ""int32"", ""int32"", ""int32""]","{""bev_h"": 128, ""bev_w"": 128}","[[0, 1], [-1, 1], [0, 249215], [0, 4223], [0, 16383]]",float16-BEVDet-R50-C80-P249K-bev128-full-frustum
BevPool,5,"[[6, 59, 16, 44], [6, 16, 44, 64], [100000], [100000], [100000]]","[""float32"", ""float32"", ""int32"", ""int32"", ""int32""]","{""bev_h"": 128, ""bev_w"": 128}","[[0, 1], [-1, 1], [0, 249215], [0, 4223], [0, 16383]]",float32-BEVDet-R50-C64-P100K-bev128-valid-40pct
BevPool,6,"[[6, 59, 16, 44], [6, 16, 44, 128], [200000], [200000], [200000]]","[""float16"", ""float16"", ""int32"", ""int32"", ""int32""]","{""bev_h"": 128, ""bev_w"": 128}","[[0, 1], [-1, 1], [0, 249215], [0, 4223], [0, 16383]]",float16-BEVDet-R50-C128-P200K-bev128-wide-channel
BevPool,7,"[[6, 118, 32, 88], [6, 32, 88, 80], [1500000], [1500000], [1500000]]","[""float32"", ""float32"", ""int32"", ""int32"", ""int32""]","{""bev_h"": 256, ""bev_w"": 256}","[[0, 1], [-1, 1], [0, 1993727], [0, 16895], [0, 65535]]",float32-BEVFusion-C80-P1.5M-bev256
BevPool,8,"[[6, 118, 32, 88], [6, 32, 88, 80], [1500000], [1500000], [1500000]]","[""float16"", ""float16"", ""int32"", ""int32"", ""int32""]","{""bev_h"": 256, ""bev_w"": 256}","[[0, 1], [-1, 1], [0, 1993727], [0, 16895], [0, 65535]]",float16-BEVFusion-C80-P1.5M-bev256
BevPool,9,"[[6, 118, 32, 88], [6, 32, 88, 128], [1993728], [1993728], [1993728]]","[""float16"", ""float16"", ""int32"", ""int32"", ""int32""]","{""bev_h"": 256, ""bev_w"": 256}","[[0, 1], [-1, 1], [0, 1993727], [0, 16895], [0, 65535]]",float16-BEVFusion-C128-P2M-bev256-full-frustum
BevPool,10,"[[6, 118, 32, 88], [6, 32, 88, 64], [1000000], [1000000], [1000000]]","[""float32"", ""float32"", ""int32"", ""int32"", ""int32""]","{""bev_h"": 256, ""bev_w"": 256}","[[0, 1], [-1, 1], [0, 1993727], [0, 16895], [0, 65535]]",float32-BEVFusion-C64-P1M-bev256
