operator,case_id,input_shape,dtype,attrs,value_range,note
GroupedMatMulAlltoAllv,1,"[[256, 65535], [4, 65535, 4096], [32], [32], [32, 65535], [65535, 3072]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 51, ""graph_type"": 0, ""case_name"": ""case130_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-5.0, 5.0], [-5.0, 5.0], [-5.0, 5.0], [-1000, 1000], [-20.0, 20.0]]",case130_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,2,"[[8800, 8192], [4, 8192, 4096], [32], [32], [1100, 8192], [8192, 8192]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 86, ""graph_type"": 0, ""case_name"": ""case212_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-1000, 1000], [-5.0, 5.0]]",case212_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,3,"[[8192, 2688], [4, 2688, 1024], [32], [32], [1024, 2688], [2688, 3072]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 2, ""graph_type"": 0, ""case_name"": ""case574_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-20.0, 20.0], [-1000, 1000]]",case574_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,4,"[[59200, 4096], [4, 1024, 4096], [32], [32], [7400, 4096], [4096, 1024]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": true, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 32, ""graph_type"": 0, ""case_name"": ""case106_exp_4_card_8_dtype_bf16_trans1_True_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-1000, 1000], [-1000, 1000], [-0.01, -0.001], [-1000, 1000]]",case106_exp_4_card_8_dtype_bf16_trans1_True_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,5,"[[8800, 4096], [4, 2688, 4096], [32], [32], [1100, 4096], [8192, 4096]]","[""bfloat16"", ""bfloat16"", ""int64"", ""int64"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": true, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 33, ""graph_type"": 0, ""case_name"": ""case539_exp_4_card_8_dtype_bf16_trans1_True_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-20.0, 20.0], [-20.0, 20.0], [-20.0, 20.0], [-1000, 1000], [-5.0, 5.0]]",case539_exp_4_card_8_dtype_bf16_trans1_True_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,6,"[[256, 65535], [4, 2688, 65535], [32], [32], [128, 65535], [65535, 8192]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": true, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 61, ""graph_type"": 0, ""case_name"": ""case590_exp_4_card_8_dtype_bf16_trans1_True_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-5.0, 5.0], [-5.0, 5.0], [-5.0, 5.0], [-1000, 1000], [-0.01, -0.001]]",case590_exp_4_card_8_dtype_bf16_trans1_True_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,7,"[[59200, 3072], [4, 3072, 4096], [32], [32], [7400, 3072], [3072, 4096]]","[""float16"", ""float16"", ""int64"", ""int64"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 79, ""graph_type"": 0, ""case_name"": ""case77_exp_4_card_8_dtype_fp16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-5.0, 5.0]]",case77_exp_4_card_8_dtype_fp16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,8,"[[16384, 1024], [4, 1024, 2688], [32], [32], [2048, 1024], [1024, 8192]]","[""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 41, ""graph_type"": 0, ""case_name"": ""case182_exp_4_card_8_dtype_fp16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-20.0, 20.0], [-20.0, 20.0]]",case182_exp_4_card_8_dtype_fp16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,9,"[[8192, 8192], [4, 8192, 3072], [32], [32], [1024, 8192], [8192, 2688]]","[""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 4, ""graph_type"": 0, ""case_name"": ""case318_exp_4_card_8_dtype_fp16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-1000, 1000], [-1000, 1000], [-1000, 1000], [-5.0, 5.0]]",case318_exp_4_card_8_dtype_fp16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,10,"[[512, 65534], [4, 4096, 65534], [32], [32], [256, 65534], [65534, 1024]]","[""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": true, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 27, ""graph_type"": 0, ""case_name"": ""case556_exp_4_card_8_dtype_fp16_trans1_True_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-20.0, 20.0]]",case556_exp_4_card_8_dtype_fp16_trans1_True_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,11,"[[8800, 8192], [4, 1024, 8192], [32], [32], [1100, 8192], [2688, 8192]]","[""float16"", ""float16"", ""int64"", ""int64"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": true, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 86, ""graph_type"": 0, ""case_name"": ""case1140_exp_4_card_8_dtype_fp16_trans1_True_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-5.0, 5.0], [-0.01, -0.001]]",case1140_exp_4_card_8_dtype_fp16_trans1_True_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,12,"[[4096, 65534], [4, 4096, 65534], [32], [32], [2048, 65534], [65534, 8192]]","[""float16"", ""float16"", ""int32"", ""int32"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": true, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 79, ""graph_type"": 0, ""case_name"": ""case1232_exp_4_card_8_dtype_fp16_trans1_True_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-5.0, 5.0], [-5.0, 5.0], [-0.01, -0.001], [-5.0, 5.0]]",case1232_exp_4_card_8_dtype_fp16_trans1_True_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,13,"[[4000, 65534], [4, 65534, 2048], [32], [32], [2000, 65534], [8192, 65534]]","[""bfloat16"", ""bfloat16"", ""int64"", ""int64"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 20, ""graph_type"": 0, ""case_name"": ""case906_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-5.0, 5.0], [-5.0, 5.0], [-0.01, -0.001], [-0.01, -0.001]]",case906_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,14,"[[14800, 2688], [4, 2688, 1024], [32], [32], [7400, 2688], [2688, 2048]]","[""float16"", ""float16"", ""int64"", ""int64"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 79, ""graph_type"": 0, ""case_name"": ""case926_exp_4_card_8_dtype_fp16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-20.0, 20.0], [-20.0, 20.0]]",case926_exp_4_card_8_dtype_fp16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,15,"[[16384, 7168], [4, 2688, 7168], [32], [32], [8192, 7168], [8192, 7168]]","[""bfloat16"", ""bfloat16"", ""int64"", ""int64"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": true, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 88, ""graph_type"": 0, ""case_name"": ""case961_exp_4_card_8_dtype_bf16_trans1_True_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-5.0, 5.0], [-5.0, 5.0], [-5.0, 5.0], [-1000, 1000]]",case961_exp_4_card_8_dtype_bf16_trans1_True_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,16,"[[2048, 7168], [4, 7168, 2048], [32], [32], [1024, 7168], [3072, 7168]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 96, ""graph_type"": 0, ""case_name"": ""case1028_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-1000, 1000], [-1000, 1000], [-0.01, -0.001], [-20.0, 20.0]]",case1028_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,17,"[[8800, 2688], [4, 2688, 4096], [32], [32], [1100, 2688], [2688, 1024]]","[""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 83, ""graph_type"": 0, ""case_name"": ""case1089_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-0.01, -0.001], [-1000, 1000], [-1000, 1000], [-20.0, 20.0], [-1000, 1000]]",case1089_exp_4_card_8_dtype_bf16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,18,"[[4000, 3072], [4, 3072, 4096], [32], [32], [2000, 3072], [4096, 3072]]","[""float16"", ""float16"", ""int64"", ""int64"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": false, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 65, ""graph_type"": 0, ""case_name"": ""case1192_exp_4_card_8_dtype_fp16_trans1_False_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-5.0, 5.0], [-5.0, 5.0], [-5.0, 5.0], [-1000, 1000], [-1000, 1000]]",case1192_exp_4_card_8_dtype_fp16_trans1_False_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,19,"[[4000, 65534], [4, 2688, 65534], [32], [32], [2000, 65534], [65534, 3072]]","[""bfloat16"", ""bfloat16"", ""int64"", ""int64"", ""bfloat16"", ""bfloat16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": true, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 1, ""graph_type"": 0, ""case_name"": ""case1231_exp_4_card_8_dtype_bf16_trans1_True_trans2_False_mm_out_flag_False""}","[[-5.0, 5.0], [-0.01, -0.001], [-0.01, -0.001], [-0.01, -0.001], [-5.0, 5.0], [-1000, 1000]]",case1231_exp_4_card_8_dtype_bf16_trans1_True_trans2_False_mm_out_flag_False
GroupedMatMulAlltoAllv,20,"[[2200, 4096], [4, 2688, 4096], [32], [32], [1100, 4096], [3072, 4096]]","[""float16"", ""float16"", ""int64"", ""int64"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""e"": 4, ""trans_gmm_weight"": true, ""trans_mm_weight"": false, ""mm_out"": false, ""seed"": 15, ""graph_type"": 0, ""case_name"": ""case1280_exp_4_card_8_dtype_fp16_trans1_True_trans2_False_mm_out_flag_False""}","[[-0.01, -0.001], [-1000, 1000], [-1000, 1000], [-1000, 1000], [-20.0, 20.0], [-0.01, -0.001]]",case1280_exp_4_card_8_dtype_fp16_trans1_True_trans2_False_mm_out_flag_False
