operator,case_id,input_shape,dtype,attrs,value_range,note
LinearCrossEntropy,1,"[[1024, 4096], [128256, 4096], [1024]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 128255]]",bfloat16-LLaMA3-8B-T1024-mean
LinearCrossEntropy,2,"[[2048, 4096], [128256, 4096], [2048]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 128255]]",bfloat16-LLaMA3-8B-T2048-mean
LinearCrossEntropy,3,"[[4096, 4096], [128256, 4096], [4096]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 128255]]",bfloat16-LLaMA3-8B-T4096-mean-large-T
LinearCrossEntropy,4,"[[2048, 4096], [128256, 4096], [2048]]","[""float16"", ""float16"", ""int32""]","{""reduction"": ""sum"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 128255]]",float16-LLaMA3-8B-T2048-sum
LinearCrossEntropy,5,"[[1024, 3584], [152064, 3584], [1024]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 152063]]",bfloat16-Qwen2-7B-T1024-mean
LinearCrossEntropy,6,"[[2048, 3584], [152064, 3584], [2048]]","[""float16"", ""float16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 152063]]",float16-Qwen2-7B-T2048-mean
LinearCrossEntropy,7,"[[1024, 8192], [152064, 8192], [1024]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 152063]]",bfloat16-Qwen2-72B-T1024-mean
LinearCrossEntropy,8,"[[2048, 8192], [152064, 8192], [2048]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""sum"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 152063]]",bfloat16-Qwen2-72B-T2048-sum
LinearCrossEntropy,9,"[[1024, 7168], [129280, 7168], [1024]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 129279]]",bfloat16-DeepSeekV3-T1024-mean
LinearCrossEntropy,10,"[[2048, 7168], [129280, 7168], [2048]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 129279]]",bfloat16-DeepSeekV3-T2048-mean
LinearCrossEntropy,11,"[[1024, 7168], [129280, 7168], [1024]]","[""float32"", ""float32"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 129279]]",float32-DeepSeekV3-T1024-mean-fp32-baseline
LinearCrossEntropy,12,"[[8192, 4096], [32000, 4096], [8192]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 31999]]",bfloat16-LLaMA2-7B-T8192-mean-long-T
LinearCrossEntropy,13,"[[4096, 4096], [32000, 4096], [4096]]","[""float32"", ""float32"", ""int32""]","{""reduction"": ""sum"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 31999]]",float32-LLaMA2-7B-T4096-sum-fp32-baseline
LinearCrossEntropy,14,"[[1024, 3584], [152064, 3584], [1024]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": 0}","[[-1, 1], [-0.02, 0.02], [0, 1]]",bfloat16-Qwen2-7B-T1024-mean-ignore-index-half
LinearCrossEntropy,15,"[[2048, 7168], [129280, 7168], [2048]]","[""float16"", ""float16"", ""int32""]","{""reduction"": ""sum"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 129279]]",float16-DeepSeekV3-T2048-sum
LinearCrossEntropy,16,"[[4096, 8192], [152064, 8192], [4096]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 152063]]",bfloat16-Qwen2-72B-T4096-mean-extreme-T
LinearCrossEntropy,17,"[[1024, 4096], [128256, 4096], [1024]]","[""float32"", ""float32"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 128255]]",float32-LLaMA3-8B-T1024-mean-fp32-baseline
LinearCrossEntropy,18,"[[1024, 4096], [32000, 4096], [1024]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 31999]]",bfloat16-LLaMA2-7B-T1024-mean-small-T
LinearCrossEntropy,19,"[[8192, 4096], [32000, 4096], [8192]]","[""float16"", ""float16"", ""int32""]","{""reduction"": ""sum"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 31999]]",float16-LLaMA2-7B-T8192-sum-long-T
LinearCrossEntropy,20,"[[4096, 7168], [129280, 7168], [4096]]","[""bfloat16"", ""bfloat16"", ""int32""]","{""reduction"": ""sum"", ""ignore_index"": -100}","[[-1, 1], [-0.02, 0.02], [0, 129279]]",bfloat16-DeepSeekV3-T4096-sum-extreme-T
