operator,case_id,input_shape,dtype,attrs,value_range,note
MatmulAllReduce,1,"[[2776, 1024], [1024, 8192], [8192]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""2776_1024_8192_bf16_ND_allreduce_network_x1_65b_ID0045"", ""source_sheet"": ""level0"", ""source_excel_row"": 31, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], [-10, 10]]",2776_1024_8192_bf16_ND_allreduce_network_x1_65b_ID0045
MatmulAllReduce,2,"[[3592, 2732], [2732, 8192], null]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""3592_2732_8192_bf16_ND_allreduce_network_x1_65b_ID0066"", ""source_sheet"": ""level0"", ""source_excel_row"": 33, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], null]",3592_2732_8192_bf16_ND_allreduce_network_x1_65b_ID0066
MatmulAllReduce,3,"[[5864, 2732], [2732, 8192], null]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""5864_2732_8192_bf16_ND_allreduce_network_x1_65b_ID0171"", ""source_sheet"": ""level0"", ""source_excel_row"": 54, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], null]",5864_2732_8192_bf16_ND_allreduce_network_x1_65b_ID0171
MatmulAllReduce,4,"[[3624, 4096], [4096, 8192], null]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""3624_4096_8192_bf16_ND_allreduce_network_x1_175b_ID0220"", ""source_sheet"": ""level0"", ""source_excel_row"": 66, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], null]",3624_4096_8192_bf16_ND_allreduce_network_x1_175b_ID0220
MatmulAllReduce,5,"[[4432, 4096], [4096, 8192], [8192]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""4432_4096_8192_bf16_ND_allreduce_network_x1_175b_ID0240"", ""source_sheet"": ""level0"", ""source_excel_row"": 74, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], [-10, 10]]",4432_4096_8192_bf16_ND_allreduce_network_x1_175b_ID0240
MatmulAllReduce,6,"[[2168, 1536], [1536, 8192], [8192]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""2168_1536_8192_bf16_ND_allreduce_network_x1_175b_ID0329"", ""source_sheet"": ""level0"", ""source_excel_row"": 96, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], [-10, 10]]",2168_1536_8192_bf16_ND_allreduce_network_x1_175b_ID0329
MatmulAllReduce,7,"[[1376, 640], [640, 5120], null]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""1376_640_5120_bf16_ND_allreduce_network_xiaoyi_38b_71b_ID0424"", ""source_sheet"": ""level0"", ""source_excel_row"": 119, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], null]",1376_640_5120_bf16_ND_allreduce_network_xiaoyi_38b_71b_ID0424
MatmulAllReduce,8,"[[3384, 640], [640, 5120], [5120]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""3384_640_5120_bf16_ND_allreduce_network_xiaoyi_38b_71b_ID0445"", ""source_sheet"": ""level0"", ""source_excel_row"": 122, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], [-10, 10]]",3384_640_5120_bf16_ND_allreduce_network_xiaoyi_38b_71b_ID0445
MatmulAllReduce,9,"[[3712, 2560], [2560, 5120], [5120]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""3712_2560_5120_bf16_ND_allreduce_network_xiaoyi_38b_71b_ID0462"", ""source_sheet"": ""level0"", ""source_excel_row"": 131, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], [-10, 10]]",3712_2560_5120_bf16_ND_allreduce_network_xiaoyi_38b_71b_ID0462
MatmulAllReduce,10,"[[3176, 2560], [2560, 5120], null]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""3176_2560_5120_bf16_ND_allreduce_network_xiaoyi_38b_71b_ID0503"", ""source_sheet"": ""level0"", ""source_excel_row"": 144, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], null]",3176_2560_5120_bf16_ND_allreduce_network_xiaoyi_38b_71b_ID0503
MatmulAllReduce,11,"[[1768, 6912], [6912, 11264], [11264]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""1768_6912_11264_bf16_ND_allreduce_network_z1_200b_ID0837"", ""source_sheet"": ""level0"", ""source_excel_row"": 224, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], [-10, 10]]",1768_6912_11264_bf16_ND_allreduce_network_z1_200b_ID0837
MatmulAllReduce,12,"[[4072, 6912], [6912, 11264], null]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""4072_6912_11264_bf16_ND_allreduce_network_z1_200b_ID0887"", ""source_sheet"": ""level0"", ""source_excel_row"": 241, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], null]",4072_6912_11264_bf16_ND_allreduce_network_z1_200b_ID0887
MatmulAllReduce,13,"[[1080, 6912], [6912, 11264], null]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""1080_6912_11264_bf16_ND_allreduce_network_z1_200b_ID0920"", ""source_sheet"": ""level0"", ""source_excel_row"": 249, ""platform"": ""Atlas A2""}","[[0, 10], [0, 10], null]",1080_6912_11264_bf16_ND_allreduce_network_z1_200b_ID0920
MatmulAllReduce,14,"[[4096, 1408], [1408, 11264], null]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""4096_1408_11264_bf16_ND_allreduce_network_ks_65b_ID1029"", ""source_sheet"": ""level0"", ""source_excel_row"": 284, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], null]",4096_1408_11264_bf16_ND_allreduce_network_ks_65b_ID1029
MatmulAllReduce,15,"[[3584, 5632], [5632, 11264], [11264]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""3584_5632_11264_bf16_ND_allreduce_network_ks_65b_ID1123"", ""source_sheet"": ""level0"", ""source_excel_row"": 306, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], [-10, 10]]",3584_5632_11264_bf16_ND_allreduce_network_ks_65b_ID1123
MatmulAllReduce,16,"[[1024, 1024], [1024, 8192], [8192]]","[""float16"", ""float16"", ""float16""]","{""is_trans_b"": false, ""is_bias"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""1024_1024_8192_fp16_ND_allreduce_network_x1_65b_ID0006"", ""source_sheet"": ""level1"", ""source_excel_row"": 1224, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], [-10, 10]]",1024_1024_8192_fp16_ND_allreduce_network_x1_65b_ID0006
MatmulAllReduce,17,"[[752, 2732], [2732, 8192], [8192]]","[""float16"", ""float16"", ""float16""]","{""is_trans_b"": false, ""is_bias"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""752_2732_8192_fp16_ND_allreduce_network_x1_65b_ID0055"", ""source_sheet"": ""level1"", ""source_excel_row"": 1273, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], [-10, 10]]",752_2732_8192_fp16_ND_allreduce_network_x1_65b_ID0055
MatmulAllReduce,18,"[[3888, 1024], [1024, 8192], [8192]]","[""float16"", ""float16"", ""float16""]","{""is_trans_b"": false, ""is_bias"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 0, ""mc2_distributed"": true, ""case_name"": ""3888_1024_8192_fp16_ND_allreduce_network_x1_65b_ID0059"", ""source_sheet"": ""level1"", ""source_excel_row"": 1277, ""platform"": ""Atlas A2""}","[[-10, 10], [-10, 10], [-10, 10]]",3888_1024_8192_fp16_ND_allreduce_network_x1_65b_ID0059
