operator,case_id,input_shape,dtype,attrs,value_range,note
MatmulReduceScatterV2,1,"[[1024, 4096], [4096, 1024], [1024], [1024]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""float16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 4001, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_mrs_v2_m1024_k4096_n1024_float16
MatmulReduceScatterV2,2,"[[2048, 4096], [4096, 2048], [2048], [2048]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""bfloat16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 4002, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_mrs_v2_m2048_k4096_n2048_bfloat16
MatmulReduceScatterV2,3,"[[4096, 4096], [4096, 4096], [4096], [4096]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""float16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 4003, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_mrs_v2_m4096_k4096_n4096_float16
MatmulReduceScatterV2,4,"[[8192, 4096], [4096, 4096], [8192], [4096]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""bfloat16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 4004, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_mrs_v2_m8192_k4096_n4096_bfloat16
MatmulReduceScatterV2,5,"[[1024, 5120], [5120, 1024], [1024], [1024]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""float16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 4005, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_mrs_v2_m1024_k5120_n1024_float16
MatmulReduceScatterV2,6,"[[2048, 5120], [5120, 2048], [2048], [2048]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""bfloat16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 4006, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_mrs_v2_m2048_k5120_n2048_bfloat16
MatmulReduceScatterV2,7,"[[4096, 5120], [5120, 4096], [4096], [4096]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""float16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 4007, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_mrs_v2_m4096_k5120_n4096_float16
MatmulReduceScatterV2,8,"[[8192, 5120], [5120, 4096], [8192], [4096]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""bfloat16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 4008, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_mrs_v2_m8192_k5120_n4096_bfloat16
MatmulReduceScatterV2,9,"[[1024, 7168], [7168, 1024], [1024], [1024]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""float16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 4009, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_mrs_v2_m1024_k7168_n1024_float16
MatmulReduceScatterV2,10,"[[2048, 7168], [7168, 2048], [2048], [2048]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""mc2_distributed"": true, ""world_size"": 8, ""reduce_op"": ""sum"", ""is_trans_b"": false, ""is_bias"": false, ""out_dtype"": ""bfloat16"", ""x1_dtype"": ""int8"", ""x2_dtype"": ""int8"", ""x1_scale_dtype"": ""float32"", ""x2_scale_dtype"": ""float32"", ""block_size"": 128, ""group_sizes"": [], ""seed"": 4010, ""weight_same"": 1, ""platform"": ""Atlas A3""}","[[-8, 8], [-8, 8], [0.001, 0.02], [0.001, 0.02]]",int8_mrs_v2_m2048_k7168_n2048_bfloat16
