operator,case_id,input_shape,dtype,attrs,value_range,note
SelectiveScan,1,"[[1, 512, 768], [1, 512, 768], [768, 16], [1, 512, 16], [1, 512, 16], [768], [1, 512, 768]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba130M-B1L512-decode-warmup
SelectiveScan,2,"[[4, 1024, 768], [4, 1024, 768], [768, 16], [4, 1024, 16], [4, 1024, 16], [768], [4, 1024, 768]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba130M-B4L1024-prefill
SelectiveScan,3,"[[8, 2048, 768], [8, 2048, 768], [768, 16], [8, 2048, 16], [8, 2048, 16], [768], [8, 2048, 768]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba130M-B8L2048-large-batch
SelectiveScan,4,"[[2, 4096, 768], [2, 4096, 768], [768, 16], [2, 4096, 16], [2, 4096, 16], [768], [2, 4096, 768]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16-Mamba130M-B2L4096-long-seq
SelectiveScan,5,"[[1, 512, 768], [1, 512, 768], [768, 16], [1, 512, 16], [1, 512, 16], [768], [1, 512, 768]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float32-Mamba130M-B1L512-fp32-baseline
SelectiveScan,6,"[[1, 1024, 2048], [1, 1024, 2048], [2048, 16], [1, 1024, 16], [1, 1024, 16], [2048], [1, 1024, 2048]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba1.4B-B1L1024-prefill
SelectiveScan,7,"[[4, 2048, 2048], [4, 2048, 2048], [2048, 16], [4, 2048, 16], [4, 2048, 16], [2048], [4, 2048, 2048]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba1.4B-B4L2048-prefill-large
SelectiveScan,8,"[[2, 1024, 2048], [2, 1024, 2048], [2048, 16], [2, 1024, 16], [2, 1024, 16], [2048], [2, 1024, 2048]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16-Mamba1.4B-B2L1024-prefill
SelectiveScan,9,"[[1, 2048, 2048], [1, 2048, 2048], [2048, 16], [1, 2048, 16], [1, 2048, 16], [2048], [1, 2048, 2048]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float32-Mamba1.4B-B1L2048-fp32-baseline
SelectiveScan,10,"[[8, 512, 2048], [8, 512, 2048], [2048, 16], [8, 512, 16], [8, 512, 16], [2048], [8, 512, 2048]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba1.4B-B8L512-large-batch
SelectiveScan,11,"[[1, 1024, 5120], [1, 1024, 5120], [5120, 16], [1, 1024, 16], [1, 1024, 16], [5120], [1, 1024, 5120]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-1, 1], [0.001, 0.1], [-1, -0.01], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2.8B-B1L1024-prefill
