operator,case_id,input_shape,dtype,attrs,value_range,note
TridiagonalSolve,1,"[[1, 128], [1, 128], [1, 128], [1, 128, 1]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-spline-B1N128K1-small
TridiagonalSolve,2,"[[16, 256], [16, 256], [16, 256], [16, 256, 1]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-spline-B16N256K1-batch
TridiagonalSolve,3,"[[64, 512], [64, 512], [64, 512], [64, 512, 1]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-ADI-B64N512K1-large-batch
TridiagonalSolve,4,"[[8, 1024], [8, 1024], [8, 1024], [8, 1024, 8]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-ADI-B8N1024K8
TridiagonalSolve,5,"[[4, 2048], [4, 2048], [4, 2048], [4, 2048, 16]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-CFD-B4N2048K16
TridiagonalSolve,6,"[[2, 4096], [2, 4096], [2, 4096], [2, 4096, 32]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-CFD-B2N4096K32-multi-rhs
TridiagonalSolve,7,"[[1, 8192], [1, 8192], [1, 8192], [1, 8192, 16]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-CFD-B1N8192K16-long-N
TridiagonalSolve,8,"[[16, 128], [16, 128], [16, 128], [16, 128, 4]]","[""float16"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float16-spline-B16N128K4
TridiagonalSolve,9,"[[8, 512], [8, 512], [8, 512], [8, 512, 8]]","[""float16"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float16-ADI-B8N512K8
TridiagonalSolve,10,"[[4, 1024], [4, 1024], [4, 1024], [4, 1024, 16]]","[""float16"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float16-ADI-B4N1024K16
TridiagonalSolve,11,"[[1, 2048], [1, 2048], [1, 2048], [1, 2048, 32]]","[""float16"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float16-CFD-B1N2048K32-multi-rhs
TridiagonalSolve,12,"[[32, 256], [32, 256], [32, 256], [32, 256, 32]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-ADI-B32N256K32-batch-multi-rhs
TridiagonalSolve,13,"[[64, 128], [64, 128], [64, 128], [64, 128, 1]]","[""float16"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float16-spline-B64N128K1-large-batch
TridiagonalSolve,14,"[[2, 8192], [2, 8192], [2, 8192], [2, 8192, 4]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-CFD-B2N8192K4-long-N
TridiagonalSolve,15,"[[2, 4096], [2, 4096], [2, 4096], [2, 4096, 8]]","[""float16"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float16-CFD-B2N4096K8-long-N
TridiagonalSolve,16,"[[64, 256], [64, 256], [64, 256], [64, 256, 16]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-ADI-B64N256K16-large-batch-multi-rhs
TridiagonalSolve,17,"[[32, 256], [32, 256], [32, 256], [32, 256, 1]]","[""float16"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float16-spline-B32N256K1-batch
TridiagonalSolve,18,"[[1, 128], [1, 128], [1, 128], [1, 128, 32]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-spline-B1N128K32-min-N-max-K
TridiagonalSolve,19,"[[1, 8192], [1, 8192], [1, 8192], [1, 8192, 1]]","[""float16"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float16-CFD-B1N8192K1-longest-N
TridiagonalSolve,20,"[[16, 1024], [16, 1024], [16, 1024], [16, 1024, 32]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [4, 6], [-1, 1], [-1, 1]]",float32-ADI-B16N1024K32-balanced-large
