operator,case_id,input_shape,dtype,attrs,value_range,note
BatchedSvd,1,"[[64, 64, 16]]","[""float32""]",{},"[-1, 1]",float32-massiveMIMO-64x16-B64
BatchedSvd,2,"[[128, 32, 16]]","[""float32""]",{},"[-1, 1]",float32-MIMO-32x16-B128
BatchedSvd,3,"[[32, 128, 32]]","[""float32""]",{},"[-1, 1]",float32-MUSIC-subspace-128x32-B32
BatchedSvd,4,"[[16, 256, 64]]","[""float32""]",{},"[-1, 1]",float32-ZCA-whitening-256x64-B16
BatchedSvd,5,"[[8, 512, 128]]","[""float32""]",{},"[-1, 1]",float32-LoRA-512x128-B8
BatchedSvd,6,"[[16, 512, 64]]","[""float32""]",{},"[-1, 1]",float32-LoRA-rank64-512x64-B16
BatchedSvd,7,"[[32, 256, 32]]","[""float32""]",{},"[-1, 1]",float32-beamforming-256x32-B32
BatchedSvd,8,"[[4, 512, 128]]","[""float32""]",{},"[-1, 1]",float32-LoRA-512x128-B4
BatchedSvd,9,"[[64, 128, 16]]","[""float32""]",{},"[-1, 1]",float32-radar-snapshot-128x16-B64
BatchedSvd,10,"[[8, 128, 128]]","[""float32""]",{},"[-1, 1]",float32-square-128x128-B8
BatchedSvd,11,"[[16, 64, 64]]","[""float32""]",{},"[-1, 1]",float32-square-64x64-B16
BatchedSvd,12,"[[128, 64, 32]]","[""float32""]",{},"[-1, 1]",float32-MIMO-64x32-B128
BatchedSvd,13,"[[4, 384, 96]]","[""float32""]",{},"[-1, 1]",float32-array-calib-384x96-B4
BatchedSvd,14,"[[128, 128, 32]]","[""float32""]",{},"[-1, 1]",float32-beamforming-128x32-B128-large-batch
BatchedSvd,15,"[[64, 256, 64]]","[""float32""]",{},"[-1, 1]",float32-ZCA-whitening-256x64-B64
BatchedSvd,16,"[[32, 512, 128]]","[""float32""]",{},"[-1, 1]",float32-LoRA-512x128-B32-large-batch
BatchedSvd,17,"[[16, 128, 64]]","[""float32""]",{},"[-1, 1]",float32-MUSIC-subspace-128x64-B16
BatchedSvd,18,"[[8, 256, 128]]","[""float32""]",{},"[-1, 1]",float32-whitening-256x128-B8
BatchedSvd,19,"[[64, 32, 32]]","[""float32""]",{},"[-1, 1]",float32-square-32x32-B64
BatchedSvd,20,"[[4, 512, 64]]","[""float32""]",{},"[-1, 1]",float32-LoRA-rank64-512x64-B4-tall
