operator,case_id,input_shape,dtype,attrs,value_range,note
CcsdDoublesContraction,1,"[[8, 8, 38, 38], [38, 38, 38, 38], [8, 38, 8, 38], [38, 38], [8, 8]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-0.052, 0.052], [-1, 1], [-1, 1], [-2, 2], [-2, 2]]",float32-CCSD-o8v38-(H2O)2-ccpVDZ-fc
CcsdDoublesContraction,2,"[[12, 12, 57, 57], [57, 57, 57, 57], [12, 57, 12, 57], [57, 57], [12, 12]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-0.034, 0.034], [-1, 1], [-1, 1], [-2, 2], [-2, 2]]",float32-CCSD-o12v57-(H2O)3-ccpVDZ-fc
CcsdDoublesContraction,3,"[[16, 16, 76, 76], [76, 76, 76, 76], [16, 76, 16, 76], [76, 76], [16, 16]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-0.025, 0.025], [-1, 1], [-1, 1], [-2, 2], [-2, 2]]",float32-CCSD-o16v76-(H2O)4-ccpVDZ-fc
CcsdDoublesContraction,4,"[[21, 21, 93, 93], [93, 93, 93, 93], [21, 93, 21, 93], [93, 93], [21, 21]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-0.02, 0.02], [-1, 1], [-1, 1], [-2, 2], [-2, 2]]",float32-CCSD-o21v93-benzene-ccpVDZ-ae
CcsdDoublesContraction,5,"[[15, 15, 93, 93], [93, 93, 93, 93], [15, 93, 15, 93], [93, 93], [15, 15]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-0.022, 0.022], [-1, 1], [-1, 1], [-2, 2], [-2, 2]]",float32-CCSD-o15v93-benzene-ccpVDZ-fc
CcsdDoublesContraction,6,"[[8, 8, 128, 128], [128, 128, 128, 128], [8, 128, 8, 128], [128, 128], [8, 8]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-0.019, 0.019], [-1, 1], [-1, 1], [-2, 2], [-2, 2]]",float32-CCSD-o8v128-(H2O)2-ccpVTZ-fc-class-v4-ladder-peak
CcsdDoublesContraction,7,"[[13, 13, 89, 89], [89, 89, 89, 89], [13, 89, 13, 89], [89, 89], [13, 13]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-0.023, 0.023], [-1, 1], [-1, 1], [-2, 2], [-2, 2]]",float32-CCSD-o13v89-butane-ccpVDZ-fc
CcsdDoublesContraction,8,"[[4, 4, 81, 81], [81, 81, 81, 81], [4, 81, 4, 81], [81, 81], [4, 4]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-0.032, 0.032], [-1, 1], [-1, 1], [-2, 2], [-2, 2]]",float32-CCSD-o4v81-CH4-ccpVTZ-fc
CcsdDoublesContraction,9,"[[32, 32, 64, 64], [64, 64, 64, 64], [32, 64, 32, 64], [64, 64], [32, 32]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-0.023, 0.023], [-1, 1], [-1, 1], [-2, 2], [-2, 2]]",float32-CCSD-o32v64-large-o-ring-heavy
CcsdDoublesContraction,10,"[[24, 24, 96, 96], [96, 96, 96, 96], [24, 96, 24, 96], [96, 96], [24, 24]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-0.019, 0.019], [-1, 1], [-1, 1], [-2, 2], [-2, 2]]",float32-CCSD-o24v96-balanced-large
