operator,case_id,input_shape,dtype,attrs,value_range,note
ColocatedPrefillDecode,1,"[[2, 1024, 1024], [1024], [1024, 1024], [1024, 256], [1024, 256], [1024, 1024], [1024], [1024, 2752], [1024, 2752], [2752, 1024], [32, 1, 1024], [1024], [1024, 1024], [1024, 256], [1024, 256], [1024, 1024], [1024], [1024, 2752], [1024, 2752], [2752, 1024], [32, 2, 4096, 128], [32, 2, 4096, 128], [32], [2, 1024, 128], [2, 1024, 128], [32, 128], [32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [-1, 1], [1, 4095], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-balanced-A[H1024xS1024xB2xNq8xNkv2xD128]-B[H1024xBb32xSmax4096xNq8xNkv2xD128]
ColocatedPrefillDecode,2,"[[1, 1024, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [24, 1, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [24, 4, 4096, 128], [24, 4, 4096, 128], [24], [1, 1024, 128], [1, 1024, 128], [24, 128], [24, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [-1, 1], [1, 4095], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-balanced-A[H2048xS1024xB1xNq16xNkv4xD128]-B[H2048xBb24xSmax4096xNq16xNkv4xD128]
ColocatedPrefillDecode,3,"[[1, 2048, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [32, 1, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [32, 4, 4096, 128], [32, 4, 4096, 128], [32], [1, 2048, 128], [1, 2048, 128], [32, 128], [32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [-1, 1], [1, 4095], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-balanced-long-prefill-A[H2048xS2048xB1xNq16xNkv4xD128]-B[H2048xBb32xSmax4096xNq16xNkv4xD128]
ColocatedPrefillDecode,4,"[[1, 2048, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [40, 1, 2048], [2048], [2048, 2048], [2048, 256], [2048, 256], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [40, 2, 8192, 128], [40, 2, 8192, 128], [40], [1, 2048, 128], [1, 2048, 128], [40, 128], [40, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [-1, 1], [1, 8191], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-balanced-long-cache-A[H2048xS2048xB1xNq16xNkv4xD128]-B[H2048xBb40xSmax8192xNq16xNkv2xD128]
ColocatedPrefillDecode,5,"[[4, 512, 1024], [1024], [1024, 1024], [1024, 256], [1024, 256], [1024, 1024], [1024], [1024, 2752], [1024, 2752], [2752, 1024], [32, 1, 1024], [1024], [1024, 1024], [1024, 256], [1024, 256], [1024, 1024], [1024], [1024, 2752], [1024, 2752], [2752, 1024], [32, 2, 4096, 128], [32, 2, 4096, 128], [32], [4, 512, 128], [4, 512, 128], [32, 128], [32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [-1, 1], [1, 4095], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-balanced-batch-prefill-A[H1024xS512xB4xNq8xNkv2xD128]-B[H1024xBb32xSmax4096xNq8xNkv2xD128]
ColocatedPrefillDecode,6,"[[2, 1024, 1024], [1024], [1024, 1024], [1024, 512], [1024, 512], [1024, 1024], [1024], [1024, 2752], [1024, 2752], [2752, 1024], [24, 1, 1024], [1024], [1024, 1024], [1024, 256], [1024, 256], [1024, 1024], [1024], [1024, 2752], [1024, 2752], [2752, 1024], [24, 2, 4096, 128], [24, 2, 4096, 128], [24], [2, 1024, 64], [2, 1024, 64], [24, 128], [24, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [-1, 1], [1, 4095], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-balanced-Da64-A[H1024xS1024xB2xNq16xNkv8xD64]-B[H1024xBb24xSmax4096xNq8xNkv2xD128]
ColocatedPrefillDecode,7,"[[2, 2048, 1024], [1024], [1024, 1024], [1024, 256], [1024, 256], [1024, 1024], [1024], [1024, 2752], [1024, 2752], [2752, 1024], [64, 1, 1024], [1024], [1024, 1024], [1024, 128], [1024, 128], [1024, 1024], [1024], [1024, 2752], [1024, 2752], [2752, 1024], [64, 1, 8192, 128], [64, 1, 8192, 128], [64], [2, 2048, 128], [2, 2048, 128], [64, 128], [64, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [-1, 1], [1, 8191], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-balanced-B-mqa-A[H1024xS2048xB2xNq8xNkv2xD128]-B[H1024xBb64xSmax8192xNq8xNkv1xD128]
ColocatedPrefillDecode,8,"[[2, 512, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [16, 1, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [16, 4, 4096, 128], [16, 4, 4096, 128], [16], [2, 512, 128], [2, 512, 128], [16, 128], [16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [-1, 1], [1, 4095], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-balanced-short-prefill-A[H2048xS512xB2xNq16xNkv4xD128]-B[H2048xBb16xSmax4096xNq16xNkv4xD128]
ColocatedPrefillDecode,9,"[[2, 1024, 2048], [2048], [2048, 2048], [2048, 1024], [2048, 1024], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [48, 1, 2048], [2048], [2048, 2048], [2048, 256], [2048, 256], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [48, 2, 8192, 128], [48, 2, 8192, 128], [48], [2, 1024, 128], [2, 1024, 128], [48, 128], [48, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [-1, 1], [1, 8191], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-balanced-Nkv8-A[H2048xS1024xB2xNq16xNkv8xD128]-B[H2048xBb48xSmax8192xNq16xNkv2xD128]
ColocatedPrefillDecode,10,"[[4, 1024, 1024], [1024], [1024, 1024], [1024, 256], [1024, 256], [1024, 1024], [1024], [1024, 2752], [1024, 2752], [2752, 1024], [24, 1, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [24, 4, 4096, 128], [24, 4, 4096, 128], [24], [4, 1024, 128], [4, 1024, 128], [24, 128], [24, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [0.5, 1.5], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-1, 1], [-1, 1], [1, 4095], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-balanced-Ha1024-Hb2048-A[H1024xS1024xB4xNq8xNkv2xD128]-B[H2048xBb24xSmax4096xNq16xNkv4xD128]
