operator,case_id,input_shape,dtype,attrs,value_range,note
CompressedWeightGemv,1,"[[1, 4096], [4096, 1024], [4096, 1024], [4096, 32], [4096]]","[""bfloat16"", ""int32"", ""int32"", ""float16"", ""bfloat16""]","{""group_size"": 128}","[[-1, 1], [0, 255], [0, 5], [0.001, 0.1], [-1, 1]]",bfloat16-CWGemv-B1N4096K4096-g128-llama2-7b-oproj-decode
CompressedWeightGemv,2,"[[1, 4096], [11008, 1024], [11008, 1024], [11008, 32], [11008]]","[""bfloat16"", ""int32"", ""int32"", ""float16"", ""bfloat16""]","{""group_size"": 128}","[[-1, 1], [0, 255], [0, 5], [0.001, 0.1], [-1, 1]]",bfloat16-CWGemv-B1N11008K4096-g128-llama2-7b-ffn-up
CompressedWeightGemv,3,"[[1, 11008], [4096, 2752], [4096, 2752], [4096, 86], [4096]]","[""bfloat16"", ""int32"", ""int32"", ""float16"", ""bfloat16""]","{""group_size"": 128}","[[-1, 1], [0, 255], [0, 5], [0.001, 0.1], [-1, 1]]",bfloat16-CWGemv-B1N4096K11008-g128-llama2-7b-ffn-down
CompressedWeightGemv,4,"[[1, 4096], [14336, 1024], [14336, 1024], [14336, 32], [14336]]","[""bfloat16"", ""int32"", ""int32"", ""float16"", ""bfloat16""]","{""group_size"": 128}","[[-1, 1], [0, 255], [0, 5], [0.001, 0.1], [-1, 1]]",bfloat16-CWGemv-B1N14336K4096-g128-llama3-8b-ffn-up
CompressedWeightGemv,5,"[[1, 14336], [4096, 3584], [4096, 3584], [4096, 112], [4096]]","[""bfloat16"", ""int32"", ""int32"", ""float16"", ""bfloat16""]","{""group_size"": 128}","[[-1, 1], [0, 255], [0, 5], [0.001, 0.1], [-1, 1]]",bfloat16-CWGemv-B1N4096K14336-g128-llama3-8b-ffn-down
CompressedWeightGemv,6,"[[4, 4096], [4096, 1024], [4096, 1024], [4096, 32], [4096]]","[""bfloat16"", ""int32"", ""int32"", ""float16"", ""bfloat16""]","{""group_size"": 128}","[[-1, 1], [0, 255], [0, 5], [0.001, 0.1], [-1, 1]]",bfloat16-CWGemv-B4N4096K4096-g128-small-batch
CompressedWeightGemv,7,"[[8, 4096], [14336, 1024], [14336, 1024], [14336, 64], [14336]]","[""bfloat16"", ""int32"", ""int32"", ""float16"", ""bfloat16""]","{""group_size"": 64}","[[-1, 1], [0, 255], [0, 5], [0.001, 0.1], [-1, 1]]",bfloat16-CWGemv-B8N14336K4096-g64-batch8
CompressedWeightGemv,8,"[[16, 4096], [4096, 1024], [4096, 1024], [4096, 64], [4096]]","[""bfloat16"", ""int32"", ""int32"", ""float16"", ""bfloat16""]","{""group_size"": 64}","[[-1, 1], [0, 255], [0, 5], [0.001, 0.1], [-1, 1]]",bfloat16-CWGemv-B16N4096K4096-g64-batch16
CompressedWeightGemv,9,"[[1, 5120], [5120, 1280], [5120, 1280], [5120, 40], [5120]]","[""bfloat16"", ""int32"", ""int32"", ""float16"", ""bfloat16""]","{""group_size"": 128}","[[-1, 1], [0, 255], [0, 5], [0.001, 0.1], [-1, 1]]",bfloat16-CWGemv-B1N5120K5120-g128-llama2-13b-oproj
CompressedWeightGemv,10,"[[2, 5120], [13824, 1280], [13824, 1280], [13824, 40], [13824]]","[""bfloat16"", ""int32"", ""int32"", ""float16"", ""bfloat16""]","{""group_size"": 128}","[[-1, 1], [0, 255], [0, 5], [0.001, 0.1], [-1, 1]]",bfloat16-CWGemv-B2N13824K5120-g128-llama2-13b-ffn-up
