operator,case_id,input_shape,dtype,attrs,value_range,note
DecoderLayerMegakernel,1,"[[1, 1, 4096], [4096], [4096, 4096], [4096, 1024], [4096, 1024], [4096, 4096], [4096], [4096, 14336], [4096, 14336], [14336, 4096], [1, 8, 4096, 128], [1, 8, 4096, 128], [1], [1, 128], [1, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-1, 1], [-1, 1], [1, 4095], [-1, 1], [-1, 1]]",bfloat16-LLaMA3-8B-B1-Smax4096-decode
DecoderLayerMegakernel,2,"[[4, 1, 4096], [4096], [4096, 4096], [4096, 1024], [4096, 1024], [4096, 4096], [4096], [4096, 14336], [4096, 14336], [14336, 4096], [4, 8, 2048, 128], [4, 8, 2048, 128], [4], [4, 128], [4, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-1, 1], [-1, 1], [1, 2047], [-1, 1], [-1, 1]]",bfloat16-LLaMA3-8B-B4-Smax2048
DecoderLayerMegakernel,3,"[[8, 1, 4096], [4096], [4096, 4096], [4096, 1024], [4096, 1024], [4096, 4096], [4096], [4096, 14336], [4096, 14336], [14336, 4096], [8, 8, 1024, 128], [8, 8, 1024, 128], [8], [8, 128], [8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-1, 1], [-1, 1], [1, 1023], [-1, 1], [-1, 1]]",bfloat16-LLaMA3-8B-B8-Smax1024
DecoderLayerMegakernel,4,"[[16, 1, 4096], [4096], [4096, 4096], [4096, 1024], [4096, 1024], [4096, 4096], [4096], [4096, 14336], [4096, 14336], [14336, 4096], [16, 8, 1024, 128], [16, 8, 1024, 128], [16], [16, 128], [16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-1, 1], [-1, 1], [1, 1023], [-1, 1], [-1, 1]]",bfloat16-LLaMA3-8B-B16-Smax1024-batch-serving
DecoderLayerMegakernel,5,"[[4, 1, 4096], [4096], [4096, 4096], [4096, 1024], [4096, 1024], [4096, 4096], [4096], [4096, 11008], [4096, 11008], [11008, 4096], [4, 8, 2048, 128], [4, 8, 2048, 128], [4], [4, 128], [4, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-1, 1], [-1, 1], [1, 2047], [-1, 1], [-1, 1]]",bfloat16-LLaMA2-7B-GQA-B4-Smax2048
DecoderLayerMegakernel,6,"[[1, 1, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [1, 4, 1024, 128], [1, 4, 1024, 128], [1], [1, 128], [1, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-1, 1], [-1, 1], [1, 1023], [-1, 1], [-1, 1]]",bfloat16-Qwen-1.8B-B1-Smax1024-decode
DecoderLayerMegakernel,7,"[[4, 1, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [4, 4, 2048, 128], [4, 4, 2048, 128], [4], [4, 128], [4, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-1, 1], [-1, 1], [1, 2047], [-1, 1], [-1, 1]]",bfloat16-Qwen-1.8B-B4-Smax2048
DecoderLayerMegakernel,8,"[[8, 1, 2048], [2048], [2048, 2048], [2048, 512], [2048, 512], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [8, 4, 4096, 128], [8, 4, 4096, 128], [8], [8, 128], [8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-1, 1], [-1, 1], [1, 4095], [-1, 1], [-1, 1]]",bfloat16-Qwen-1.8B-B8-Smax4096-long-cache
DecoderLayerMegakernel,9,"[[16, 1, 2048], [2048], [2048, 2048], [2048, 1024], [2048, 1024], [2048, 2048], [2048], [2048, 5504], [2048, 5504], [5504, 2048], [16, 8, 1024, 128], [16, 8, 1024, 128], [16], [16, 128], [16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-1, 1], [-1, 1], [1, 1023], [-1, 1], [-1, 1]]",bfloat16-H2048-Nkv8-B16-Smax1024
DecoderLayerMegakernel,10,"[[4, 1, 4096], [4096], [4096, 4096], [4096, 512], [4096, 512], [4096, 4096], [4096], [4096, 14336], [4096, 14336], [14336, 4096], [4, 4, 4096, 128], [4, 4, 4096, 128], [4], [4, 128], [4, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06}","[[-1, 1], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [0.5, 1.5], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-1, 1], [-1, 1], [1, 4095], [-1, 1], [-1, 1]]",bfloat16-H4096-Nkv4-B4-Smax4096
