operator,case_id,input_shape,dtype,attrs,value_range,note
DftXcGridKernel,1,"[[8000, 24], [3, 8000, 24], [24, 24], [8000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.54, 0.54], [1e-06, 0.002]]",float32-XC-G8000-Nb24-H2O-def2SVP Exc~7.7Ha
DftXcGridKernel,2,"[[12000, 41], [3, 12000, 41], [41, 41], [12000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.45, 0.45], [1e-06, 0.0013]]",float32-XC-G12000-Nb41-H2O-augccpVDZ Exc~13Ha
DftXcGridKernel,3,"[[20000, 95], [3, 20000, 95], [95, 95], [20000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.32, 0.32], [1e-06, 0.0008]]",float32-XC-G20000-Nb95-glycine-def2SVP Exc~30Ha
DftXcGridKernel,4,"[[24000, 114], [3, 24000, 114], [114, 114], [24000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.24, 0.24], [1e-06, 0.00067]]",float32-XC-G24000-Nb114-benzene-def2SVP Exc~31Ha
DftXcGridKernel,5,"[[32000, 180], [3, 32000, 180], [180, 180], [32000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.16, 0.16], [1e-06, 0.0005]]",float32-XC-G32000-Nb180-naphthalene-def2SVP Exc~31Ha
DftXcGridKernel,6,"[[40000, 246], [3, 40000, 246], [246, 246], [40000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.11, 0.11], [1e-06, 0.0004]]",float32-XC-G40000-Nb246-anthracene-def2SVP Exc~29Ha
DftXcGridKernel,7,"[[50000, 256], [3, 50000, 256], [256, 256], [50000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.12, 0.12], [1e-06, 0.00032]]",float32-XC-G50000-Nb256-peptide-def2SVP-max Exc~29Ha
DftXcGridKernel,8,"[[50000, 128], [3, 50000, 128], [128, 128], [50000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.28, 0.28], [1e-06, 0.00032]]",float32-XC-G50000-Nb128-large-grid Exc~31Ha
DftXcGridKernel,9,"[[2000, 256], [3, 2000, 256], [256, 256], [2000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.12, 0.12], [1e-06, 0.008]]",float32-XC-G2000-Nb256-small-grid-large-basis Exc~30Ha
DftXcGridKernel,10,"[[50000, 32], [3, 50000, 32], [32, 32], [50000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.46, 0.46], [1e-06, 0.00032]]",float32-XC-G50000-Nb32-G-much-larger-than-Nb Exc~10Ha
DftXcGridKernel,11,"[[10007, 64], [3, 10007, 64], [64, 64], [10007]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.33, 0.33], [1e-06, 0.0016]]",float32-XC-G10007-Nb64-prime-grid Exc~20Ha
DftXcGridKernel,12,"[[16000, 33], [3, 16000, 33], [33, 33], [16000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.46, 0.46], [1e-06, 0.001]]",float32-XC-G16000-Nb33-unaligned-basis Exc~11Ha
DftXcGridKernel,13,"[[25000, 100], [3, 25000, 100], [100, 100], [25000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.33, 0.33], [1e-06, 0.00064]]",float32-XC-G25000-Nb100 Exc~30Ha
DftXcGridKernel,14,"[[30000, 150], [3, 30000, 150], [150, 150], [30000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.24, 0.24], [1e-06, 0.00053]]",float32-XC-G30000-Nb150 Exc~30Ha
DftXcGridKernel,15,"[[36000, 200], [3, 36000, 200], [200, 200], [36000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.18, 0.18], [1e-06, 0.00044]]",float32-XC-G36000-Nb200 Exc~31Ha
DftXcGridKernel,16,"[[45000, 224], [3, 45000, 224], [224, 224], [45000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.15, 0.15], [1e-06, 0.00036]]",float32-XC-G45000-Nb224 Exc~31Ha
DftXcGridKernel,17,"[[20000, 64], [3, 20000, 64], [64, 64], [20000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-10, 10], [1e-06, 0.01]]",float32-XC-G20000-Nb64-dm-large-rho-wide Exc~2e+04Ha
DftXcGridKernel,18,"[[20000, 64], [3, 20000, 64], [64, 64], [20000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [0, 0], [-0.37, 0.37], [1e-06, 0.0008]]",float32-XC-G20000-Nb64-aograd-zero-LDA-limit Exc~20Ha
DftXcGridKernel,19,"[[28000, 72], [3, 28000, 72], [72, 72], [28000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.43, 0.43], [1e-06, 0.00057]]",float32-XC-G28000-Nb72 Exc~23Ha
DftXcGridKernel,20,"[[48000, 160], [3, 48000, 160], [160, 160], [48000]]","[""float32"", ""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-0.22, 0.22], [1e-06, 0.00033]]",float32-XC-G48000-Nb160 Exc~30Ha
