operator,case_id,input_shape,dtype,attrs,value_range,note
DqmcHubbardGreens,1,"[[96, 256], [256, 256]]","[""int8"", ""float32""]","{""lam"": 0.3, ""dtau"": 0.0625, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N256-Ltau96-lam0.3-dtau0.0625-stab8-flagship-16x16
DqmcHubbardGreens,2,"[[64, 256], [256, 256]]","[""int8"", ""float32""]","{""lam"": 0.25, ""dtau"": 0.075, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N256-Ltau64-lam0.25-dtau0.075-stab8
DqmcHubbardGreens,3,"[[128, 196], [196, 196]]","[""int8"", ""float32""]","{""lam"": 0.25, ""dtau"": 0.0625, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N196-Ltau128-lam0.25-dtau0.0625-stab8
DqmcHubbardGreens,4,"[[64, 100], [100, 100]]","[""int8"", ""float32""]","{""lam"": 0.5, ""dtau"": 0.125, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N100-Ltau64-lam0.5-dtau0.125-stab8-max-couplings
DqmcHubbardGreens,5,"[[96, 144], [144, 144]]","[""int8"", ""float32""]","{""lam"": 0.3, ""dtau"": 0.075, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N144-Ltau96-lam0.3-dtau0.075-stab8
DqmcHubbardGreens,6,"[[160, 100], [100, 100]]","[""int8"", ""float32""]","{""lam"": 0.25, ""dtau"": 0.0625, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N100-Ltau160-lam0.25-dtau0.0625-stab8
DqmcHubbardGreens,7,"[[128, 100], [100, 100]]","[""int8"", ""float32""]","{""lam"": 0.25, ""dtau"": 0.0625, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N100-Ltau128-lam0.25-dtau0.0625-stab8
DqmcHubbardGreens,8,"[[192, 64], [64, 64]]","[""int8"", ""float32""]","{""lam"": 0.2, ""dtau"": 0.05, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N64-Ltau192-lam0.2-dtau0.05-stab8-long-chain-fp32-overflow
DqmcHubbardGreens,9,"[[128, 64], [64, 64]]","[""int8"", ""float32""]","{""lam"": 0.3, ""dtau"": 0.075, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N64-Ltau128-lam0.3-dtau0.075-stab8
DqmcHubbardGreens,10,"[[64, 64], [64, 64]]","[""int8"", ""float32""]","{""lam"": 0.2, ""dtau"": 0.05, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N64-Ltau64-lam0.2-dtau0.05-stab8
DqmcHubbardGreens,11,"[[64, 36], [36, 36]]","[""int8"", ""float32""]","{""lam"": 0.3, ""dtau"": 0.1, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N36-Ltau64-lam0.3-dtau0.1-stab8-small-6x6
DqmcHubbardGreens,12,"[[64, 100], [100, 100]]","[""int8"", ""float32""]","{""lam"": 0.1, ""dtau"": 0.05, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N100-Ltau64-lam0.1-dtau0.05-stab8-weak-coupling
DqmcHubbardGreens,13,"[[64, 144], [144, 144]]","[""int8"", ""float32""]","{""lam"": 0.3, ""dtau"": 0.075, ""stab_interval"": 4}","[[0, 1], [-1, 1]]",float32-DQMC-N144-Ltau64-lam0.3-dtau0.075-stab4
DqmcHubbardGreens,14,"[[128, 100], [100, 100]]","[""int8"", ""float32""]","{""lam"": 0.3, ""dtau"": 0.075, ""stab_interval"": 16}","[[0, 1], [-1, 1]]",float32-DQMC-N100-Ltau128-lam0.3-dtau0.075-stab16
DqmcHubbardGreens,15,"[[32, 256], [256, 256]]","[""int8"", ""float32""]","{""lam"": 0.2, ""dtau"": 0.075, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N256-Ltau32-lam0.2-dtau0.075-stab8
DqmcHubbardGreens,16,"[[16, 64], [64, 64]]","[""int8"", ""float32""]","{""lam"": 0.1, ""dtau"": 0.05, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N64-Ltau16-lam0.1-dtau0.05-stab8-short-chain-naive-bait
DqmcHubbardGreens,17,"[[192, 36], [36, 36]]","[""int8"", ""float32""]","{""lam"": 0.5, ""dtau"": 0.125, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N36-Ltau192-lam0.5-dtau0.125-stab8-max-dynamic-range
DqmcHubbardGreens,18,"[[64, 64], [64, 64]]","[""int8"", ""float32""]","{""lam"": 0.5, ""dtau"": 0.125, ""stab_interval"": 8}","[[0, 1], [-1, 1]]",float32-DQMC-N64-Ltau64-lam0.5-dtau0.125-stab8-maxcoup-8x8
DqmcHubbardGreens,19,"[[96, 256], [256, 256]]","[""int8"", ""float32""]","{""lam"": 0.3, ""dtau"": 0.0625, ""stab_interval"": 1}","[[0, 1], [-1, 1]]",float32-DQMC-N256-Ltau96-lam0.3-dtau0.0625-stab1-stab1
DqmcHubbardGreens,20,"[[96, 144], [144, 144]]","[""int8"", ""float32""]","{""lam"": 0.3, ""dtau"": 0.075, ""stab_interval"": 32}","[[0, 1], [-1, 1]]",float32-DQMC-N144-Ltau96-lam0.3-dtau0.075-stab32-stab32
