operator,case_id,input_shape,dtype,attrs,value_range,note
FftConv,1,"[[4, 768, 1024], [768, 1024], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B4D768L1024
FftConv,2,"[[2, 768, 2048], [768, 2048], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B2D768L2048
FftConv,3,"[[8, 768, 1024], [768, 1024], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B8D768L1024-large-batch
FftConv,4,"[[4, 768, 2048], [768, 2048], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B4D768L2048
FftConv,5,"[[1, 768, 8192], [768, 8192], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B1D768L8192-long
FftConv,6,"[[1, 768, 16384], [768, 16384], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B1D768L16384-16k
FftConv,7,"[[4, 2048, 1024], [2048, 1024], [2048]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-1.3B-B4D2048L1024
FftConv,8,"[[2, 2048, 2048], [2048, 2048], [2048]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-1.3B-B2D2048L2048
FftConv,9,"[[1, 2048, 8192], [2048, 8192], [2048]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-1.3B-B1D2048L8192-long
FftConv,10,"[[1, 2048, 16384], [2048, 16384], [2048]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-1.3B-B1D2048L16384-16k
FftConv,11,"[[2, 768, 1500], [768, 1500], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B2D768L1500-non-pow2-mixed-radix
FftConv,12,"[[1, 2048, 1500], [2048, 1500], [2048]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-1.3B-B1D2048L1500-non-pow2-mixed-radix
FftConv,13,"[[2, 768, 1024], [768, 1024], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[0, 0], [0, 0], [0, 0]]",float32-Hyena-small-B2D768L1024-zero-input
FftConv,14,"[[8, 2048, 1024], [2048, 1024], [2048]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-1.3B-B8D2048L1024-large-batch
FftConv,15,"[[4, 2048, 2048], [2048, 2048], [2048]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-1.3B-B4D2048L2048
FftConv,16,"[[2, 2048, 8192], [2048, 8192], [2048]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-1.3B-B2D2048L8192-long
FftConv,17,"[[4, 768, 8192], [768, 8192], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B4D768L8192-long
FftConv,18,"[[2, 768, 16384], [768, 16384], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B2D768L16384-16k
FftConv,19,"[[4, 768, 1500], [768, 1500], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B4D768L1500-non-pow2-mixed-radix
FftConv,20,"[[1, 768, 3000], [768, 3000], [768]]","[""float32"", ""float32"", ""float32""]",{},"[[-1, 1], [-1, 1], [-1, 1]]",float32-Hyena-small-B1D768L3000-non-pow2-mixed-radix
