operator,case_id,input_shape,dtype,attrs,value_range,note
FlashAttentionBackward,1,"[[1, 32, 2048, 128], [1, 32, 2048, 128], [1, 32, 2048, 128], [1, 32, 2048, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": 0.08838, ""is_causal"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-LLaMA2-7B-B1N32S2048D128-causal
FlashAttentionBackward,2,"[[4, 32, 2048, 128], [4, 32, 2048, 128], [4, 32, 2048, 128], [4, 32, 2048, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": 0.08838, ""is_causal"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-LLaMA2-7B-B4N32S2048D128-causal
FlashAttentionBackward,3,"[[8, 32, 1024, 128], [8, 32, 1024, 128], [8, 32, 1024, 128], [8, 32, 1024, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": 0.08838, ""is_causal"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-LLaMA2-7B-B8N32S1024D128-causal-large-batch
FlashAttentionBackward,4,"[[1, 32, 4096, 128], [1, 32, 4096, 128], [1, 32, 4096, 128], [1, 32, 4096, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": 0.08838, ""is_causal"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-LLaMA2-7B-B1N32S4096D128-4k-causal
FlashAttentionBackward,5,"[[1, 32, 8192, 128], [1, 32, 8192, 128], [1, 32, 8192, 128], [1, 32, 8192, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": 0.08838, ""is_causal"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-LLaMA2-7B-B1N32S8192D128-8k-long-causal
FlashAttentionBackward,6,"[[2, 16, 4096, 128], [2, 16, 4096, 128], [2, 16, 4096, 128], [2, 16, 4096, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": 0.08838, ""is_causal"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Qwen2.5-3B-B2N16S4096D128-causal
FlashAttentionBackward,7,"[[4, 32, 2048, 64], [4, 32, 2048, 64], [4, 32, 2048, 64], [4, 32, 2048, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": 0.125, ""is_causal"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-TinyLlama-1.1B-B4N32S2048D64-causal
FlashAttentionBackward,8,"[[2, 16, 1024, 64], [2, 16, 1024, 64], [2, 16, 1024, 64], [2, 16, 1024, 64]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""scaleValue"": 0.125, ""is_causal"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16-GPT2-medium-B2N16S1024D64-causal
FlashAttentionBackward,9,"[[4, 16, 2048, 64], [4, 16, 2048, 64], [4, 16, 2048, 64], [4, 16, 2048, 64]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""scaleValue"": 0.125, ""is_causal"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16-GPT2-medium-B4N16S2048D64-causal
FlashAttentionBackward,10,"[[4, 16, 1024, 64], [4, 16, 1024, 64], [4, 16, 1024, 64], [4, 16, 1024, 64]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""scaleValue"": 0.125, ""is_causal"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",float16-BERT-large-B4N16S1024D64-bidirectional
