operator,case_id,input_shape,dtype,attrs,value_range,note
GatedDeltaNet2Chunkwise,1,"[[4, 1024, 16, 128], [4, 1024, 16, 128], [4, 1024, 16, 128], [4, 1024, 16, 128], [4, 1024, 16, 128], [4, 1024, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 64}","[[-1, 1], [-1, 1], [-1, 1], [0.05, 0.95], [0.05, 0.95], [-0.5, -0.001]]",bfloat16-Qwen3Next-B4L1024-H16-chunk64
GatedDeltaNet2Chunkwise,2,"[[8, 512, 16, 128], [8, 512, 16, 128], [8, 512, 16, 128], [8, 512, 16, 128], [8, 512, 16, 128], [8, 512, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 64}","[[-1, 1], [-1, 1], [-1, 1], [0.05, 0.95], [0.05, 0.95], [-0.5, -0.001]]",bfloat16-Qwen3Next-B8L512-H16-chunk64-large-batch
GatedDeltaNet2Chunkwise,3,"[[2, 2048, 16, 128], [2, 2048, 16, 128], [2, 2048, 16, 128], [2, 2048, 16, 128], [2, 2048, 16, 128], [2, 2048, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 64}","[[-1, 1], [-1, 1], [-1, 1], [0.05, 0.95], [0.05, 0.95], [-0.5, -0.001]]",bfloat16-Qwen3Next-B2L2048-H16-chunk64
GatedDeltaNet2Chunkwise,4,"[[1, 4096, 16, 128], [1, 4096, 16, 128], [1, 4096, 16, 128], [1, 4096, 16, 128], [1, 4096, 16, 128], [1, 4096, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 64}","[[-1, 1], [-1, 1], [-1, 1], [0.05, 0.95], [0.05, 0.95], [-0.5, -0.001]]",bfloat16-Qwen3Next-B1L4096-H16-chunk64
GatedDeltaNet2Chunkwise,5,"[[1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 64}","[[-1, 1], [-1, 1], [-1, 1], [0.05, 0.95], [0.05, 0.95], [-0.5, -0.001]]",bfloat16-Qwen3Next-B1L8192-H16-chunk64-long
GatedDeltaNet2Chunkwise,6,"[[4, 1024, 32, 128], [4, 1024, 32, 128], [4, 1024, 32, 128], [4, 1024, 32, 128], [4, 1024, 32, 128], [4, 1024, 32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 64}","[[-1, 1], [-1, 1], [-1, 1], [0.05, 0.95], [0.05, 0.95], [-0.5, -0.001]]",bfloat16-Qwen3.5-B4L1024-H32-chunk64
GatedDeltaNet2Chunkwise,7,"[[2, 2048, 32, 128], [2, 2048, 32, 128], [2, 2048, 32, 128], [2, 2048, 32, 128], [2, 2048, 32, 128], [2, 2048, 32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 64}","[[-1, 1], [-1, 1], [-1, 1], [0.05, 0.95], [0.05, 0.95], [-0.5, -0.001]]",bfloat16-Qwen3.5-B2L2048-H32-chunk64
GatedDeltaNet2Chunkwise,8,"[[1, 4096, 32, 128], [1, 4096, 32, 128], [1, 4096, 32, 128], [1, 4096, 32, 128], [1, 4096, 32, 128], [1, 4096, 32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 64}","[[-1, 1], [-1, 1], [-1, 1], [0.05, 0.95], [0.05, 0.95], [-0.5, -0.001]]",bfloat16-Qwen3.5-B1L4096-H32-chunk64
GatedDeltaNet2Chunkwise,9,"[[1, 8192, 32, 128], [1, 8192, 32, 128], [1, 8192, 32, 128], [1, 8192, 32, 128], [1, 8192, 32, 128], [1, 8192, 32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 64}","[[-1, 1], [-1, 1], [-1, 1], [0.05, 0.95], [0.05, 0.95], [-0.5, -0.001]]",bfloat16-Qwen3.5-B1L8192-H32-chunk64-long
GatedDeltaNet2Chunkwise,10,"[[4, 2048, 16, 128], [4, 2048, 16, 128], [4, 2048, 16, 128], [4, 2048, 16, 128], [4, 2048, 16, 128], [4, 2048, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 128}","[[-1, 1], [-1, 1], [-1, 1], [0.05, 0.95], [0.05, 0.95], [-0.5, -0.001]]",bfloat16-Qwen3Next-B4L2048-H16-chunk128
